white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3276,1 - 0,FM,miaou33,2677
CM,GameOverBro,2602,0 - 1,GM,HansOnTwitch,3128
GM,Firouzja2003,3188,1 - 0,GM,Cipy77,2608
IM,ural58,2512,0 - 1,GM,amintabatabaei,3095
GM,LyonBeast,3125,1 - 0,FM,Bilan_Danila,2605
FM,Kazmin_Semyon,2582,0 - 1,GM,Jospem,3102
GM,jefferyx,3067,1 - 0,CM,Statham,2692
NM,KnobbedHornbill,2486,0 - 1,GM,mishanick,3038
GM,Grischuk,3058,1 - 0,IM,ninguno46,2569
CM,komogro,2535,1 - 0,GM,Njal28,3041
GM,Polish_fighter3000,3057,1 - 0,FM,colegiodemadrid,2532
FM,Viacheslav92,2561,0 - 1,GM,FairChess_on_YouTube,3064
GM,Msb2,3112,1 - 0,CM,tomesao,2457
FM,Glidzhian_Gor,2571,1 - 0,IM,MITerryble,3011
GM,shimastream,3025,1 - 0,GM,rhungaski,2557
IM,BigAl,2536,0 - 1,GM,BogdanDeac,3106
IM,Rud_Makarian,3013,0 - 1,FM,CDOEspiao,2563
NM,noblerone,2540,0 - 1,GM,SpeedofLight0,3111
GM,vi_pranav,3103,0 - 1,CM,ACollins05,2583
IM,JulbeNn,2572,½ - ½,GM,AnishOnYoutube,3095
GM,DanielNaroditsky,3049,1 - 0,CM,MVM2008,2449
FM,Giorno,2479,0 - 1,GM,LevonAronian,3039
GM,Oleksandr_Bortnyk,3111,1 - 0,CM,domithebest,2596
NM,subham777,2602,0 - 1,GM,wonderfultime,3083
GM,dropstoneDP,3003,½ - ½,FM,Likvidator228,2583
IM,GothamChess,2835,0 - 1,GM,Hikaru,3276
GM,HansOnTwitch,3128,1 - 0,IM,krstulov_alex,2624
FM,Orest_Vovk,2521,0 - 1,GM,Firouzja2003,3188
GM,amintabatabaei,3095,1 - 0,FM,secretworker2027,2663
FM,EddieMarsalla,2785,0 - 1,GM,LyonBeast,3125
GM,Jospem,3102,1 - 0,GM,tetrix83,2561
IM,Meri-Arabidze,2686,1 - 0,GM,jefferyx,3067
GM,mishanick,3038,1 - 0,FM,GP9isback23,2743
FM,Yeritsyaan,2659,1 - 0,GM,Grischuk,3058
FM,Mikasinski,2663,0 - 1,GM,Polish_fighter3000,3057
GM,FairChess_on_YouTube,3064,½ - ½,FM,RandomNoob04,2712
FM,SaqoChess_Coach,2619,0 - 1,GM,Msb2,3112
GM,Jakhongir-Vakhidov,3002,1 - 0,GM,shimastream,3025
GM,BogdanDeac,3106,1 - 0,GM,Alexchess1984,2698
GM,SpeedofLight0,3111,1 - 0,IM,Susal_De_Silva,2767
FM,NFChess13,2609,0 - 1,GM,DanielNaroditsky,3049
GM,LevonAronian,3039,1 - 0,FM,crazy_but_lazy,2657
GM,Mikhail_Golubev,2598,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,wonderfultime,3083,1 - 0,GM,Iskusnyh,2589
GM,sergoy,2956,1 - 0,CM,Aslanov_Umid,2681
NM,IamSchrodingersCat,2701,1 - 0,GM,GM_dmitrij,3002
GM,OparinGrigoriy,3086,0 - 1,IM,AaravDenglaOfficial,2691
FM,tusplingher,2626,0 - 1,GM,mitrabhaa,2938
GM,GMBenjaminBok,3076,1 - 0,CM,Grossboss19,2610
IM,ViralduS,2592,1 - 0,GM,abhidabhi,2906
GM,Hikaru,3276,1 - 0,GM,JSPrepz,2798
NM,forevery0ung,2759,0 - 1,GM,HansOnTwitch,3128
GM,Firouzja2003,3188,1 - 0,GM,KNVB,2814
GM,Kobalia,2792,0 - 1,GM,amintabatabaei,3095
GM,LyonBeast,3125,1 - 0,IM,Revan_2002,2747
GM,ChessQueen,2729,1 - 0,GM,Jospem,3102
IM,DeTimmerman,2746,0 - 1,GM,mishanick,3038
GM,Polish_fighter3000,3057,1 - 0,FM,GoltsevDmitry2000,2802
GM,Msb2,3112,1 - 0,FM,ilqar_74,2849
IM,blitzking1729,2822,1 - 0,GM,BogdanDeac,3106
FM,Rurep26,2661,0 - 1,GM,SpeedofLight0,3111
GM,DanielNaroditsky,3049,1 - 0,IM,Individoom,2709
FM,Wizard_97,2719,0 - 1,GM,LevonAronian,3039
GM,Oleksandr_Bortnyk,3111,1 - 0,IM,Kildepiotr,2735
GM,ValentinDragnev,2752,0 - 1,GM,wonderfultime,3083
GM,GMG,2743,½ - ½,GM,sergoy,2956
GM,mitrabhaa,2938,1 - 0,FM,TanitoluwaAps116,2863
