white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,djano,2622,0 - 1,GM,MagnusCarlsen,3313
GM,LyonBeast,3125,1 - 0,NM,KChor05,2610
FM,HATilay,2597,0 - 1,GM,nihalsarin,3211
GM,mishanick,3038,1 - 0,FM,Payyappat,2477
NM,infinitegiantkiller,2486,0 - 1,GM,Firouzja2003,3188
GM,FabianoCaruana,3101,1 - 0,FM,Carlitus2004,2474
NM,noblerone,2540,0 - 1,GM,Bigfish1995,3064
GM,GHANDEEVAM2003,3044,1 - 0,FM,Seinw1,2556
IM,Macron20hTF1,2564,1 - 0,GM,Msb2,3112
GM,artooon,3075,1 - 0,FM,luizzy,2644
IM,atalz0,2452,0 - 1,GM,DenLaz,3104
GM,Grischuk,3058,1 - 0,CM,zverr1,2511
FM,Bullet_Jachym08,2743,0 - 1,GM,dropstoneDP,3016
IM,Rud_Makarian,3004,1 - 0,CM,reevecanada,2678
CM,GameOverBro,2602,0 - 1,GM,Jospem,3102
GM,LevonAronian,3039,1 - 0,FM,Samatsa,2519
FM,ArtemDyachuk,2673,1 - 0,GM,gurelediz,3053
GM,garcho08,2944,1 - 0,FM,Dragon_Dmitry,2442
NM,Mattheii,2556,0 - 1,GM,amintabatabaei,3095
GM,FairChess_on_YouTube,3064,1 - 0,FM,AquivaRubinstein,2598
WFM,Lady_Nika,2540,0 - 1,GM,VladimirKramnik,2992
GM,OparinGrigoriy,3086,1 - 0,FM,NicolaiMaxime,2707
CM,ATM622,2458,0 - 1,GM,BillieKimbah,2938
GM,joppie2,3034,1 - 0,IM,Thjop,2661
IM,Ykow,2740,0 - 1,GM,abhidabhi,2906
GM,MagnusCarlsen,3313,1 - 0,GM,Kevin_Goh,2752
GM,Mikhail_Golubev,2598,1 - 0,GM,LyonBeast,3125
IM,Sokoloco,2659,1 - 0,GM,mishanick,3038
GM,Firouzja2003,3188,1 - 0,FM,Arek_pacitan,2628
FM,Vsevolod_Ovchinnikov,2635,0 - 1,GM,FabianoCaruana,3101
GM,Bigfish1995,3064,1 - 0,FM,psychokiller48,2662
IM,Adar_07,2851,0 - 1,GM,GHANDEEVAM2003,3044
FM,jerry_77,2626,0 - 1,GM,artooon,3075
GM,DenLaz,3104,1 - 0,IM,benny_aizenberg,Unrated
FM,jeetjain,2593,0 - 1,GM,Grischuk,3058
GM,dropstoneDP,3016,1 - 0,FM,banane_verte,2557
FM,RojonR,2693,0 - 1,IM,Rud_Makarian,3004
GM,Jospem,3102,1 - 0,IM,Semetey,2525
GM,rookoco,2559,0 - 1,GM,LevonAronian,3039
FM,RandomNoob04,2712,1 - 0,GM,garcho08,2944
GM,amintabatabaei,3095,1 - 0,GM,Shiirav,2647
IM,Beltraxtor,2775,0 - 1,GM,FairChess_on_YouTube,3064
GM,VladimirKramnik,2992,1 - 0,IM,HamedWafa4,2759
FM,Timerkhanov,2587,1 - 0,GM,OparinGrigoriy,3086
GM,BillieKimbah,2938,1 - 0,IM,FontVella8,2718
CM,GAZZAN_3000,2764,0 - 1,GM,joppie2,3034
GM,abhidabhi,2906,1 - 0,FM,WPWPWP-2015,2596
FM,KononenkoD,2605,0 - 1,IM,Sina_Movahed,3044
GM,TigrVShlyape,2866,0 - 1,FM,GoltsevDmitry2000,2802
GM,kuli4ik,2916,1 - 0,IM,Ranindu2003,2699
IM,blitzking1729,2822,0 - 1,GM,MagnusCarlsen,3313
FM,ODreamchess,2814,½ - ½,GM,Firouzja2003,3188
GM,FabianoCaruana,3101,1 - 0,FM,BeanScreen,2678
IM,Sl4werThanYou,2730,0 - 1,GM,Bigfish1995,3064
GM,GHANDEEVAM2003,3044,1 - 0,GM,GM_shahin,2892
GM,artooon,3075,1 - 0,GM,ChessSkool,2728
IM,scarabee43,2909,0 - 1,GM,DenLaz,3104
GM,Grischuk,3058,1 - 0,IM,lamomiajunior,2772
IM,Zohid6,2958,0 - 1,GM,dropstoneDP,3016
GM,LevonAronian,3039,1 - 0,GM,shyam,2746
IM,Rud_Makarian,3004,0 - 1,GM,tdf98pantani,2752
FM,Makswolf200817,2760,0 - 1,GM,Jospem,3102
FM,bascheyaro,2816,0 - 1,GM,amintabatabaei,3095
GM,FairChess_on_YouTube,3064,1 - 0,GM,GMAkobianSTL,2826
FM,KarolKacprzak,2800,0 - 1,GM,VladimirKramnik,2992
FM,ChessicallyInclined,2841,0 - 1,GM,BillieKimbah,2938
GM,joppie2,3034,1 - 0,IM,Korchmar_Vasiliy,2711
IM,CSB7,2773,1 - 0,GM,abhidabhi,2906
IM,Sina_Movahed,3044,0 - 1,IM,Trendle,2634
FM,Alex_Sahakyan2006,2698,1 - 0,GM,kuli4ik,2916
GM,shimastream,3025,1 - 0,CM,KogotBobra17,2837
GM,ftorodent,2647,0 - 1,GM,ChessLover0108,2943
WGM,meoluoi91,2533,1 - 0,GM,Anton_Demchenko,2898
GM,evgchess5,2903,1 - 0,FM,nekotyanof,2779
GM,Vladimir_Zakhartsov,2908,1 - 0,GM,Mikhail_Golubev,2598
GM,MagnusCarlsen,3313,1 - 0,IM,Mops_2004,2760
FM,ShiroglanTalibov,2863,0 - 1,GM,FabianoCaruana,3101
GM,Igor_Lysyj,2853,0 - 1,GM,Bigfish1995,3064
GM,FGHSMN,2857,0 - 1,GM,GHANDEEVAM2003,3044
FM,JeRoma71,2834,0 - 1,GM,artooon,3075
GM,DenLaz,3104,1 - 0,GM,Byniolus,2842
GM,vugarrasulov,2933,0 - 1,GM,Grischuk,3058
GM,dropstoneDP,3016,1 - 0,IM,AnujShrivatri21,2802
IM,atbenina64,2790,0 - 1,GM,LevonAronian,3039
GM,Jospem,3102,1 - 0,GM,JSPrepz,2798
GM,amintabatabaei,3095,1 - 0,FM,Bauman_Guy,2907
