white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
CM,soul_mortall,2592,0 - 1,GM,Hikaru,3324
GM,MagnusCarlsen,3256,1 - 0,FM,Chess_Diligent,2600
FM,Piriflillo,2626,0 - 1,GM,GMWSO,3205
GM,DanielNaroditsky,3083,1 - 0,CM,Tolyanius,2681
FM,Barboval,2637,0 - 1,GM,AnishGiri,3131
GM,Philippians46,3113,1 - 0,CM,Cheer_Down,2457
FM,Mr_ruthless,2617,0 - 1,GM,FairChess_on_YouTube,3130
GM,Parhamov,3100,1 - 0,FM,Whiteking2009,2572
CM,PainTrain08,2567,0 - 1,GM,Javokhir_Sindarov05,3169
GM,amintabatabaei,3005,1 - 0,CM,Navi_NazarPro,2536
FM,ahkashefi2800,2546,0 - 1,GM,wonderfultime,3063
GM,artooon,3064,1 - 0,FM,MaiqMaster,2555
FM,CristianS27,2605,0 - 1,GM,Bigfish1995,3097
GM,OparinGrigoriy,3035,1 - 0,IM,Djager97,2542
FM,Frankie_Badacsonyi,2504,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,bardiya_Daneshvar,2979,0 - 1,FM,Kirill_Kopenkin,2477
NM,SipahiPower,2548,0 - 1,GM,Angry_Twin,2995
GM,GOGIEFF,3056,1 - 0,FM,ahmedkandiliii,2721
FM,inagreV,2537,0 - 1,FM,rezamahdavi2008,2954
GM,GeorgMeier,2972,½ - ½,CM,BlunderMaster2335,2629
GM,Rumpel-VK,2539,½ - ½,GM,LiemLe,3132
GM,mitrabhaa,2964,1 - 0,FM,SmirnovAlexandrA,2543
FM,Der_Balak_3Halak,2535,0 - 1,IM,Rud_Makarian,3076
GM,MrTattaglia,3027,1 - 0,FM,chess_mad35,2581
IM,Bencus12,2546,1 - 0,FM,artin10862,3004
GM,shimastream,3047,1 - 0,IM,BigAl,2555
FM,JG-17,2601,0 - 1,IM,Murad_Ibrahimli,3002
GM,rasmussvane,2986,1 - 0,FM,tinnakrit,2595
FM,Hananmo,2551,1 - 0,GM,Genghis_K,2933
IM,MatthewG-p4p,2904,1 - 0,GM,maximnovik,2661
NM,Mihajlovskij,2470,0 - 1,GM,BlueWizzard,2965
GM,DrVelja,2966,0 - 1,NM,Rawnsdale,2509
CM,Bullhouse14,2672,0 - 1,IM,Yaacovn,2830
GM,Jospem,3080,1 - 0,NM,3Ke31-0,2436
CM,surrenderPLS,2519,0 - 1,GM,Anton_Demchenko,3024
