white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
CM,Young_Catalan_Player09,2601,1 - 0,GM,Hikaru,3324
GM,LyonBeast,3197,1 - 0,GM,SharapovEvgeny,2683
FM,Nouali_Mohamed,2567,0 - 1,GM,Bigfish1995,3097
GM,Grischuk,3033,1 - 0,CM,Shuvalov,2689
IM,m_ezat,2748,0 - 1,GM,LevonAronian,3088
IM,Rud_Makarian,3009,1 - 0,FM,jerry_77,2569
FM,RealJerusalem,2436,0 - 1,GM,Jospem,3080
GM,FairChess_on_YouTube,3130,1 - 0,WFM,malakismayil,2592
FM,aistrel,2702,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,wonderfultime,3063,1 - 0,CM,zverr1,2615
FM,JoliyRoger,2575,0 - 1,GM,Polish_fighter3000,3200
GM,artooon,3064,½ - ½,FM,NovoselovRoman,2679
FM,Casper,2565,0 - 1,GM,mishanick,3099
GM,vi_pranav,3032,1 - 0,FM,Pingah9,2612
CM,Capablanca_Oujda_2021,2376,0 - 1,GM,lachesisQ,3144
GM,DenLaz,3161,1 - 0,FM,sakkikuska,2652
NM,ProChessWICTH,2647,0 - 1,GM,BogdanDeac,3059
GM,Macho_2006,2929,0 - 1,FM,TokChess,2532
CM,Actuary44,2553,0 - 1,GM,dropstoneDP,3076
GM,GOGIEFF,3056,1 - 0,IM,Journey_to_GrandMaster_YT,2690
CM,komogro,2527,0 - 1,GM,Denis_Makhnyov,2988
GM,BilodeauA,2976,1 - 0,FM,Hananmo,2551
FM,KononenkoD,2626,0 - 1,GM,AnishOnYoutube,3072
GM,OparinGrigoriy,3035,1 - 0,CM,TitarovVasiliYouTube,2522
IM,Homelander150,2760,0 - 1,GM,Salem-AR,3113
GM,ChristopherYoo,3068,0 - 1,FM,ahmedkandiliii,2721
FM,colegiodemadrid,2553,0 - 1,GM,Angry_Twin,2995
GM,shimastream,3060,1 - 0,CM,bilosuvenosu06,2575
FM,mortngabriel,2565,½ - ½,GM,Durarbayli,2931
GM,Njal28,3000,1 - 0,FM,SHIVACalypso,2532
NM,LiadCuba,2415,0 - 1,GM,Shield12,2954
GM,tptagain,3030,1 - 0,FM,HajiyevKanan,2599
CM,GKARU,2543,0 - 1,GM,KuzubovYuriy,2958
GM,platy3,2964,1 - 0,FM,DvaHrasta,2597
CM,GameOverBro,2474,0 - 1,GM,ChessLover0108,2970
IM,Sina_Movahed,3044,1 - 0,FM,Kaua18,2604
NM,szachuspl,2661,0 - 1,GM,adotand,2885
GM,Fandorine,2997,1 - 0,FM,PositionalPanther,2537
FM,MasterKroket,2599,0 - 1,GM,VladimirKramnik,3040
GM,Zhigalko_Sergei,2974,1 - 0,CM,amanjazu,2646
FM,jeetjain,2634,0 - 1,GM,Alexander_Donchenko,2843
GM,Sam_ChessMood,2987,1 - 0,FM,kecalk,2711
IM,ural58,2519,½ - ½,GM,vugarrasulov,3010
FM,artin10862,3004,1 - 0,FM,FoggyMorning,2688
FM,DeArron_Fox,2675,0 - 1,GM,hansen,3054
GM,TigrVShlyape,2868,1 - 0,IM,Triumphmate,2638
IM,dosto07,2527,0 - 1,GM,Genghis_K,2933
IM,FaustinoOro,3101,0 - 1,NM,AwareIdea,2585
