white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
NM,Manukyan_Artak,2426,½ - ½,GM,MagnusCarlsen,3313
GM,Hikaru,3276,1 - 0,FM,Nf3c5,2629
NM,KChor05,2610,0 - 1,GM,Konavets,3134
GM,Firouzja2003,3188,1 - 0,WCM,bitter-cikolata,2508
FM,valik3504,2544,0 - 1,GM,Duhless,3105
GM,LyonBeast,3125,1 - 0,CM,Statham,2692
IM,Caroexpert,2567,0 - 1,GM,LevonAronian,3039
GM,Oleksandr_Bortnyk,3111,1 - 0,IM,RichardLeyvaP,2657
NM,AwareIdea,2620,0 - 1,GM,Grischuk,3058
GM,DenLaz,3104,1 - 0,IM,Barmen_EV,2508
FM,Herzog2012,2695,0 - 1,GM,GMWSO,3072
GM,mishanick,3038,1 - 0,IM,santosalberto1987,2505
CM,TitarovVasiliYouTube,2575,0 - 1,GM,Jospem,3102
GM,FairChess_on_YouTube,3064,1 - 0,FM,ErikRonka,2512
GM,SharapovEvgeny,2632,0 - 1,GM,Polish_fighter3000,3057
GM,Msb2,3112,1 - 0,IM,dosto07,2460
CM,Shuvalov,2612,½ - ½,GM,iturrizaga,2978
GM,vi_pranav,3103,1 - 0,FM,only_strong_moves,2756
NM,ybothg,2483,0 - 1,GM,dropstoneDP,3010
GM,Bigfish1995,3064,1 - 0,FM,oganromchess,2507
IM,Triumphmate,2564,0 - 1,GM,BogdanDeac,3106
IM,Rud_Makarian,3004,1 - 0,FM,Casper,2571
FM,Giorno,2479,0 - 1,IM,MITerryble,3011
GM,Njal28,3041,1 - 0,FM,FoggyMorning,2713
FM,Aguiar94,2618,0 - 1,GM,jefferyx,3067
IM,viktorskliarov,2724,0 - 1,GM,Hikaru,3276
GM,Konavets,3134,0 - 1,FM,SahibSinghKnight,2715
CM,quvnoq_muxlis,2747,0 - 1,GM,Firouzja2003,3188
GM,Duhless,3105,1 - 0,IM,Mops_2004,2760
GM,TregubovP,2675,½ - ½,GM,LyonBeast,3125
GM,LevonAronian,3039,½ - ½,IM,aa175,2943
IM,DamianoLew95,2757,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Grischuk,3058,1 - 0,CM,SashaKuzhilniy,2621
GM,Roman_Ovetchkin,2589,0 - 1,GM,DenLaz,3104
GM,GMWSO,3072,1 - 0,FM,OriTaichman,2680
FM,Makswolf200817,2760,0 - 1,GM,mishanick,3038
GM,Jospem,3102,1 - 0,FM,Timerkhanov,2587
IM,GeorgiosSouleidis,2670,0 - 1,GM,FairChess_on_YouTube,3064
GM,Polish_fighter3000,3057,1 - 0,FM,Yeritsyaan,2659
GM,iwanyu,2845,½ - ½,GM,Msb2,3112
FM,KarstenHansch,2698,1 - 0,GM,vi_pranav,3103
GM,dropstoneDP,3010,1 - 0,IM,IMRosen,2714
FM,Thursday_the_14_th,2652,0 - 1,GM,Bigfish1995,3064
GM,BogdanDeac,3106,1 - 0,IM,AaravDenglaOfficial,2691
CM,Dinosaurio_1975,2610,0 - 1,IM,Rud_Makarian,3004
IM,MITerryble,3011,½ - ½,FM,lefonghua,2478
IM,wadsy27,2678,0 - 1,GM,Njal28,3041
GM,jefferyx,3067,1 - 0,FM,AlexPapasimakopoulos,2723
GM,Malev212,2604,0 - 1,GM,sergoy,2956
FM,SmirnovAlexandrA,2567,0 - 1,GM,FormerProdigy,2933
GM,Hikaru,3276,1 - 0,FM,secretworker2027,2663
GM,Firouzja2003,3188,1 - 0,FM,Andrey_Klymchuk,2764
GM,Gabrielian_Artur,2817,0 - 1,GM,Duhless,3105
GM,Oleksandr_Bortnyk,3111,0 - 1,GM,krzyzan94,2826
IM,Legendinunknown,2814,1 - 0,GM,Grischuk,3058
GM,DenLaz,3104,1 - 0,IM,IM_ArthurDW08,2783
GM,Sychev_Klementy,3002,0 - 1,GM,GMWSO,3072
GM,mishanick,3038,1 - 0,GM,DrVitman,2783
IM,PavelShkapenko,2778,0 - 1,GM,Jospem,3102
GM,FairChess_on_YouTube,3064,1 - 0,GM,NewBornNow,2836
IM,Lennis93,2744,0 - 1,GM,Polish_fighter3000,3057
IM,pavet,2702,½ - ½,GM,dropstoneDP,3010
GM,Bigfish1995,3064,½ - ½,GM,Rodalquilar,2778
GM,sokidze,2917,1 - 0,GM,BogdanDeac,3106
IM,Rud_Makarian,3004,1 - 0,GM,tjallkompall,2852
GM,Njal28,3041,1 - 0,IM,DonkyDonkyDonkey,2932
GM,GMKrikor,2857,0 - 1,GM,jefferyx,3067
GM,sergoy,2956,½ - ½,IM,Akewjon,2754
GM,FormerProdigy,2933,1 - 0,IM,DreamsAreFake,2715
GM,Nikolakis2014,2755,0 - 1,GM,Shield12,2952
GM,igorkovalenko,2961,0 - 1,FM,Iball95,2814
FM,KarolKacprzak,2800,½ - ½,GM,GHANDEEVAM2003,3044
GM,rasmussvane,2941,1 - 0,IM,chenxiaoyuer,2907
GM,Aygehovit1992,2723,0 - 1,GM,Prizant_academy,3183
IM,Martial2008,2779,0 - 1,GM,Fandorine,2924
GM,AryanTari,2977,0 - 1,GM,Hikaru,3276
FM,Bauman_Guy,2907,0 - 1,GM,Firouzja2003,3188
GM,Duhless,3105,1 - 0,GM,XDPS,2812
FM,artin10862,2960,½ - ½,GM,DenLaz,3104
GM,GMWSO,3072,1 - 0,IM,Yaacovn,2950
GM,vladislavkovalev,2875,0 - 1,GM,mishanick,3038
GM,Jospem,3102,1 - 0,GM,platy3,3018
GM,KuzubovYuriy,2973,0 - 1,GM,FairChess_on_YouTube,3064
GM,Polish_fighter3000,3057,1 - 0,IM,inneremptiness,2823
GM,Kiborg95,2839,0 - 1,IM,Rud_Makarian,3004
GM,Macho_2006,2946,1 - 0,GM,Njal28,3041
GM,jefferyx,3067,½ - ½,GM,JSPrepz,2798
IM,Rsnr,2968,½ - ½,GM,FormerProdigy,2933
GM,Shield12,2952,0 - 1,IM,WhiteKnight2612,2816
GM,baki83,2889,½ - ½,GM,rasmussvane,2941
GM,Prizant_academy,3183,0 - 1,IM,Kirill_Klukin,2914
GM,Fandorine,2924,1 - 0,GM,Vladimir_Zakhartsov,2908
GM,Genghis_K,2928,0 - 1,GM,Anton_Demchenko,2898
NM,MightyGMpretender,2882,1 - 0,GM,vugarrasulov,2933
GM,artooon,3075,1 - 0,GM,Durarbayli,2925
NM,forevery0ung,2759,1 - 0,GM,tptagain,2995
GM,BirdMaster3000,2708,0 - 1,GM,Zhigalko_Sergei,2912
GM,francyIM,2956,1 - 0,GM,TigrVShlyape,2866
GM,krzyzan94,2826,0 - 1,GM,GrigorGrigorov,2826
GM,SantoBlue,2967,1 - 0,GM,A-Fier,2789
GM,Hikaru,3276,1 - 0,GM,Zhigalko_Sergei,2912
GM,Firouzja2003,3188,1 - 0,GM,SantoBlue,2967
GM,crescentmoon2411,2913,1 - 0,GM,Duhless,3105
GM,bancsoo,2843,½ - ½,GM,GMWSO,3072
GM,Jospem,3102,½ - ½,GM,Macho_2006,2946
IM,WhiteKnight2612,2816,0 - 1,GM,FairChess_on_YouTube,3064
IM,Kirill_Klukin,2914,0 - 1,GM,Polish_fighter3000,3057
IM,Rud_Makarian,3004,0 - 1,NM,MightyGMpretender,2882
NM,forevery0ung,2759,1 - 0,GM,Fandorine,2924
GM,Anton_Demchenko,2898,0 - 1,GM,francyIM,2956
GM,sokidze,2917,½ - ½,GM,artooon,3075
GM,MagnusCarlsen,3313,0 - 1,GM,GroovyKettle,2973
GM,LyonBeast,3125,1 - 0,CM,stollenmonster,2921
GM,LevonAronian,3039,0 - 1,FM,artin10862,2960
GM,DenLaz,3104,0 - 1,FM,TrahtarBelarus,2871
IM,klimkoj,2930,0 - 1,IM,MITerryble,3011
IM,MetiForce,2969,0 - 1,GM,jefferyx,3067
GM,JSPrepz,2798,½ - ½,GM,sergoy,2956
GM,FormerProdigy,2933,0 - 1,GM,baki83,2889
GM,shimastream,3025,1 - 0,IM,Rsnr,2968
GM,GMSrinath,2910,½ - ½,GM,GHANDEEVAM2003,3044
GM,rasmussvane,2941,1 - 0,IM,Legendinunknown,2814
GM,lilleper1,2892,0 - 1,CM,AlbusSevresPotter,2597
GM,Konavets,3134,1 - 0,CM,profedechess93,2631
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,Rodalquilar,2778
GM,crescentmoon2411,2913,½ - ½,GM,Hikaru,3276
NM,MightyGMpretender,2882,0 - 1,GM,Firouzja2003,3188
GM,FairChess_on_YouTube,3064,1 - 0,NM,forevery0ung,2759
GM,Polish_fighter3000,3057,1 - 0,GM,francyIM,2956
GM,GroovyKettle,2973,0 - 1,GM,LyonBeast,3125
GM,GMWSO,3072,½ - ½,FM,artin10862,2960
FM,TrahtarBelarus,2871,0 - 1,GM,Jospem,3102
IM,MITerryble,3011,½ - ½,GM,bancsoo,2843
GM,jefferyx,3067,0 - 1,GM,Macho_2006,2946
GM,baki83,2889,0 - 1,GM,shimastream,3025
GM,sokidze,2917,1 - 0,GM,rasmussvane,2941
GM,artooon,3075,1 - 0,CM,AlbusSevresPotter,2597
GM,platy3,3018,1 - 0,GM,Konavets,3134
GM,Duhless,3105,0 - 1,GM,KuzubovYuriy,2973
FM,GalaxyRoman,2823,0 - 1,GM,Oleksandr_Bortnyk,3111
IM,inneremptiness,2823,1 - 0,GM,mishanick,3038
GM,JSPrepz,2798,0 - 1,GM,Grischuk,3058
GM,Kiborg95,2839,0 - 1,GM,vi_pranav,3103
IM,WhiteKnight2612,2816,0 - 1,GM,Bigfish1995,3064
GM,jcibarra,2970,0 - 1,IM,Rud_Makarian,3004
GM,sergoy,2956,½ - ½,IM,Kirill_Klukin,2914
GM,Shield12,2952,½ - ½,IM,MyDream003,2943
