white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3324,1 - 0,GM,Andrei_Belozerov,2753
IM,dosto07,2527,0 - 1,GM,DanielNaroditsky,3083
GM,Firouzja2003,3199,1 - 0,GM,kuchma777,2553
NM,Flaccidmoves,2394,0 - 1,GM,DenLaz,3161
GM,mishanick,3099,1 - 0,CM,Jesseinkman,2483
FM,xakevicius91,2470,0 - 1,GM,Javokhir_Sindarov05,3169
GM,FairChess_on_YouTube,3130,1 - 0,FM,Muslim_player_05,2588
NM,ReinisUz,2564,½ - ½,GM,FabianoCaruana,3146
GM,Prizant_academy,3183,1 - 0,CM,FerAsensio2024,2573
IM,chessllermo,2528,0 - 1,GM,Msb2,3036
GM,jefferyx,2999,0 - 1,CM,Rakitic2010,2591
IM,SVijayalakshmi,2636,0 - 1,GM,BogdanDeac,3029
GM,AnishOnYoutube,3072,1 - 0,IM,ElDivis,2492
NM,vinclat,2552,0 - 1,GM,GHANDEEVAM2003,3180
GM,GM_dmitrij,2994,1 - 0,GM,Vanych,2726
CM,Zenekritikus04,2538,0 - 1,IM,Rud_Makarian,3009
GM,lachesisQ,3144,1 - 0,GM,Zq1,2472
FM,oggy1984,2503,0 - 1,GM,dropstoneDP,3076
GM,ChristopherYoo,3068,1 - 0,FM,Vsevolod_Ovchinnikov,2643
FM,WindWhistler11,2530,0 - 1,GM,wonderfultime,3063
GM,FGHSMN,2935,1 - 0,CM,zverr1,2615
FM,Hananmo,2551,0 - 1,GM,LiemLe,3132
GM,LevonAronian,3088,1 - 0,NM,Itay121,2634
FM,el_sporco,2597,0 - 1,GM,Alexander_Zubov,3018
GM,Shield12,2954,1 - 0,IM,GMAneta,2563
GM,yobdc,2608,0 - 1,GM,frederiksvane,2989
GM,artooon,3064,1 - 0,FM,HajiyevKanan,2599
CM,VaglioSagan,2519,1 - 0,GM,iturrizaga,2996
GM,Sanan_Sjugirov,2994,1 - 0,CM,calmberserk,2598
GM,gm_rashid,2537,0 - 1,GM,h4parah5,2990
IM,Zohid6,2932,1 - 0,FM,whitemirrorninja,2548
IM,Cherone,2587,0 - 1,GM,SantoBlue,3016
GM,Vaathi_Coming,2998,1 - 0,FM,Giorno,2558
FM,Kislov_Oleg,2490,0 - 1,GM,vugarrasulov,3010
GM,rasmussvane,2952,1 - 0,NM,toninhojit,2564
FM,Al_Shima,2421,0 - 1,GM,1stSecond,2992
IM,klimkoj,2879,1 - 0,CM,GilbertoHernandezAmura,2647
FM,Pingah9,2612,0 - 1,IM,MatthewG-p4p,2904
GM,Zhigalko_Sergei,2974,1 - 0,FM,zacachess,2529
FM,Bastiandash,2666,0 - 1,GM,penguingm1,2974
GM,Durarbayli,2931,1 - 0,FM,Partytime1180,2483
IM,JordanLoyd2020,2546,0 - 1,IM,Kacparov,2992
GM,Jakhongir-Vakhidov,2940,1 - 0,FM,Rosh1610,2658
CM,TitarovVasiliYouTube,2522,½ - ½,GM,FormerProdigy,2937
GM,Paralinch,2914,1 - 0,NM,noblerone,2617
WFM,Lady_Nika,2553,0 - 1,GM,kuli4ik,3012
GM,AryanTari,2986,½ - ½,GM,maximnovik,2661
WFM,MashaFromRussia,2477,0 - 1,GM,Macho_2006,2929
GM,DominguezOnYoutube,2976,1 - 0,FM,Schattman,2499
WFM,ccccvhhhj,2534,0 - 1,GM,TigrVShlyape,2868
GM,Chopper1905,2980,1 - 0,IM,chrisclaireredfield,2591
FM,DonMicheleCorleone,2529,1 - 0,GM,Fandorine,2997
GM,baki83,2929,1 - 0,FM,elamier,2408
CM,sirinbaba33,2673,0 - 1,GM,Angry_Twin,2995
IM,Kirill_Klukin,2927,1 - 0,FM,Kev4444444444,2499
FM,Dr_Pepper18,2494,0 - 1,FM,ilqar_74,2842
GM,platy3,2964,1 - 0,IM,atalz0,2487
IM,Balla_Tamas,2646,0 - 1,GM,alexrustemov,2879
FM,artin10862,3004,1 - 0,NM,ploxoi,2475
CM,Cheer_Down,2457,0 - 1,GM,tjychess,3030
IM,Eduard_Limonov,2864,1 - 0,NM,harshu27,2466
FM,Bugcrusher,2469,0 - 1,IM,mbojan,2902
FM,rychessmaster1,2820,1 - 0,NM,Road2GM3000,2594
WIM,Savagelittlemole,2538,0 - 1,IM,Arystanner,2928
IM,Chessmissile07,2939,1 - 0,FM,patzer-reloaded,2509
FM,Funki_123,2701,0 - 1,GM,shimastream,3060
IM,monomita,2836,0 - 1,FM,Mmukka,2527
FM,Sondremelaa,2620,0 - 1,GM,lilleper1,2955
GM,MarkusRagger,2942,1 - 0,CM,NeonNinja73,2592
IM,topalovkramnik,2532,0 - 1,GM,K_A_S_T_O_R,2804
IM,ulises2013,2872,1 - 0,NM,CFalcons8,2455
FM,G10De_Arrascaeta,2563,1 - 0,FM,ValentunHulka,2905
GM,emiliocordova,2860,1 - 0,FM,MFatigue,2533
FM,frankshar,2432,0 - 1,IM,chenxiaoyuer,2749
IM,BahadirOzen,2904,1 - 0,CM,topce,2515
FM,Fleetw00dMac,2548,0 - 1,FM,PeshkaCh,2871
IM,SchmakAttack,2797,0 - 1,FM,bogcsab,2292
IM,grunbergmihai,2517,0 - 1,IM,MolecularChemist,2975
GM,Alexander_Donchenko,2843,1 - 0,NM,Gnechko_Ruslan,2449
FM,Ceejay271,2417,0 - 1,IM,scarabee43,2945
IM,Seochesspie,2914,1 - 0,NM,Yanidze,2475
IM,ural58,2519,1 - 0,IM,aa175,2847
GM,Kiborg95,2839,1 - 0,IM,DawidCzerw,2481
WFM,Preobrazhenska_D2011,2514,0 - 1,GM,ckgchess,2940
GM,moro182,2888,1 - 0,CM,robertoalejandro10,2555
IM,Dmitry_Ponomarev,2347,0 - 1,GM,Rakhmanov_Aleksandr,2861
FM,BardArtem,2880,1 - 0,FM,Ryukchess81,2494
NM,SipahiPower,2548,0 - 1,IM,c63_amg,2807
IM,RobertoJBM,2868,1 - 0,IM,Squirlolz,2563
FM,Eloist,2448,0 - 1,GM,Cayse,2901
IM,Mops_2004,2826,0 - 1,FM,Silent-Killer100,2660
FM,Siniauski,2494,1 - 0,GM,maciek_92,3000
GM,A-Fier,2820,0 - 1,FM,David_George21,2609
FM,Chessbard1972,2353,0 - 1,GM,CarlosAlbornoz,2826
IM,Yaacovn,2868,1 - 0,NM,Divljasvinja14,2538
FM,leandrojimenez,2461,0 - 1,IM,kingofthenil,2951
IM,Ranindu2003,2853,1 - 0,IM,Happy1712Drummer,2675
NM,SharathRk6,2561,0 - 1,GM,vladislavkovalev,2826
CM,vovachesss,2801,½ - ½,CM,jlf287,2465
NM,FollowRivers,2460,0 - 1,FM,bascheyaro,2818
IM,remi04,2905,1 - 0,FM,isla88,2558
NM,ZachHKL,2498,0 - 1,IM,super_emi_26,2822
IM,HamedWafa4,2844,1 - 0,FM,Josgar05,2490
NM,EddieUrquhart,2553,1 - 0,GM,Colchonero64,2799
IM,Keranke,3000,0 - 1,FM,TheDisposer,2540
CM,BashiqChess,2397,0 - 1,FM,AlexPapasimakopoulos,2763
IM,blitzking1729,2813,1 - 0,FM,Qvalda,2525
NM,Zheenbekov86,2447,0 - 1,IM,Klassimo18,2858
IM,IlanSchnaider,2835,0 - 1,CM,Zephyr5000,2435
FM,picturesquecheck,2496,0 - 1,GM,sokidze,3003
CM,Puzzlebot_1294,2652,1 - 0,FM,Hirna2005,2405
FM,Juicy_Fork,2548,0 - 1,IM,atbenina64,2804
GM,goodluck06,2678,1 - 0,FM,PositionalPanther,2537
NM,ShimogaTactician,2576,0 - 1,IM,Individoom,2890
IM,Legendinunknown,2778,1 - 0,FM,RedFirePanda,2604
CM,NovakRatko,2479,0 - 1,IM,DrKerfuffle,2802
GM,GMAkobianSTL,2965,1 - 0,FM,StoreySniper,2380
NM,AktilekAskarovich,2410,0 - 1,GM,PepeCuenca,2759
IM,jumpingknight20,2835,1 - 0,FM,Payyappat,2439
FM,Veganator13,2609,1 - 0,IM,Agibileg,2667
FM,RandomNoob04,2726,1 - 0,FM,Anirudhha33,2709
CM,Fernando_Offermann,2416,0 - 1,FM,carokannlover213,2950
FM,sofaceindisguise,2749,1 - 0,FM,Vincefm,2487
WFM,Elnaz_Kaliakhmet,2524,0 - 1,GM,JSPrepz,2884
GM,js20000,2821,1 - 0,CM,HeroWilczek,2653
FM,Kotofeyca,2540,1 - 0,FM,luckyswitchback,2844
GM,Aygehovit1992,2769,1 - 0,WFM,gpsji27,2526
IM,IndianSchoolOfSuffering,2464,1 - 0,GM,Budisavljevic,2790
FM,GoltsevDmitry2000,2829,1 - 0,FM,Tactican_228,2448
WGM,Irina_Mikhaylova,2401,½ - ½,FM,Karateloru,2746
IM,beatles_22,2783,1 - 0,FM,Antosha_Chekhonte,2595
NM,savchess06,2489,0 - 1,FM,bubeliang,2924
FM,hakanazeri2,2922,1 - 0,CM,David_ATM,2489
FM,gospodarsaha07,2502,0 - 1,FM,ShadowKing71,2868
IM,Boundless_Strike,2618,1 - 0,NM,JUMPINGJAC2,2619
FM,JoliyRoger,2575,1 - 0,FM,Chessmatenokk17,2816
GM,Nikolakis2014,2755,1 - 0,CM,Josetricks,2636
CM,Klendi,2577,1 - 0,IM,Alexander_Khlebovich,2807
IM,Ordekalog,2748,1 - 0,FM,corvachesky,2476
FM,Casper,2565,1 - 0,GM,Grandmaster1369,2653
GM,Evgeny81,2763,1 - 0,FM,ljuks68,2476
NM,epiclord678,2373,0 - 1,NM,IamSchrodingersCat,2681
FM,Makswolf200817,2719,1 - 0,NM,falzehope0,2417
NM,BroderickBauml,2442,0 - 1,IM,lamomiajunior,2822
IM,mr_gustavo,2857,1 - 0,CM,brunomorado,2333
FM,KinKaiser,2440,0 - 1,FM,mwpchess,2607
CM,Yan_Dyomin2010,2811,1 - 0,CM,sleeping_in_the_fire,2505
NM,GoodOldBell,2618,0 - 1,FM,Chera_Chola_Pandya_in2024,2538
FM,Witik,2759,1 - 0,IM,IMVadim,2396
CM,Smiechu,2500,1 - 0,FM,Rashad_Zeynalli,2697
FM,TigranMukhutdinov,2702,1 - 0,CM,Massakru,2481
FM,Rafael_Ventura,2353,0 - 1,GM,Sokoloco,2741
IM,Akewjon,2885,1 - 0,NM,Chessdude1987,2422
CM,GMShoti,2508,½ - ½,CM,AmbartsumianTyhran2012,2609
IM,MikaKarttunen,2676,1 - 0,FM,wild3000,2508
FM,Dragon_Dmitry,2445,0 - 1,IM,CSB7,2831
GM,KNVB,2974,0 - 1,FM,alexgo05,2490
FM,Der_Balak_3Halak,2535,0 - 1,CM,quvnoq_muxlis,2920
FM,Gunner214,2784,1 - 0,FM,KonstantinVshivkov,2487
NM,DebileMenthol,2229,½ - ½,IM,IMRosen,2806
IM,BestStelker,2765,½ - ½,CM,probablybad04,2427
CM,Oxygen64,2534,0 - 1,IM,Revan_2002,2776
IM,Flawless_Fighter,2775,1 - 0,WFM,tylityli,2331
GM,volodja49,2552,1 - 0,FM,Mikasinski,2830
FM,FoggyMorning,2688,1 - 0,NM,InitiatingASC,2530
CM,NikFil2013,2335,½ - ½,GM,GMG,2815
GM,Fighterman91,2783,½ - ½,IM,vladoboch,2578
NM,Mihajlovskij,2470,0 - 1,GM,Mikhail_Golubev,2724
FM,AllCer7,2810,0 - 1,CM,tomesao,2476
CM,LionKing2367890,2530,½ - ½,FM,FREDERICKtheMATE,2772
FM,Leonid_Starozhilov,2728,1 - 0,WIM,Maftuna2303,2466
FM,MaxLeto,2540,1 - 0,FM,ChessSwole,2706
