white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,Kazmin_Semyon,2582,½ - ½,GM,Hikaru,3276
GM,MagnusCarlsen,3313,1 - 0,IM,Herman-NY,2655
IM,JJ_Masteringchess,2532,0 - 1,GM,Firouzja2003,3188
GM,mishanick,3038,1 - 0,NM,Noki102,2500
GM,Alexchess1984,2698,0 - 1,GM,HansOnTwitch,3128
GM,DenLaz,3104,1 - 0,IM,BigAl,2536
FM,Blitz_Lover1,2485,0 - 1,GM,Njal28,3041
GM,Grischuk,3058,½ - ½,CM,Chera_Chola_Pandya_in2024,2594
FM,el_sporco,2517,0 - 1,GM,nihalsarin,3211
GM,artooon,3075,1 - 0,WGM,Roachelley,2552
WFM,malakismayil,2592,0 - 1,GM,Msb2,3112
GM,GHANDEEVAM2003,3044,1 - 0,GM,Sic_Transit_GM,2552
FM,Patricius007,2566,0 - 1,GM,FairChess_on_YouTube,3064
GM,jefferyx,3067,1 - 0,WFM,koteRV1610,2531
CM,Artyom_ChessMate,2527,0 - 1,GM,Javokhir_Sindarov05,3126
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,Ginger_GM,2660
IM,Caroexpert,2567,0 - 1,GM,FabianoCaruana,3101
GM,gurelediz,3053,1 - 0,NM,Chaubunagungamaug1,2574
CM,Erdnya15,2659,0 - 1,GM,DanielNaroditsky,3049
GM,Jospem,3102,0 - 1,IM,Ykow,2740
CM,zverr1,2511,0 - 1,GM,vi_pranav,3103
GM,Alexander_Zubov,3018,1 - 0,FM,Hananmo,2535
FM,killer_dreams,2543,½ - ½,GM,wonderfultime,3083
GM,Indianlad,3064,1 - 0,NM,N_Mullodzhanov,2519
FM,MusicCityMaster,2528,0 - 1,GM,TigrVShlyape,2866
FM,NicolaiMaxime,2707,0 - 1,GM,MagnusCarlsen,3313
GM,Firouzja2003,3188,1 - 0,IM,kingnb,2738
FM,Ditman2007,2700,0 - 1,GM,mishanick,3038
GM,HansOnTwitch,3128,1 - 0,IM,GianmarcoVaR,2866
GM,Goryachkina,2680,½ - ½,GM,DenLaz,3104
GM,Njal28,3041,0 - 1,IM,IMRosen,2714
GM,nihalsarin,3211,0 - 1,FM,hakanazeri2,2728
FM,aistrel,2677,0 - 1,GM,artooon,3075
GM,Msb2,3112,½ - ½,FM,Forge13,2691
GM,Vanina1989,2693,0 - 1,GM,GHANDEEVAM2003,3044
GM,FairChess_on_YouTube,3064,1 - 0,IM,Ranindu2003,2699
IM,MishkaFighter,2674,0 - 1,GM,jefferyx,3067
GM,Javokhir_Sindarov05,3126,1 - 0,FM,chessbaerchen,2626
FM,Aryan_Tamadon,2585,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,FabianoCaruana,3101,1 - 0,IM,KubaGepard,2586
GM,Mikhail_Golubev,2598,½ - ½,GM,gurelediz,3053
GM,vi_pranav,3103,1 - 0,GM,tetrix83,2561
FM,Alphafischer2019,2830,0 - 1,GM,Alexander_Zubov,3018
FM,Mackster23,2652,0 - 1,GM,Indianlad,3064
GM,TigrVShlyape,2866,1 - 0,WGM,Crazy_girl99,2678
FM,SirStrateg,2638,½ - ½,GM,dropstoneDP,3003
GM,AryanTari,2977,1 - 0,FM,MKlose11,2677
FM,aeiiuu,2665,1 - 0,GM,Sanan_Sjugirov,2931
GM,OparinGrigoriy,3086,1 - 0,FM,DrDreBeats,2586
GM,igorkovalenko,2961,1 - 0,FM,sathvikadiga,2672
GM,MagnusCarlsen,3313,1 - 0,IM,kingofthenil,2909
FM,Eagle_2019,2902,0 - 1,GM,Firouzja2003,3188
GM,mishanick,3038,1 - 0,GM,JSPrepz,2798
FM,RandomNoob04,2712,1 - 0,GM,HansOnTwitch,3128
GM,artooon,3075,1 - 0,GM,Matibar,2820
GM,GHANDEEVAM2003,3044,½ - ½,IM,Aradhya2000,2787
NM,MightyGMpretender,2882,0 - 1,GM,FairChess_on_YouTube,3064
GM,jefferyx,3067,½ - ½,CM,NikaVolkov,2791
IM,CSB7,2773,0 - 1,GM,Javokhir_Sindarov05,3126
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,Bob_2004,2724
FM,ELECTRODYNAMIC_DRACULA,2884,0 - 1,GM,FabianoCaruana,3101
GM,Gabrielian_Artur,2817,0 - 1,GM,vi_pranav,3103
GM,Alexander_Zubov,3018,1 - 0,GM,Evgeny81,2787
GM,Indianlad,3064,1 - 0,GM,BirdMaster3000,2708
CM,MrLion3000,2725,0 - 1,GM,TigrVShlyape,2866
IM,monomita,2901,0 - 1,GM,AryanTari,2977
GM,DarkAlekhine,2765,1 - 0,GM,OparinGrigoriy,3086
IM,NailBashirli,2744,1 - 0,GM,igorkovalenko,2961
GM,mitrabhaa,2938,1 - 0,IM,NovakCabarkapa,2730
IM,Stouuf,2640,0 - 1,GM,ChristopherYoo,3007
GM,Denis_Makhnyov,2969,1 - 0,FM,edgarhay012,2722
FM,NMJeevanK,2585,0 - 1,GM,Prizant_academy,3183
IM,Rud_Makarian,3013,1 - 0,IM,GeorgiosSouleidis,2670
CM,Statham,2692,½ - ½,GM,FormerProdigy,2933
GM,GOGIEFF,3030,1 - 0,FM,FoggyMorning,2713
GM,penguingm1,2982,0 - 1,GM,MagnusCarlsen,3313
GM,Firouzja2003,3188,½ - ½,GM,Dedic8,2930
GM,BlueWizzard,2956,0 - 1,GM,mishanick,3038
GM,ChessLover0108,2943,1 - 0,GM,artooon,3075
GM,FairChess_on_YouTube,3064,½ - ½,IM,Eduard_Limonov,2893
GM,Javokhir_Sindarov05,3126,0 - 1,GM,Angry_Twin,2977
GM,Oleksandr_Bortnyk,3111,0 - 1,GM,Man-Chuk,2950
GM,FabianoCaruana,3101,1 - 0,CM,stollenmonster,2921
GM,vi_pranav,3103,0 - 1,FM,Iball95,2814
GM,crescentmoon2411,2913,0 - 1,GM,Alexander_Zubov,3018
IM,SchmakAttack,2800,0 - 1,GM,Indianlad,3064
