white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3324,1 - 0,FM,VinzentSpitzl,2443
FM,Winner_7777,2601,0 - 1,GM,Firouzja2003,3199
GM,FairChess_on_YouTube,3130,1 - 0,FM,RobertJFischer71,2607
IM,Dr_troll,2665,0 - 1,GM,Polish_fighter3000,3200
GM,Jospem,3080,1 - 0,IM,viktorskliarov,2704
GM,Zq1,2472,0 - 1,GM,mishanick,3109
GM,HansOnTwitch,3179,1 - 0,IM,masnyszachistaaa,2611
FM,ExtremeLearner,2671,0 - 1,IM,Sina_Movahed,3044
GM,BogdanDeac,3069,1 - 0,IM,santosalberto1987,2545
CM,jaskol95,2609,0 - 1,GM,wonderfultime,3063
GM,AnishOnYoutube,3072,1 - 0,FM,xakevicius91,2470
NM,Kielinkei,2570,0 - 1,GM,DenLaz,3161
GM,vi_pranav,3032,1 - 0,IM,Baronessa08,2534
IM,Herman-NY,2555,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,Msb2,3036,1 - 0,NM,SwordBilledHummingbird,2658
FM,Switzerlamb,2540,0 - 1,IM,Rud_Makarian,3076
GM,sergoy,3026,1 - 0,IM,crazyluzhinTh3,2667
NM,electrosaw,2558,0 - 1,GM,dropstoneDP,3076
GM,Macho_2006,2929,1 - 0,FM,Ginzburg_Yakov,2562
IM,bazar-wokzal,2562,0 - 1,GM,VladimirKramnik,3040
GM,rasmussvane,2952,1 - 0,WIM,ChelsieMonica,2530
FM,Er_is_geen_hoop_meer,2617,0 - 1,GM,BilodeauA,2976
GM,FormerProdigy,2937,1 - 0,CM,DIMONBANAN,2607
CM,Actuary44,2553,0 - 1,GM,Fandorine,2997
GM,Sam_ChessMood,2987,1 - 0,FM,N18player,2597
NM,szachuspl,2661,0 - 1,GM,platy3,2964
GM,shimastream,3047,1 - 0,WFM,Lady_Nika,2553
FM,PolandHussars,2599,½ - ½,GM,ChessLover0108,2970
GM,mitrabhaa,2964,1 - 0,FM,kamilianin235,2554
FM,nickmatta,2549,0 - 1,GM,Sychev_on_YouTube,2876
GM,HVillagra,2994,1 - 0,FM,killer_dreams,2524
FM,x-3704738925,2735,0 - 1,GM,TigrVShlyape,2868
GM,KuzubovYuriy,2958,0 - 1,NM,toninhojit,2564
FM,StankovicIvan,2681,0 - 1,IM,yosephtaher,3050
IM,Zohid6,2932,1 - 0,IM,elmusmolamas,2564
IM,Cryptinz,2576,0 - 1,GM,Dyadya81,2808
GM,Nitzan_Steinberg,2895,1 - 0,FM,VD_coach,2520
IM,el008,2690,1 - 0,GM,bardiya_Daneshvar,2979
IM,LiamPutnam2008,2977,0 - 1,CM,Shuvalov,2689
NM,LiadCuba,2415,0 - 1,FM,snowlord,2931
FM,suyu28,2856,1 - 0,CM,RebelJohnny,2605
FM,Casper,2565,0 - 1,IM,FaustinoOro,3101
IM,DonkyDonkyDonkey,2972,½ - ½,IM,Triumphmate,2638
FM,ajedrezsinlimites,2741,0 - 1,GM,maciek_92,3000
FM,temus_galaktionov,2906,1 - 0,FM,theoneandonlydaaevik,2600
IM,Langusto,2721,1 - 0,GM,kirillshevchenko,2971
