white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
CM,surrenderPLS,2537,0 - 1,GM,Hikaru,3276
GM,nihalsarin,3211,1 - 0,IM,LeninGuerra,2555
FM,GP9isback23,2743,0 - 1,GM,Firouzja2003,3188
GM,Duhless,3105,1 - 0,GM,temiksmozg,2719
IM,ural58,2512,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Azerichess,3030,1 - 0,IM,BlitzWizard04,2639
IM,Let_it_be_1,2543,0 - 1,GM,Grischuk,3058
GM,FairChess_on_YouTube,3064,1 - 0,FM,Staudenhocker43,2661
GM,Apocalyps999,2405,½ - ½,GM,Msb2,3112
GM,mishanick,3038,1 - 0,FM,EddieMarsalla,2785
CM,VALPARAISO37,2494,0 - 1,GM,GHANDEEVAM2003,3044
GM,Jospem,3102,1 - 0,FM,Ginzburg_Yakov,2576
IM,dosto07,2460,0 - 1,GM,Anton_Demchenko,2898
GM,Macho_2006,2946,1 - 0,FM,Maxfan2008,2656
WFM,Shushik,2547,0 - 1,IM,Rud_Makarian,3004
GM,frederiksvane,3060,½ - ½,CM,Shuvalov,2620
FM,Slovak_fighter2000,2543,0 - 1,GM,DenLaz,3104
GM,dropstoneDP,3021,1 - 0,CM,cristianserban1,2641
FM,ejam94,2519,0 - 1,GM,Zhigalko_Sergei,2912
GM,Njal28,3041,1 - 0,FM,SHIVACalypso,2540
FM,peixe64,2527,0 - 1,GM,amintabatabaei,3095
GM,wonderfultime,3083,1 - 0,FM,iHateNAJDORF,2642
FM,renehp,2428,0 - 1,GM,Sam_ChessMood,2926
GM,penguingm1,2982,0 - 1,FM,TokChess,2539
FM,Dino_Ballecer,2542,0 - 1,GM,joppie2,3034
GM,Hikaru,3276,1 - 0,IM,Martial2008,2779
GM,Olga_Girya,2519,0 - 1,GM,nihalsarin,3211
GM,Firouzja2003,3188,1 - 0,IM,Lennis93,2744
GM,GM_Batchuluun,2872,0 - 1,GM,Duhless,3105
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,Joshukid,2756
IM,viktorskliarov,2724,0 - 1,GM,Azerichess,3030
GM,Grischuk,3058,0 - 1,IM,Rutricks,2697
IM,Airquake,2880,0 - 1,GM,FairChess_on_YouTube,3064
FM,Alex_Sahakyan2006,2698,1 - 0,GM,mishanick,3038
GM,GHANDEEVAM2003,3044,1 - 0,FM,cryptoguru02,2583
FM,jeetjain,2593,0 - 1,GM,Jospem,3102
GM,Anton_Demchenko,2898,1 - 0,FM,SaqoChess_Coach,2619
IM,Korchmar_Vasiliy,2711,1 - 0,GM,Macho_2006,2946
IM,Rud_Makarian,3004,1 - 0,FM,FoggyMorning,2713
GM,DenLaz,3104,½ - ½,IM,bescmelasti,2637
