white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3276,1 - 0,CM,Mouse-Sleep,2578
FM,anemih,2451,0 - 1,GM,MagnusCarlsen,3313
GM,Jospem,3102,0 - 1,GM,zubridis,2560
IM,Herman-NY,2655,0 - 1,GM,GHANDEEVAM2003,3044
GM,Duhless,3105,1 - 0,NM,brm72,2673
FM,Fandorin779,2511,0 - 1,GM,FairChess_on_YouTube,3064
GM,nihalsarin,3211,1 - 0,FM,sjoerd893,2493
IM,AleksanderHnydiuk,2523,0 - 1,GM,legendisback1,2996
GM,DenLaz,3104,1 - 0,FM,INLOVEWITHF,2582
GM,maximnovik,2615,0 - 1,GM,LiemLe,3043
GM,Parhamov,3117,1 - 0,FM,Chessdreamer2020,2608
FM,LeoLV10,2610,0 - 1,GM,RaunakSadhwani2005,3086
GM,dropstoneDP,3016,1 - 0,FM,MidnightFox,2519
FM,HajiyevKanan,2548,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Anton_Demchenko,2898,1 - 0,FM,topin8,2590
WFM,Lady_Nika,2540,1 - 0,IM,MITerryble,3011
GM,crescentmoon2411,2913,1 - 0,FM,colegiodemadrid,2532
CM,Sjakkerntobi,2533,0 - 1,IM,MatthewG-p4p,2948
GM,wonderfultime,3083,1 - 0,FM,sakkikuska,2546
IM,Rital44,2716,0 - 1,GM,bardiya_Daneshvar,3032
GM,rednova1729,2987,1 - 0,FM,MasterKroket,2619
NM,TheoSlade,2479,0 - 1,GM,artooon,3075
GM,FGHSMN,2857,1 - 0,FM,DeArron_Fox,2566
WFM,malakismayil,2592,0 - 1,IM,MetiForce,2969
GM,joppie2,3034,1 - 0,FM,masterofpuppets2,2531
IM,The_Machine04,2781,0 - 1,GM,Hikaru,3276
GM,MagnusCarlsen,3313,1 - 0,IM,Agibileg,2674
GM,GHANDEEVAM2003,3044,1 - 0,NM,RETURNOFTHELAGGER,2678
IM,DenisQ,2715,0 - 1,GM,Duhless,3105
GM,FairChess_on_YouTube,3064,1 - 0,FM,wqws,2876
FM,hakanazeri2,2728,0 - 1,GM,nihalsarin,3211
GM,legendisback1,2996,1 - 0,IM,karinachess1,2645
IM,Sl4werThanYou,2730,1 - 0,GM,DenLaz,3104
GM,LiemLe,3043,1 - 0,IM,Arhan_Anand,2637
IM,krstulov_alex,2624,1 - 0,GM,Parhamov,3117
GM,RaunakSadhwani2005,3086,1 - 0,FM,SmirnovAlexandrA,2567
IM,Buzhizhebuguai,2761,0 - 1,GM,dropstoneDP,3016
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,RandomNoob04,2712
IM,Boundless_Strike,2602,0 - 1,GM,Anton_Demchenko,2898
NM,Doomfist26,2619,0 - 1,GM,crescentmoon2411,2913
IM,MatthewG-p4p,2948,1 - 0,IM,Fighter008,2534
FM,biostatistician,2568,0 - 1,GM,wonderfultime,3083
GM,bardiya_Daneshvar,3032,1 - 0,IM,GeorgiosSouleidis,2670
FM,Ajedrez_con_German,2615,0 - 1,GM,rednova1729,2987
GM,artooon,3075,1 - 0,FM,Lion-Al-Messi,2628
IM,Let_it_be_1,2543,0 - 1,GM,FGHSMN,2857
IM,MetiForce,2969,1 - 0,IM,SlavenPastar,2597
CM,Keithonsky,2640,0 - 1,GM,joppie2,3034
GM,Krakozia,2940,1 - 0,NM,vladgoncharov,2534
FM,GP9isback23,2743,0 - 1,GM,BilodeauA,3003
GM,Hikaru,3276,1 - 0,IM,mbojan,2948
GM,MomchilPetkov,2912,0 - 1,GM,MagnusCarlsen,3313
IM,jakopogi,2818,1 - 0,GM,GHANDEEVAM2003,3044
GM,Duhless,3105,1 - 0,FM,luckyswitchback,2750
IM,RobertoJBM,2875,0 - 1,GM,FairChess_on_YouTube,3064
GM,nihalsarin,3211,1 - 0,FM,Andrey_Klymchuk,2764
GM,starworld123,2910,1 - 0,GM,legendisback1,2996
GM,Dedic8,2930,½ - ½,GM,LiemLe,3043
FM,Karateloru,2758,0 - 1,GM,RaunakSadhwani2005,3086
GM,dropstoneDP,3016,0 - 1,IM,Seochesspie,2844
CM,Andrei_Skvortsov,2794,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Anton_Demchenko,2898,0 - 1,NM,Arifarsky,2741
GM,crescentmoon2411,2913,1 - 0,GM,mirceaparligras,2689
IM,Vuk2000,2859,0 - 1,IM,MatthewG-p4p,2948
GM,wonderfultime,3083,1 - 0,IM,Sokoloco,2659
IM,Korchmar_Vasiliy,2711,0 - 1,GM,bardiya_Daneshvar,3032
GM,rednova1729,2987,1 - 0,FM,JaloliddinIlkhomi,2761
FM,sofaceindisguise,2725,0 - 1,GM,artooon,3075
GM,FGHSMN,2857,1 - 0,IM,CSB7,2773
GM,krzyzan94,2826,0 - 1,IM,MetiForce,2969
GM,joppie2,3034,½ - ½,FM,NovozhilovSemen,2602
FM,AkibaRubi,2773,0 - 1,GM,Krakozia,2940
GM,BilodeauA,3003,1 - 0,FM,SAInt_666,2790
GM,sergoy,2956,1 - 0,FM,Orujov2008,2821
GM,Nikolakis2014,2755,1 - 0,IM,Rud_Makarian,3004
GM,ckgchess,2909,0 - 1,GM,Hikaru,3276
IM,liczner,2993,0 - 1,GM,MagnusCarlsen,3313
IM,AlmasRakhmatullaev,2882,0 - 1,GM,Duhless,3105
GM,FairChess_on_YouTube,3064,1 - 0,IM,Zurability,2706
GM,eljanov,2862,½ - ½,GM,nihalsarin,3211
GM,RaunakSadhwani2005,3086,1 - 0,FM,BardArtem,2826
GM,Oleksandr_Bortnyk,3111,1 - 0,IM,Szparu,2863
GM,Cayse,2795,½ - ½,GM,crescentmoon2411,2913
IM,MatthewG-p4p,2948,½ - ½,GM,pouya21,2909
GM,GMSrinath,2910,0 - 1,GM,wonderfultime,3083
GM,bardiya_Daneshvar,3032,1 - 0,IM,jakopogi,2818
GM,rednova1729,2987,1 - 0,GM,Byniolus,2842
GM,artooon,3075,1 - 0,NM,Blitzstream,2798
GM,FGHSMN,2857,1 - 0,GM,starworld123,2910
IM,Seochesspie,2844,1 - 0,IM,MetiForce,2969
GM,Krakozia,2940,½ - ½,NM,Arifarsky,2741
GM,BilodeauA,3003,0 - 1,GM,Gabix_94,2839
GM,sergoy,2956,½ - ½,GM,Nikolakis2014,2755
GM,ViIIagra,2943,1 - 0,GM,samolo,2816
GM,bocah_sakit,2686,0 - 1,FM,artin10862,2960
GM,shimastream,3025,1 - 0,GM,Rodalquilar,2778
CM,vovachesss,2810,0 - 1,GM,Aygehovit1992,2723
GM,KuzubovYuriy,2973,1 - 0,IM,krstulov_alex,2624
FM,zozik,2324,0 - 1,IM,yosephtaher,2932
GM,LiemLe,3043,1 - 0,IM,Sl4werThanYou,2730
GM,Hikaru,3276,1 - 0,GM,artooon,3075
GM,MagnusCarlsen,3313,1 - 0,GM,FGHSMN,2857
GM,Duhless,3105,1 - 0,GM,ViIIagra,2943
FM,artin10862,2960,0 - 1,GM,FairChess_on_YouTube,3064
GM,RaunakSadhwani2005,3086,1 - 0,GM,shimastream,3025
GM,Oleksandr_Bortnyk,3111,½ - ½,GM,KuzubovYuriy,2973
GM,wonderfultime,3083,1 - 0,IM,yosephtaher,2932
IM,Seochesspie,2844,1 - 0,GM,bardiya_Daneshvar,3032
GM,Aygehovit1992,2723,0 - 1,GM,rednova1729,2987
GM,nihalsarin,3211,1 - 0,GM,Gabix_94,2839
GM,Cayse,2795,0 - 1,GM,LiemLe,3043
GM,crescentmoon2411,2913,1 - 0,IM,Kirill_Klukin,2914
FM,PeshkaCh,2832,0 - 1,IM,MatthewG-p4p,2948
