white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,tetrix83,2561,0 - 1,GM,Hikaru,3276
GM,lachesisQ,3164,1 - 0,FM,Ginzburg_Yakov,2576
WFM,Lady_Nika,2540,0 - 1,GM,BogdanDeac,3106
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,MusicCityMaster,2528
FM,biostatistician,2568,0 - 1,GM,Msb2,3112
GM,dropstoneDP,3019,1 - 0,CM,Schachkatze2000,2504
FM,TheKingDoctor,2559,0 - 1,GM,artooon,3075
GM,tptagain,2995,1 - 0,FM,Truequitos,2553
FM,dennisodessa,2543,0 - 1,GM,wonderfultime,3083
GM,Grischuk,3058,1 - 0,FM,rudyst06,2533
FM,Bekaeasycool,2575,0 - 1,GM,Andreikka,3052
GM,amintabatabaei,3095,1 - 0,IM,Tagir45,2566
GM,Zq1,2620,0 - 1,GM,GMBenjaminBok,3076
GM,gurelediz,3053,1 - 0,FM,ferch1ni,2548
NM,vladgoncharov,2534,0 - 1,GM,shimastream,3025
GM,jefferyx,3067,½ - ½,FM,FrigidusSinapis,2547
IM,GMAneta,2500,0 - 1,GM,frederiksvane,3060
GM,bardiya_Daneshvar,3032,1 - 0,WFM,Zarinur,2548
GM,zubridis,2560,0 - 1,IM,MITerryble,3011
IM,Rud_Makarian,3013,1 - 0,IM,KevinGeorgeMicheal,2555
FM,Oleg_Papayan,2563,0 - 1,GM,mishanick,3038
GM,ChristopherYoo,3007,1 - 0,NM,belligham2023,2568
FM,Acva-Alenok,2542,0 - 1,GM,LevonAronian,3039
GM,xxysoul6,2990,1 - 0,FM,JERO-8914,2530
IM,Macron20hTF1,2564,1 - 0,FM,rezamahdavi2008,3006
GM,Hikaru,3276,1 - 0,IM,Vesper2018,2691
GM,js20000,2676,0 - 1,GM,lachesisQ,3164
GM,BogdanDeac,3106,1 - 0,IM,Thjop,2661
WIM,Speshka,2662,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Msb2,3112,1 - 0,FM,antoszu,2628
GM,Ginger_GM,2660,0 - 1,GM,dropstoneDP,3019
GM,artooon,3075,1 - 0,IM,JiaHaoxiang,2655
FM,Ajedrez_con_German,2615,0 - 1,GM,tptagain,2995
GM,wonderfultime,3083,1 - 0,IM,bescmelasti,2637
FM,slorovel,2642,0 - 1,GM,Grischuk,3058
GM,Andreikka,3052,1 - 0,FM,Artem_0degov,2676
FM,NovoselovRoman,2667,0 - 1,GM,amintabatabaei,3095
GM,GMBenjaminBok,3076,1 - 0,FM,Andrej2004,2660
FM,igorvershinin2009,2637,0 - 1,GM,gurelediz,3053
GM,shimastream,3025,1 - 0,IM,M1711,2648
GM,frederiksvane,3060,0 - 1,CM,Shuvalov,2645
FM,SRob2003,2695,0 - 1,GM,bardiya_Daneshvar,3032
IM,MITerryble,3011,1 - 0,GM,RafaelVaganian,2650
IM,albi1999,2658,0 - 1,IM,Rud_Makarian,3013
GM,mishanick,3038,1 - 0,FM,aeiiuu,2665
WGM,Mikozovna,2598,0 - 1,GM,ChristopherYoo,3007
GM,LevonAronian,3039,1 - 0,FM,Rosh1610,2705
FM,MKlose11,2677,1 - 0,GM,xxysoul6,2990
FM,Huragan007,2641,0 - 1,GM,OparinGrigoriy,3086
GM,GOGIEFF,3030,1 - 0,FM,anasta10,2638
GM,Saxar85,2784,0 - 1,GM,Hikaru,3276
GM,lachesisQ,3164,0 - 1,IM,GothamChess,2835
GM,Gabrielian_Artur,2817,0 - 1,GM,BogdanDeac,3106
GM,Oleksandr_Bortnyk,3111,1 - 0,IM,mr_gustavo,2776
FM,PyrihRoman,2752,0 - 1,GM,Msb2,3112
GM,dropstoneDP,3019,½ - ½,IM,GaiozNigalidze,2758
IM,Boundless_Strike,2602,1 - 0,GM,artooon,3075
GM,tptagain,2995,1 - 0,IM,Fonsofan,2801
IM,Sawatdeekhrap,2737,0 - 1,GM,wonderfultime,3083
GM,Grischuk,3058,1 - 0,IM,PavelShkapenko,2778
FM,alreadybroken23,2761,0 - 1,GM,Andreikka,3052
GM,amintabatabaei,3095,½ - ½,IM,Losingexperience,2786
IM,Martial2008,2779,0 - 1,GM,GMBenjaminBok,3076
GM,gurelediz,3053,1 - 0,IM,Lennis93,2744
FM,Akhmedov_David,2753,0 - 1,GM,shimastream,3025
GM,bardiya_Daneshvar,3032,1 - 0,IM,ExceptionallyDubious,2747
IM,Sl4werThanYou,2730,0 - 1,IM,MITerryble,3011
IM,Rud_Makarian,3013,1 - 0,FM,Bob_2004,2724
IM,The_Machine04,2778,1 - 0,GM,mishanick,3038
GM,ChristopherYoo,3007,½ - ½,CM,puz2010,2710
IM,MatyChess1,2718,0 - 1,GM,LevonAronian,3039
GM,OparinGrigoriy,3086,1 - 0,FM,juancruzarias,2715
FM,Bykov_Egor,2687,0 - 1,GM,GOGIEFF,3030
GM,Duhless,3105,1 - 0,IM,Mesa_1,2705
FM,Alexei_Gubajdullin,2740,0 - 1,GM,Shield12,2952
IM,MatthewG-p4p,2948,0 - 1,GM,Hikaru,3276
GM,BogdanDeac,3106,½ - ½,GM,kleinebeer98,2901
NM,MightyGMpretender,2882,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Msb2,3112,½ - ½,IM,scarabee43,2909
IM,Kosak12,2882,0 - 1,GM,tptagain,2995
GM,wonderfultime,3083,1 - 0,GM,Zhigalko_Sergei,2912
GM,youngKID,2892,0 - 1,GM,Grischuk,3058
GM,Andreikka,3052,1 - 0,GM,Arseniy_Nesterov,2922
GM,GMBenjaminBok,3076,1 - 0,GM,Binary010,2901
IM,Abdurakhmanovvvv,2903,0 - 1,GM,gurelediz,3053
GM,shimastream,3025,1 - 0,GM,alexrustemov,2899
IM,lamomiajunior,2772,0 - 1,GM,bardiya_Daneshvar,3032
GM,baki83,2889,0 - 1,IM,MITerryble,3011
IM,Rud_Makarian,3013,1 - 0,GM,K_A_S_T_O_R,2838
GM,LevonAronian,3039,1 - 0,GM,TigrVShlyape,2866
IM,Vuk2000,2859,0 - 1,GM,OparinGrigoriy,3086
GM,GOGIEFF,3030,1 - 0,FM,PeshkaCh,2832
GM,Byniolus,2842,½ - ½,GM,Duhless,3105
GM,Shield12,2952,0 - 1,GM,onyshchuk_v,2881
GM,LastGladiator1,3022,½ - ½,GM,ColErranMorad,2840
CM,vovachesss,2810,0 - 1,GM,SantoBlue,2966
IM,Zohid6,2958,1 - 0,FM,only_strong_moves,2756
IM,Rsnr,2968,0 - 1,IM,GothamChess,2835
