white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
CM,FuenfgegenWilly,2536,0 - 1,GM,MagnusCarlsen,3256
GM,Hikaru,3324,1 - 0,CM,Rakitic2010,2591
IM,SaiAgni_98,2526,0 - 1,GM,nihalsarin,3124
GM,penguingm1,2974,1 - 0,FM,Viktoker,2677
IM,skoularikii,2697,0 - 1,GM,FabianoCaruana,3166
GM,lachesisQ,3144,1 - 0,FM,PositionalPanther,2537
FM,DeArron_Fox,2675,0 - 1,GM,NikoTheodorou,3131
GM,FairChess_on_YouTube,3130,1 - 0,NM,Itay121,2634
CM,StefanosKazantzoglou,2462,1 - 0,GM,Oleksandr_Bortnyk,3068
GM,mishanick,3099,1 - 0,WFM,Lady_Nika,2553
FM,Muslim_player_05,2588,0 - 1,GM,jefferyx,2999
IM,Rud_Makarian,3076,1 - 0,FM,WPWPWP-2015,2506
FM,Moncler08,2554,½ - ½,GM,Msb2,3016
GM,DenLaz,3161,1 - 0,NM,WanderingPuppet,2580
CM,koncheto,2581,0 - 1,GM,spicycaterpillar,3059
GM,vugarrasulov,3010,1 - 0,FM,Patricius007,2629
WIM,Savagelittlemole,2538,0 - 1,GM,artooon,3064
GM,frederiksvane,2989,1 - 0,CM,Jesseinkman,2483
FM,Juicy_Fork,2548,0 - 1,GM,dropstoneDP,3076
GM,Kiborg95,2839,1 - 0,NM,EddieUrquhart,2553
FM,Elbek_Jumanov,2544,0 - 1,GM,OparinGrigoriy,3035
FM,rezamahdavi2008,2954,0 - 1,FM,frankshar,2432
GM,skzt,2538,0 - 1,GM,xiaotong2008,3037
GM,Volodar_Murzin,3026,1 - 0,FM,CristianS27,2605
CM,Nicki2013,2825,0 - 1,GM,mitrabhaa,2964
GM,GM_dmitrij,2994,1 - 0,FM,Schachkatze2000,2560
FM,kamilianin235,2554,0 - 1,GM,Fandorine,2997
IM,pheonixking2000,2942,1 - 0,IM,Baronessa08,2534
GM,RafaelVaganian,2585,0 - 1,GM,rasmussvane,2952
IM,Zohid6,2922,1 - 0,NM,IC3S2,2549
IM,atalz0,2487,0 - 1,GM,VladimirKramnik,3040
GM,Macho_2006,2929,1 - 0,IM,Herman-NY,2555
FM,JG-17,2601,0 - 1,GM,Vaathi_Coming,2998
IM,AlmasRakhmatullaev,2953,1 - 0,IM,Zhani-Z,2493
CM,bilosuvenosu06,2575,0 - 1,GM,DanielNaroditsky,3083
GM,jcibarra,2909,1 - 0,IM,ninguno46,2645
FM,MaxLeto,2540,0 - 1,GM,Dedic8,2936
IM,scarabee43,2945,1 - 0,IM,dosto07,2527
NM,mc4chess,2525,0 - 1,GM,Beca95,3018
IM,Eagle_2019,2869,1 - 0,IM,StukanMartin,2919
FM,el_sporco,2597,0 - 1,GM,TigrVShlyape,2868
IM,DonkyDonkyDonkey,2972,1 - 0,IM,Happy1712Drummer,2675
CM,NottheBishopSacrifice,2653,0 - 1,GM,igorkovalenko,2916
FM,bubeliang,2924,1 - 0,FM,SHIVACalypso,2532
CM,Cheer_Down,2457,0 - 1,FM,artin10862,3004
IM,Chessmissile07,2939,1 - 0,CM,JavierRuizVazquez,2504
FM,TokChess,2532,1 - 0,GM,gmcorrales,2909
GM,vladislavkovalev,2826,1 - 0,FM,Kirill_2008GM,2553
FM,RedFirePanda,2604,0 - 1,GM,K_A_S_T_O_R,2804
GM,FGHSMN,2914,1 - 0,FM,jeetjain,2634
CM,NeonNinja73,2592,0 - 1,IM,Szparu,2831
GM,Vladimir_Zakhartsov,2900,1 - 0,NM,ReinisUz,2564
CM,jjlai1111,2474,0 - 1,CM,stollenmonster,2924
IM,Kirill_Klukin,2927,0 - 1,IM,chrisclaireredfield,2591
NM,Yanidze,2475,0 - 1,IM,MatthewG-p4p,2904
IM,chenxiaoyuer,2749,1 - 0,GM,MathiasWomacka,2608
FM,andrew-blr,2578,1 - 0,IM,Rsnr,2945
GM,crescentmoon2411,2871,1 - 0,IM,KevinGeorgeMicheal,2646
CM,Zenekritikus04,2538,0 - 1,NM,MightyGMpretender,2886
GM,Nitzan_Steinberg,2895,1 - 0,FM,venturov,2505
FM,betta2004,2616,0 - 1,GM,FXDon77,2927
IM,the_chess_child,2932,1 - 0,FM,ferch1ni,2547
FM,Caracal3000,2531,½ - ½,FM,Bauman_Guy,3005
GM,shimastream,3060,1 - 0,CM,adreyd,2496
FM,sharkarton,2579,0 - 1,GM,sokidze,2995
IM,Reader777,2972,1 - 0,FM,Carlitus2004,2441
NM,ChessLebaneseSalah,2541,0 - 1,IM,Kosak12,2915
GM,KNVB,2974,1 - 0,FM,AlexanderKing,2536
FM,Eleyah,2575,0 - 1,IM,MyDream003,2853
GM,Durarbayli,2931,1 - 0,IM,ural58,2519
FM,King_Deded4d5,2481,0 - 1,GM,Zhigalko_Sergei,2974
GM,baki83,2929,1 - 0,FM,Eliwood44,2438
FM,MusicCityMaster,2419,0 - 1,GM,AnthonyWirig,2806
IM,AradNazari,2923,1 - 0,GM,gm_rashid,2537
CM,mightysmasher,2686,1 - 0,FM,BardArtem,2880
GM,Thunderbolt135,2816,0 - 1,IM,GMAneta,2563
CM,Gryffindorac8,2460,0 - 1,GM,XDPS,2933
FM,Turboplombir,2838,0 - 1,CM,Daaksboy,2528
WIM,Matols,2379,0 - 1,IM,monomita,2836
GM,Alexander_Donchenko,2843,1 - 0,CM,hsd2016,2602
CM,Caterpiller35,2458,1 - 0,IM,Fonsofan,2818
FM,GoltsevDmitry2000,2829,1 - 0,FM,mortngabriel,2565
CM,sleeping_in_the_fire,2505,0 - 1,IM,Talibovv06,2872
FM,Carnivoras,2874,1 - 0,FM,wild3000,2508
FM,Qvalda,2525,0 - 1,FM,AlexPapasimakopoulos,2763
IM,Yaacovn,2830,1 - 0,FM,Al_Shima,2421
FM,michellopez159,2432,0 - 1,GM,alexrustemov,2879
IM,RobertoJBM,2868,1 - 0,FM,Giorno,2558
CM,Deenzerz,2539,0 - 1,GM,Byniolus,2836
IM,blitzking1729,2813,1 - 0,CM,bulletplayer2024,2524
GM,underdogchss,2548,½ - ½,FM,Gravity_Chess,2747
IM,mind1mover,2967,1 - 0,FM,Pintacara,2463
