white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,PelinGorki,2569,0 - 1,GM,Hikaru,3324
GM,Polish_fighter3000,3200,1 - 0,CM,zverr1,2615
FM,Sinquefield,2542,0 - 1,GM,DanielNaroditsky,3083
GM,BogdanDeac,3069,1 - 0,WFM,Lady_Nika,2553
NM,Itay121,2634,0 - 1,GM,Firouzja2003,3199
GM,FabianoCaruana,3146,1 - 0,IM,vladoboch,2578
NM,Mikayel99,2600,0 - 1,GM,Grischuk,3033
GM,Njal28,3000,1 - 0,FM,VinzentSpitzl,2443
WIM,PotapovaM,2608,0 - 1,GM,FairChess_on_YouTube,3130
GM,SpeedofLight0,3069,1 - 0,FM,EsmeraldasAnderson03,2525
NM,Manukyan_Artak,2559,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,Jospem,3080,1 - 0,FM,Orest_Vovk,2592
WIM,joksijoksi,2532,0 - 1,GM,Msb2,3036
IM,Rud_Makarian,3009,1 - 0,NM,2346PL,2548
FM,colegiodemadrid,2553,0 - 1,GM,DrVelja,2966
GM,mishanick,3109,1 - 0,FM,RealJerusalem,2436
FM,biostatistician,2656,0 - 1,GM,LiemLe,3132
GM,GMBenjaminBok,3094,½ - ½,CM,flawian2008,2625
CM,ATM622,2455,0 - 1,GM,shimastream,3047
IM,Sina_Movahed,3044,½ - ½,FM,DeArron_Fox,2675
CM,Sharkaholic,2526,½ - ½,GM,dropstoneDP,3076
GM,Vladimir_Zakhartsov,2900,1 - 0,FM,prochn,2488
IM,Koalaskakistis,2721,0 - 1,GM,Sanan_Sjugirov,2994
GM,sergiochess83,2891,1 - 0,FM,best926,2503
IM,kikoveiga,2426,0 - 1,GM,jcibarra,2909
GM,AryanTari,2990,1 - 0,FM,merinasian,2509
FM,rdarruda,2557,0 - 1,GM,TigrVShlyape,2868
GM,Beca95,3018,0 - 1,GM,RealPerangel,2742
CM,dolynachess,2572,0 - 1,GM,Sargsyan_Shant,3070
GM,ckgchess,2940,1 - 0,NM,Piotrek1979,2509
CM,jaskol95,2609,½ - ½,GM,Hrant_ChessMood,2939
GM,XDPS,2933,1 - 0,FM,Viktoker,2677
WIM,Savagelittlemole,2538,0 - 1,GM,Angry_Twin,2995
IM,Kacparov,3000,1 - 0,NM,chess_blitz00,2636
FM,killer_dreams,2524,0 - 1,GM,Durarbayli,2931
FM,Iball95,2908,1 - 0,FM,Cambek64,2450
FM,zsizsi99,2559,0 - 1,GM,KuzubovYuriy,2958
GM,rasmussvane,2952,0 - 1,NM,Mikhal867,2510
WFM,Quattroporte300,2524,0 - 1,GM,Shankland,2934
GM,HVillagra,2994,1 - 0,CM,CatLoverPL,2487
IM,Balla_Tamas,2646,0 - 1,GM,sergoy,3026
GM,moro182,2888,1 - 0,IM,LastHeroJr,2453
IM,santosalberto1987,2545,1 - 0,GM,Joshuachick,2871
GM,Zhigalko_Sergei,2974,0 - 1,NM,Jahonas,2369
CM,Practical-Play,2557,0 - 1,GM,GMKrikor,2806
IM,Rsnr,2962,0 - 1,CM,SultaiC,2536
IM,misterlamine,2487,0 - 1,GM,vladislavkovalev,2826
IM,Eagle_2019,2869,1 - 0,NM,Good_Knight_Kiss,2500
FM,kleber2007,2501,0 - 1,GM,Aygehovit1992,2769
GM,Dedic8,2936,1 - 0,FM,G10De_Arrascaeta,2563
CM,andrzej,2415,½ - ½,GM,Zkid,2925
IM,combidharma,2764,1 - 0,IM,ural58,2519
FM,Carlitus2004,2441,0 - 1,IM,Yaacovn,2830
GM,HeartAblaze,2844,1 - 0,NM,ploxoi,2475
CM,giomar27,2344,0 - 1,CM,stollenmonster,2924
GM,Kiborg95,2839,1 - 0,IM,Slovineanu,2580
CM,Narek_Ghimoyan,2603,0 - 1,FM,BardArtem,2880
FM,temus_galaktionov,2906,1 - 0,CM,cthulhuuu,2446
CM,Smiechu,2500,1 - 0,GM,PeacefulWarrior888,2775
GM,AlexeiShirov,2936,½ - ½,FM,becemix,2588
IM,Happy1712Drummer,2675,0 - 1,FM,bascheyaro,2818
FM,GoltsevDmitry2000,2829,0 - 1,FM,Inepton_Fermion,2499
NM,Road2GM3000,2594,1 - 0,IM,DamianoLew95,2684
FM,TanitoluwaAps116,2784,1 - 0,CM,Klendi,2577
NM,esrosenberg,2376,0 - 1,IM,Kirill_Klukin,2927
IM,ProfessorChess101,2833,0 - 1,IM,dosto07,2527
FM,Akhayan,2390,0 - 1,GM,ameetghasi100,2721
FM,MarcoRiehle,2741,1 - 0,WGM,DinaBelenkaya,2457
CM,NovakRatko,2479,0 - 1,IM,Mops_2004,2826
GM,Byniolus,2836,1 - 0,FM,burritus,2413
NM,romulocardoso,2394,0 - 1,GM,GMG,2815
FM,ArtemDyachuk,2686,1 - 0,FM,WindWhistler11,2530
FM,Walter_White_Poland,2460,1 - 0,FM,KnightDuta,2786
IM,DrKerfuffle,2802,1 - 0,NM,sorch29,2507
IM,Heydarli77,2519,½ - ½,GM,GMAkobianSTL,2965
GM,jstopa4,2779,0 - 1,FM,JERO-8914,2536
WGM,KetiTsatsalashvili,2351,0 - 1,IM,chenxiaoyuer,2749
GM,Evgeny81,2763,1 - 0,FM,czasnaszachy,2526
CM,RaugintaBulba,2503,0 - 1,FM,only_strong_moves,2784
FM,Blackmind96,2912,1 - 0,WIM,OlaaLa,2512
NM,Flaccidmoves,2394,0 - 1,IM,aa175,2847
CM,MightyMike_009,2714,1 - 0,FM,stasOR4ik,2430
NM,ChessAdvanceUSA,2535,0 - 1,IM,DreamsAreFake,2719
IM,Revan_2002,2776,1 - 0,FM,cedchass2006,2322
FM,emeli_chess,2477,0 - 1,GM,Rodalquilar,2798
IM,LeninGuerra,2651,0 - 1,CM,Onthequiet,2573
FM,fmcabralis,2441,0 - 1,IM,Korchmar_Vasiliy,2708
IM,Sl4werThanYou,2792,½ - ½,CM,tgpgoat,2524
FM,AsaHoffmann,2418,0 - 1,IM,GaiozNigalidze,2801
FM,NateSolon,2581,1 - 0,NM,Nick12772,2496
NM,semchik90,2338,0 - 1,IM,dedpihto_v_kozhanom_palto,2761
IM,lamomiajunior,2822,1 - 0,NM,Supelyel,2498
NM,Fengwi,2407,1 - 0,IM,Meri-Arabidze,2708
NM,nochewycandy,2798,1 - 0,FM,picturesquecheck,2496
IM,maracayo,2496,0 - 1,GM,Hamisandwich,2696
FM,KATPAH,2818,½ - ½,NM,AktilekAskarovich,2410
FM,Kavyev_Ruslan,2228,0 - 1,NM,RodokininEV,2654
FM,GodzillaChessYoutube,2739,1 - 0,FM,Laico,2438
FM,UK_23,2345,½ - ½,FM,Rashad_Zeynalli,2697
FM,SaqoChess_Coach,2812,1 - 0,CM,Heliosis11,2364
