white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,MagnusCarlsen,3313,1 - 0,NM,Itay121,2529
FM,rubix_time,2538,0 - 1,GM,SpeedofLight0,3111
GM,FairChess_on_YouTube,3064,0 - 1,FM,JM05C,2612
GM,Zq1,2620,0 - 1,GM,Msb2,3112
GM,BogdanDeac,3106,1 - 0,CM,Laurin_2009,2466
FM,kecalk,2555,0 - 1,GM,Javokhir_Sindarov05,3126
GM,Jospem,3102,1 - 0,FM,Orest_Vovk,2521
FM,wild3000,2349,½ - ½,GM,GHANDEEVAM2003,3044
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,Hananmo,2535
FM,Levanzovsky,2442,0 - 1,GM,jefferyx,3067
IM,Rud_Makarian,3013,1 - 0,FM,Schattman,2524
CM,Zenekritikus04,2533,½ - ½,IM,MITerryble,3011
GM,DanielNaroditsky,3049,1 - 0,CM,Artemiki,2779
FM,YasinEmrah,2430,0 - 1,GM,Polish_fighter3000,3057
GM,jcibarra,2970,1 - 0,NM,AlexanderMatlak,2574
FM,Superfelix,2509,0 - 1,GM,Azerichess,3030
GM,vugarrasulov,2933,1 - 0,IM,santosalberto1987,2505
FM,xakevicius91,2554,1 - 0,IM,MatthewG-p4p,2948
GM,mishanick,3038,1 - 0,CM,moisesanto,2449
NM,ybothg,2483,0 - 1,IM,mbojan,2948
FM,FaustinoOro,3043,1 - 0,FM,biostatistician,2568
FM,prime-morty,2657,0 - 1,GM,Njal28,3041
GM,h4parah5,2946,1 - 0,IM,ural58,2512
FM,Sondremelaa,2552,0 - 1,IM,Kacparov,2986
GM,SGchess01,2879,1 - 0,NM,toninhojit,2498
FM,djano,2622,0 - 1,GM,MagnusCarlsen,3313
GM,SpeedofLight0,3111,0 - 1,FM,talman67,2693
GM,Msb2,3112,1 - 0,FM,Alexei_Gubajdullin,2740
FM,Skatchkov_V,2802,0 - 1,GM,BogdanDeac,3106
GM,Javokhir_Sindarov05,3126,1 - 0,IM,zajka-molotok,2608
FM,SirStrateg,2638,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,jefferyx,3067,1 - 0,FM,Franmu14,2608
IM,Sl4werThanYou,2730,0 - 1,IM,Rud_Makarian,3013
FM,Truequitos,2553,0 - 1,GM,DanielNaroditsky,3049
GM,Polish_fighter3000,3057,1 - 0,WGM,Crazy_girl99,2678
FM,AlwaysPlayForAWin44,2716,0 - 1,GM,jcibarra,2970
GM,Azerichess,3030,1 - 0,NM,subham777,2602
NM,chesselephant,2576,½ - ½,GM,vugarrasulov,2933
FM,chessbaerchen,2626,0 - 1,GM,mishanick,3038
IM,mbojan,2948,1 - 0,IM,Blue_Capybara,2487
FM,HajiyevKanan,2548,0 - 1,FM,FaustinoOro,3043
GM,Njal28,3041,1 - 0,FM,Viktoker,2497
FM,dennisodessa,2543,0 - 1,GM,h4parah5,2946
IM,Kacparov,2986,1 - 0,FM,Crasyhealer,2572
FM,Lucky_Puncher,2606,1 - 0,GM,SGchess01,2879
GM,Igor_Janik,2869,½ - ½,IM,WilsonPalencia21,2497
FM,Patricius007,2566,0 - 1,GM,sergiochess83,2974
CM,stollenmonster,2921,1 - 0,IM,bulletteemo,2688
IM,Djager97,2508,0 - 1,GM,Zhigalko_Sergei,2912
GM,rasmussvane,2941,1 - 0,IM,IMJonathanCarlstedt,2561
GM,MagnusCarlsen,3313,1 - 0,GM,MarkusRagger,2844
FM,volcanoexplorer,2736,0 - 1,GM,Msb2,3112
GM,BogdanDeac,3106,1 - 0,FM,FMJoseHerrera,2733
IM,tsvet2005,2859,0 - 1,GM,Javokhir_Sindarov05,3126
GM,Oleksandr_Bortnyk,3111,1 - 0,IM,SchmakAttack,2800
IM,dedpihto_v_kozhanom_palto,2743,0 - 1,GM,jefferyx,3067
IM,Rud_Makarian,3013,1 - 0,CM,Statham,2692
GM,DanielNaroditsky,3049,1 - 0,IM,Individoom,2709
FM,greekplayer1,2737,1 - 0,GM,Polish_fighter3000,3057
GM,jcibarra,2970,1 - 0,IM,DragonB70,2723
IM,GelmanAlexander,2719,1 - 0,GM,Azerichess,3030
GM,mishanick,3038,1 - 0,GM,Mikhail_Golubev,2598
CM,RantomOpening,2574,1 - 0,IM,mbojan,2948
FM,FaustinoOro,3043,0 - 1,IM,saikrishnaReturns,2709
FM,ozates,2635,0 - 1,GM,Njal28,3041
GM,h4parah5,2946,1 - 0,FM,ArtemDyachuk,2673
CM,KogotBobra17,2837,0 - 1,IM,Kacparov,2986
GM,sergiochess83,2974,0 - 1,CM,ArmanGhevondyanchess,2597
IM,CarlosjPineror,2726,1 - 0,CM,stollenmonster,2921
GM,Zhigalko_Sergei,2912,½ - ½,IM,chipmunknau,2709
FM,GP9isback23,2743,0 - 1,GM,rasmussvane,2941
GM,hansen,2969,1 - 0,IM,xasid81,2666
FM,Makswolf200817,2760,0 - 1,IM,klimkoj,2930
FM,artin10862,2960,1 - 0,NM,chessforthesun,2636
FM,Gangsterrito,2683,0 - 1,GM,baki83,2889
GM,alexrustemov,2899,0 - 1,GM,MagnusCarlsen,3313
GM,Msb2,3112,0 - 1,GM,vladislavkovalev,2875
IM,Szparu,2863,½ - ½,GM,BogdanDeac,3106
GM,Javokhir_Sindarov05,3126,1 - 0,GM,MikaelyanArman,2937
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,Paralinch,2923
GM,jefferyx,3067,1 - 0,GM,Kiborg95,2839
IM,tsaruk_maks,2941,0 - 1,IM,Rud_Makarian,3013
FM,MarcoRiehle,2834,0 - 1,GM,DanielNaroditsky,3049
