white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,nihalsarin,3124,1 - 0,CM,Navi_NazarPro,2536
FM,Bertalan1126,2499,1 - 0,GM,mishanick,3109
GM,Parhamov,3100,1 - 0,FM,argentum049,2460
IM,fractal1234,2564,0 - 1,IM,Rud_Makarian,3076
GM,FairChess_on_YouTube,3130,½ - ½,CM,tgpgoat,2524
NM,GoodOldBell,2618,0 - 1,GM,amintabatabaei,3005
GM,DanielNaroditsky,3083,1 - 0,FM,TheKingDoctor,2590
NM,Jahonas,2369,0 - 1,GM,Jospem,3080
GM,BogdanDeac,3034,1 - 0,NM,VitorBronson,2579
NM,Chess2smart,2577,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,GMBenjaminBok,3094,1 - 0,WFM,BestestBP,2493
IM,dosto07,2527,0 - 1,FM,rezamahdavi2008,2954
GM,jefferyx,2999,1 - 0,WGM,cukus,2500
FM,Pasmendjambvirgulptipon98,2524,0 - 1,GM,ChristopherYoo,3068
GM,LiemLe,3132,1 - 0,FM,Kaua18,2604
NM,ferdipy,2386,½ - ½,GM,mitrabhaa,2964
GM,penguingm1,2974,1 - 0,WCM,bitter-cikolata,2559
NM,Defenstrator,2560,0 - 1,CM,stollenmonster,2924
IM,FaustinoOro,3101,1 - 0,NM,chess13524678,2505
WCM,winniethepooh04,2329,0 - 1,GM,Genghis_K,2933
IM,scarabee43,2945,1 - 0,FM,Dontmesswithme_2,2508
NM,knighthunter2024,2527,0 - 1,IM,mbojan,2890
GM,vugarrasulov,3010,1 - 0,FM,kamilianin235,2554
CM,GMShoti,2508,0 - 1,GM,Jakhongir-Vakhidov,2940
GM,PeacefulWarrior888,2863,½ - ½,FM,Slovak_fighter2000,2617
FM,TalyaKid07,2486,0 - 1,FM,Bauman_Guy,3005
NM,Chessgodisback2008,2880,1 - 0,FM,Viktoker,2677
FM,Just_Lucky_1,2555,½ - ½,FM,ReadySkate,2856
GM,XDPS,2933,1 - 0,NM,UnoScaccoNelBuio,2500
NM,heavenlyview,2700,0 - 1,FM,urumirtsepmet1,2897
GM,TigrVShlyape,2868,½ - ½,NM,CFalcons8,2455
NM,AngryClouds,2611,0 - 1,GM,crescentmoon2411,2871
FM,Blackmind96,2912,1 - 0,CM,GarnikN,2422
FM,MFguimaraes,2407,0 - 1,GM,alexrustemov,2879
FM,BardArtem,2880,1 - 0,CM,JavierRuizVazquez,2504
FM,english_player_89,2704,0 - 1,FM,ilqar_74,2842
CM,ManMish2,2756,1 - 0,CM,jcmesafischer,2452
FM,AmericanFighter_2010,2615,1 - 0,NM,ElliotAldersonTwitch,2834
FM,snowlord,2931,1 - 0,FM,Kopfverletzung,2524
FM,micke12a,2384,0 - 1,GM,moro182,2888
IM,Szparu,2831,1 - 0,FM,destroyer305,2445
CM,ElimChessKG,2455,0 - 1,IM,MyDream003,2853
IM,aa175,2847,1 - 0,CM,b0103232338,2584
FM,McCarthyStone,2596,1 - 0,FM,honestgames,2799
IM,klimkoj,2879,1 - 0,FM,EdenHazard8,2551
CM,laurent2003,2394,0 - 1,IM,forevery0ung,2824
FM,Gangster-accountant01,2954,½ - ½,NM,pandamaster3000,2429
NM,FollowRivers,2460,0 - 1,FM,Dolphin_2010,2869
GM,Alexei_Kornev,2822,1 - 0,FM,emeli_chess,2477
CM,Heliosis11,2364,0 - 1,GM,Caracternin123,2781
FM,rychessmaster1,2820,1 - 0,WFM,NastyaHn,2533
FM,DvaHrasta,2597,½ - ½,FM,only_strong_moves,2844
FM,kemelgallo,2810,1 - 0,FM,0815original,2480
FM,fitod,2468,0 - 1,FM,KogotBobra17,2810
FM,luckyswitchback,2834,1 - 0,IM,Boninknights,2491
CM,Onthequiet,2573,0 - 1,IM,Legendinunknown,2778
GM,GMAkobianSTL,2965,0 - 1,NM,defibaugh,2531
CM,BaptisteYannick,2504,0 - 1,IM,AradNazari,2923
NM,traviscottofficial,2741,1 - 0,CM,jmpion,2399
NM,financieru,2404,0 - 1,GM,Budisavljevic,2790
IM,IlanSchnaider,2835,1 - 0,CM,Prof_Karga61,2536
CM,mikhailooooo,2394,0 - 1,GM,DrVitman,2759
IM,zimmm36,2819,0 - 1,NM,DoubleTactic,2439
FM,PoXerStar,2397,0 - 1,IM,LikeWater,2757
FM,Leonid_Starozhilov,2728,1 - 0,FM,rdarruda,2557
NM,Nick12772,2496,0 - 1,FM,luksona14,2724
IM,IMRosen,2806,1 - 0,WCM,Mirchi_26,2332
NM,chuessco,2476,½ - ½,GM,Algeriano22,2686
FM,Skatchkov_V,2788,1 - 0,NM,chesspilot01,2429
CM,StefanosKazantzoglou,2462,0 - 1,GM,Aygehovit1992,2769
FM,reevecanada,2751,1 - 0,CM,mouseroom44,2464
CM,NightOwlCalculator,2451,1 - 0,GM,Mikhail_Golubev,2724
FM,NikitaShandrygin,2817,1 - 0,CM,le-castor-faineant,2402
NM,WinOrTilt,2377,0 - 1,NM,MightyGMpretender,2817
IM,Aradhya2000,2774,1 - 0,NM,Chessdude1987,2422
NM,GAO,2459,1 - 0,GM,Goryachkina,2854
IM,DreamsAreFake,2719,1 - 0,FM,Ryan_Zhong,2402
NM,HindsightIs2700,2466,0 - 1,IM,DenisQ,2785
GM,theredking89,2828,1 - 0,CM,Slovafn,2454
NM,coalescenet,2439,½ - ½,IM,Individoom,2890
FM,SRob2003,2719,0 - 1,CM,MetallChessBullet,2478
NM,Pokemon0227,2481,0 - 1,FM,hakanazeri2,2922
CM,Andrei_Skvortsov,2737,½ - ½,FM,ivandrade10,2348
FM,Murtazin_Ruslan,2525,0 - 1,CM,Yan_Dyomin2010,2811
FM,blank0923,2712,1 - 0,FM,CASTIGADOR2,2340
CM,W1lly_Wonka,2388,0 - 1,GM,Kazan28,2743
FM,puz2010,2693,1 - 0,CM,Bimaniv,2469
NM,Thormento16,2369,0 - 1,FM,alanchamp,2706
IM,Agibileg,2667,1 - 0,NM,rhwr,2369
NM,briesmas,2451,0 - 1,CM,NelsonLinda,2728
IM,Meri-Arabidze,2708,1 - 0,FM,AsaHoffmann,2418
NM,Killer_London,2465,1 - 0,NM,slow_jamz,2559
IM,chipmunknau,2711,1 - 0,NM,PapaieDudu,2338
WFM,pawn0209,2361,0 - 1,IM,karinachess1,2696
FM,Evan_Attaker,2693,1 - 0,NM,MAGMAchess02,2352
NM,TiltedRizzler_5,2330,0 - 1,IM,JSlaby,2617
FM,Isajevsky_Anton,2595,1 - 0,NM,GensUnaSumus,2624
NM,Seppppppy,2378,1 - 0,FM,lucumpe04,2730
IM,manitodeplomo,2588,½ - ½,FM,Doublekk14,2362
FM,sebastianmarinp,2389,0 - 1,FM,PositionalGenius,2589
FM,ChessSwole,2706,1 - 0,FM,DanikPrazak,2349
IM,Provotorov_Alexandr,2436,0 - 1,NM,JulianProleiko,2751
CM,Keithonsky,2632,1 - 0,FM,mouseslips_are_the_best,2371
IM,Dmitry_Ponomarev,2347,0 - 1,IM,Smoking_Crow,2721
FM,Lector118,2639,1 - 0,FM,Eloist,2448
FM,nitpicker,2343,1 - 0,FM,biostatistician,2656
IM,Keaton87,2668,1 - 0,CM,rekin87,2292
NM,Marks1420,2302,0 - 1,CM,RantomOpening,2686
FM,ozates,2662,1 - 0,WFM,nagsark,2360
FM,johnmez,2365,0 - 1,IM,WilsonPalencia21,2605
GM,yobdc,2608,1 - 0,FM,thenewfiredragon,2412
CM,jarshh95,2304,0 - 1,CM,AmbartsumianTyhran2012,2609
IM,bazar-wokzal,2562,1 - 0,CM,flo65,2322
WCM,ValerieRuchinskaya,2364,0 - 1,FM,amateurchess20,2609
NM,ChessCenterOfficial,2630,1 - 0,FM,UK_23,2345
NM,GustavoAOliveira,2334,0 - 1,NM,VRML20,2648
NM,dcremisi,2653,1 - 0,IM,GMJustin5,2406
FM,rolyku,2354,1 - 0,FM,djano,2679
FM,VacheH009,2668,1 - 0,CM,ChesswithAkeem,2400
CM,RTchess367,2276,0 - 1,FM,juancruzarias,2732
FM,edgarhay012,2756,1 - 0,WIM,besarquis,2222
CM,JDDG,2356,0 - 1,IM,Fh2411,2644
NM,ReinisUz,2564,1 - 0,NM,ChessMavenYeti,2330
NM,kleong12,2296,1 - 0,NM,WizardOf64,2517
NM,Jamatemate,2558,1 - 0,WFM,klercaku,2332
WCM,dmschess2024,2274,0 - 1,GM,maximnovik,2661
IM,Dr_troll,2665,0 - 1,FM,rikchessmx,2312
FM,Bobbybunny,2232,0 - 1,FM,FUNNY_MAN1234,2696
CM,Klendi,2577,1 - 0,NM,AD0406,2405
CM,glucolisis04,2264,0 - 1,FM,ShazilTheGOAT2006,2505
CM,ArmanGhevondyanchess,2608,1 - 0,NM,GabrielCarckeno,2318
FM,BeyondMadness,2362,½ - ½,FM,sakkikuska,2652
WFM,Lady_Nika,2553,1 - 0,CM,AmardeepB,2286
IM,erlesfar,2555,0 - 1,IM,KevinGeorgeMicheal,2646
CM,soul_mortall,2592,0 - 1,NM,Massarioli,2401
NM,Janh4,2194,0 - 1,FM,Bob_2004,2502
FM,WPWPWP-2015,2506,1 - 0,CM,kyiv-volvo,2350
NM,24pablo209,2426,0 - 1,IM,Squirlolz,2563
FM,ShaakSiv,2536,1 - 0,CM,HanSchut,2297
CM,PlymouthArgyle,2242,0 - 1,NM,KChor05,2603
CM,maksimys18,2586,0 - 1,WGM,Saylormoon,2281
NM,th3d4rkness,2222,0 - 1,FM,x-3704738925,2735
FM,cristiancamilosoto,2593,1 - 0,NM,Shiraaaaazi,2242
NM,Tematicon,2240,½ - ½,CM,ninjatrick,2527
NM,SharathRk6,2561,1 - 0,IM,ecwinslow,2294
FM,Too_Stupid_To_Play,2315,0 - 1,NM,Matycarcamo91,2630
CM,Taylanruzgar,2649,1 - 0,CM,Nyameba,2227
CM,Chain0,2300,0 - 1,IM,Stormtrooper90,2583
CM,supermoli2300,2601,1 - 0,NM,microbear,2243
NM,igordubrovich,2267,0 - 1,FM,kecalk,2711
NM,ShimogaTactician,2576,1 - 0,FM,underthebridge1999,2204
CM,Iulian22,2245,1 - 0,FM,HajiyevKanan,2599
CM,GrotBchess,2650,1 - 0,WCM,ritanovikova,2200
NM,AdrianConde,2155,0 - 1,CM,Caterpiller35,2458
FM,King_Deded4d5,2481,0 - 1,WFM,pushingsomepieces,2231
WFM,UB_TheQueen,2269,0 - 1,NM,Chaubunagungamaug2,2596
FM,IPAchess,2399,1 - 0,NM,giovannibrandao7,2311
FM,TheMagician,2271,0 - 1,FM,Dragnaros,2612
NM,subham777,2661,1 - 0,IM,yuriydovzik,2146
NM,Navyblue1,2276,1 - 0,NM,2346PL,2548
NM,Haragas,2762,1 - 0,WFM,Kaissa10,2191
WFM,JennyQi13,2193,0 - 1,NM,LSChess,2530
IM,ural58,2519,1 - 0,WFM,WFM_Sara_Adel,2097
WCM,iba6702,2177,0 - 1,FM,A4RookA3,2550
IM,Bencus12,2546,1 - 0,FM,AndreyNeves,2159
NM,PeterJJackson,2190,0 - 1,IM,Matalon,2501
FM,kaanozcan006,2570,1 - 0,CM,VTB-81,2118
WCM,rose107,2168,1 - 0,NM,Doomking,2601
IM,Slovineanu,2580,1 - 0,WFM,chesslani123,2163
CM,Goughfather,1928,0 - 1,NM,JiangoFett,2606
NM,AngelDeLaSoledad,2466,1 - 0,CM,Danioo,2128
NM,protectiago,1956,0 - 1,NM,BvsN,2528
IM,crossingthestreet,2523,1 - 0,NM,PNEPaul,1938
CM,SacrificeSavant07,2140,0 - 1,NM,Allysson_Muniz_2809,2461
FM,AndrewSamuelson,2503,1 - 0,NM,IsaqueGoncalvesSanto,1872
WCM,skyethestar,2026,0 - 1,FM,ahkashefi2800,2546
FM,PierrotFace,2572,1 - 0,CM,boguszp,2002
CM,Keithonsky,2632,0 - 1,GM,nihalsarin,3124
