white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,HajiyevKanan,2548,0 - 1,GM,MagnusCarlsen,3313
GM,Hikaru,3276,1 - 0,FM,PositionalPanther,2537
FM,ahkashefi2800,2625,1 - 0,GM,Bigfish1995,3064
GM,LyonBeast,3125,1 - 0,NM,kleopl,2515
FM,sharkarton,2516,0 - 1,GM,DanielNaroditsky,3049
GM,Firouzja2003,3188,1 - 0,NM,ybothg,2483
FM,Marcin,2550,0 - 1,GM,Jospem,3102
GM,Duhless,3105,1 - 0,FM,sakkikuska,2546
NM,Romadk,2458,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Grischuk,3058,1 - 0,CM,komogro,2535
GM,Zq1,2620,0 - 1,IM,Rud_Makarian,3004
GM,Polish_fighter3000,3057,1 - 0,IM,zajka-molotok,2608
FM,DonMicheleCorleone,2521,0 - 1,GM,NikoTheodorou,3104
GM,VincentKeymer,3127,1 - 0,NM,Tonychess32,2552
FM,CristhianPortalR,2443,0 - 1,GM,FairChess_on_YouTube,3064
GM,BogdanDeac,3106,1 - 0,IM,m_ezat,2728
NM,KingCrusher275,2481,0 - 1,GM,BilodeauA,3003
GM,LiemLe,3043,1 - 0,IM,dosto07,2460
FM,jup1978,2419,0 - 1,GM,jefferyx,3067
GM,Msb2,3112,1 - 0,FM,GiorgianBarbosa,2502
FM,NLLO777,2509,0 - 1,GM,dropstoneDP,3010
GM,vi_pranav,3103,1 - 0,FM,best926,2503
FM,scandalgod,2672,0 - 1,GM,GMBenjaminBok,3076
GM,mishanick,3038,1 - 0,IM,Maestro1986,2519
NM,thesupera12,2492,0 - 1,GM,Hrant_ChessMood,2963
GM,MagnusCarlsen,3313,1 - 0,NM,Doomfist26,2619
IM,manitodeplomo,2625,0 - 1,GM,Hikaru,3276
FM,ArtemDyachuk,2673,0 - 1,GM,LyonBeast,3125
GM,DanielNaroditsky,3049,1 - 0,FM,mirciulica14,2638
FM,Gunner214,2713,0 - 1,GM,Firouzja2003,3188
GM,Jospem,3102,1 - 0,IM,Boundless_Strike,2602
FM,lucasran,2612,0 - 1,GM,Duhless,3105
GM,Oleksandr_Bortnyk,3111,1 - 0,NM,Titus369,2670
FM,SaqoChess_Coach,2619,0 - 1,GM,Grischuk,3058
IM,Rud_Makarian,3004,1 - 0,IM,Jadro9,2642
NM,KChor05,2610,0 - 1,GM,Polish_fighter3000,3057
GM,NikoTheodorou,3104,½ - ½,IM,jsdbv18,2626
IM,Zavgorodniy_Sergiy,2589,½ - ½,GM,VincentKeymer,3127
GM,FairChess_on_YouTube,3064,1 - 0,CM,reevecanada,2678
FM,BabageldiAnnaberdiyev,2632,½ - ½,GM,BogdanDeac,3106
GM,BilodeauA,3003,1 - 0,IM,Fh2411,2622
