white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3324,1 - 0,FM,viktorgen2021,2566
CM,ExchangeAB,2481,0 - 1,GM,nihalsarin,3124
GM,LyonBeast,3197,1 - 0,FM,zsoltkorpics,2467
NM,Defenstrator,2560,0 - 1,GM,Firouzja2003,3199
GM,DanielNaroditsky,3083,1 - 0,IM,manubibi,2520
FM,sakkikuska,2652,0 - 1,GM,lachesisQ,3144
GM,LevonAronian,3088,1 - 0,FM,nickmatta,2549
NM,Good_Knight_Kiss,2500,0 - 1,GM,dropstoneDP,3076
GM,Azerichess,3068,1 - 0,FM,Maxfan2008,2656
FM,GulamaliRises,2796,0 - 1,GM,Polish_fighter3000,3200
GM,OparinGrigoriy,3035,1 - 0,FM,Pingah9,2612
IM,RichardLeyvaP,2669,0 - 1,GM,Jospem,3080
GM,vi_pranav,3032,1 - 0,NM,Championnn-9,2630
CM,ChuckPhil,2536,0 - 1,IM,Rud_Makarian,3009
GM,TRadjabov,3141,1 - 0,IM,Triumphmate,2638
IM,ural58,2519,0 - 1,GM,Bigfish1995,3097
GM,FabianoCaruana,3166,1 - 0,FM,whitemirrorninja,2548
NM,TEREZANA,2520,0 - 1,GM,VincentKeymer,3116
GM,jefferyx,2999,0 - 1,FM,krucki03,2650
FM,Silent-Killer100,2660,0 - 1,GM,Msb2,3036
GM,Njal28,3000,1 - 0,FM,patzer-reloaded,2509
CM,Shuvalov,2689,0 - 1,GM,Oleksandr_Bortnyk,3095
GM,mishanick,3109,1 - 0,CM,komogro,2527
FM,vidavi,2556,0 - 1,GM,GM_dmitrij,3030
GM,joppie2,3025,1 - 0,FM,xakevicius91,2470
FM,Oliver_Wartiovaara,2657,0 - 1,GM,wonderfultime,3063
GM,iturrizaga,2996,1 - 0,FM,Tunahan_Makaraci,2495
NM,N_Mullodzhanov,2627,0 - 1,GM,rasmussvane,2986
GM,Salem-AR,3113,1 - 0,IM,imdvb6307,2444
WGM,Caisachess,2430,0 - 1,GM,VladimirKramnik,3040
GM,vugarrasulov,3010,1 - 0,FM,Orphanator2009,2509
IM,Balla_Tamas,2646,0 - 1,GM,tptagain,3003
GM,BillieKimbah,3008,1 - 0,NM,PapaieDudu,2338
CM,Practical-Play,2557,0 - 1,GM,sergiochess83,2891
GM,GMBenjaminBok,3094,1 - 0,WGM,medalja,2369
IM,whiteglovethief,2545,0 - 1,GM,TigrVShlyape,2868
GM,ChristopherYoo,3068,1 - 0,FM,MidnightFox,2490
FM,Danito1954,2542,0 - 1,GM,h4parah5,2990
GM,BilodeauA,2990,1 - 0,CM,almaguerjm,2493
FM,WindWhistler11,2530,0 - 1,GM,vladislavkovalev,2826
FM,Bauman_Guy,3005,1 - 0,WGM,GaalZsoka,2500
CM,FuenfgegenWilly,2536,0 - 1,GM,AryanTari,2986
GM,Zhigalko_Sergei,2974,1 - 0,FM,lucachess49,2560
FM,Payyappat,2439,0 - 1,GM,Harsha_Bharathakoti,2934
IM,lucliasco,2860,1 - 0,FM,lgsalazar94,2558
FM,tandaleo,2513,0 - 1,GM,jcibarra,2950
GM,Binary010,2873,½ - ½,CM,zverr1,2615
FM,AlexSuv,2575,0 - 1,GM,penguingm1,2974
GM,Elsa167,2782,1 - 0,NM,SilverCityIndigo,2332
NM,steepedgames,2475,0 - 1,GM,alexrustemov,2879
IM,Rsnr,2945,1 - 0,NM,TheoSlade,2484
GM,Rdeux42,2553,0 - 1,GM,SantoBlue,3001
IM,Szparu,2831,1 - 0,IM,vladoboch,2578
FM,OneTrickPony_82,2403,0 - 1,GM,baag,2853
FM,rezamahdavi2008,2954,1 - 0,CM,garfield_pg,2235
FM,DeArron_Fox,2675,0 - 1,GM,Hrant_ChessMood,2939
IM,mbojan,2902,½ - ½,FM,Slovak_fighter2000,2617
FM,MFBerna,2558,0 - 1,IM,Eduard_Limonov,2864
GM,Dedic8,2936,½ - ½,IM,Nadtkins,2553
FM,PlotnikovPavel,2546,0 - 1,GM,GMKrikor,2806
FM,MarcoRiehle,2741,0 - 1,FM,zsizsi99,2559
GM,YoreDea,2530,1 - 0,GM,Durarbayli,2931
GM,chito89,2949,1 - 0,FM,FrancescoLS,2702
CM,eCztery,2488,0 - 1,GM,Kiborg95,2839
IM,Kirill_Klukin,2927,1 - 0,FM,chucksterf10,2682
CM,jlf287,2465,1 - 0,FM,German_Bazeev,2855
IM,Panchenko_Dmitry,2862,1 - 0,CM,ilya2700,1952
FM,micke12a,2384,0 - 1,GM,Byniolus,2836
GM,Igor_Lysyj,2828,1 - 0,CM,ATM622,2455
NM,Thormento16,2369,0 - 1,IM,jacky72,2890
GM,PawelCzarnota,2842,1 - 0,FM,username9325890235,2499
FM,Vamostodorecto,2494,0 - 1,IM,NovakCabarkapa,2751
IM,mr_gustavo,2857,1 - 0,FM,dabee,2603
NM,thesupera12,2573,0 - 1,FM,ShadowKing71,2868
GM,platy3,2964,1 - 0,FM,jup1978,2570
FM,ChessSG1,2517,0 - 1,FM,honestgames,2799
GM,Rikikits,2950,1 - 0,CM,KVAIDAN,2327
FM,SergioMoralesG,2511,0 - 1,NM,nochewycandy,2798
FM,GoltsevDmitry2000,2829,1 - 0,CM,ElenGajger,2586
NM,SwordBilledHummingbird,2658,0 - 1,GM,HeartAblaze,2844
GM,krzyzan94,2836,1 - 0,FM,SilverSwords13,2586
FM,Cambek64,2450,0 - 1,GM,oskariot,2841
IM,DeTimmerman,2821,1 - 0,FM,ViktorHNielsen,2503
IM,Mistango,2521,0 - 1,FM,NovozhilovSemen,2826
NM,CuteSheepCloud,2712,1 - 0,NM,EvilMorty23,2617
NM,chess_blitz00,2636,0 - 1,GM,Rodalquilar,2798
IM,chegueps,2695,1 - 0,WIM,u19912131712118,2390
FM,The_Straightforward_Rook,2568,0 - 1,GM,js20000,2821
NM,NoHeThTo,2757,1 - 0,CM,SultaiC,2536
FM,Inepton_Fermion,2499,0 - 1,GM,tjallkompall,2868
GM,chessintuit,2760,1 - 0,CM,Onthequiet,2573
CM,cthulhuuu,2446,0 - 1,GM,messiboca,2777
IM,Korchmar_Vasiliy,2708,1 - 0,FM,el_sporco,2597
CM,topce,2515,0 - 1,IM,The_Machine04,2853
GM,Thunderbolt135,2816,½ - ½,GM,Zq1,2472
FM,gabduschew,2498,1 - 0,IM,Karacsonyi_Gellert,2795
FM,Ditman2007,2700,1 - 0,CM,DragonWizard02,2504
CM,Klendi,2577,0 - 1,IM,DamianoLew95,2684
IM,IlanSchnaider,2835,1 - 0,FM,fugadelafuga,2346
IM,KarpovVadim,2421,1 - 0,IM,hblanco,2732
FM,Ali_rastbod,2768,1 - 0,IM,NormWeinstein,2469
NM,Road2GM3000,2594,0 - 1,FM,BardArtem,2880
IM,CarlssonLudvig,2674,1 - 0,WIM,NewYearGirl,2321
