white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,MagnusCarlsen,3256,1 - 0,FM,Aryan_Tamadon,2620
FM,G10De_Arrascaeta,2563,0 - 1,GM,nihalsarin,3124
GM,DanielNaroditsky,3083,1 - 0,GM,Andrei_Belozerov,2753
CM,Jesseinkman,2483,0 - 1,GM,Firouzja2003,3199
GM,Javokhir_Sindarov05,3169,1 - 0,FM,Pachonpower,2486
IM,elmusmolamas,2564,0 - 1,GM,Msb2,3016
GM,spicycaterpillar,3059,1 - 0,FM,JERO-8914,2536
CM,Rakitic2010,2591,0 - 1,GM,FairChess_on_YouTube,3130
GM,legendisback1,3104,1 - 0,NM,Romkachess,2609
FM,Dom1nant1337,2679,0 - 1,GM,mishanick,3109
GM,BogdanDeac,3052,1 - 0,GM,Zq1,2472
CM,Artemiki,2715,0 - 1,GM,Grischuk,3033
GM,GHANDEEVAM2003,3180,1 - 0,FM,Frankie_Badacsonyi,2504
NM,Road2GM3000,2594,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,jefferyx,2999,1 - 0,GM,gm_rashid,2537
FM,jup1978,2570,0 - 1,GM,dropstoneDP,3076
IM,Rud_Makarian,3076,1 - 0,CM,CyberSurfer12,2513
FM,rdarruda,2557,0 - 1,GM,Jospem,3080
GM,GM_dmitrij,2994,1 - 0,NM,vinclat,2552
FM,JG-17,2601,0 - 1,GM,FGHSMN,2914
GM,Andreikka,3033,1 - 0,CM,VaglioSagan,2519
GM,maximnovik,2661,0 - 1,GM,ChristopherYoo,3070
IM,pheonixking2000,2942,1 - 0,FM,The_Straightforward_Rook,2568
WIM,joksijoksi,2532,0 - 1,GM,h4parah5,2990
GM,Sanan_Sjugirov,2994,1 - 0,FM,Blitz_Lover1,2513
NM,Itay121,2634,0 - 1,GM,vugarrasulov,3010
GM,SantoBlue,3016,0 - 1,IM,Levanzovsky,2580
FM,N18player,2597,0 - 1,GM,1stSecond,2992
GM,Vaathi_Coming,2998,1 - 0,CM,calmberserk,2598
FM,el_sporco,2597,0 - 1,GM,jcibarra,2909
GM,DominguezOnYoutube,2976,1 - 0,NM,toninhojit,2564
FM,Muslim_player_05,2588,0 - 1,GM,Durarbayli,2931
GM,AryanTari,2986,1 - 0,WFM,malakismayil,2592
NM,CFalcons8,2455,0 - 1,IM,klimkoj,2879
GM,Fandorine,2997,0 - 1,FM,Hattori-Hanzo78,2624
FM,Pingah9,2612,0 - 1,GM,baki83,2929
GM,Paralinch,2914,1 - 0,FM,Piriflillo,2626
FM,Atanejhad,2487,0 - 1,GM,Zhigalko_Sergei,2974
GM,Azeryahu,2953,1 - 0,CM,GilbertoHernandezAmura,2647
FM,esskeettit,2550,0 - 1,GM,Chopper1905,2980
GM,TigrVShlyape,2868,0 - 1,IM,chrisclaireredfield,2591
NM,AlexanderMatlak,2529,0 - 1,GM,Shankland,2934
GM,HeartAblaze,2844,1 - 0,GM,MathiasWomacka,2608
FM,frankshar,2432,0 - 1,IM,chenxiaoyuer,2781
GM,rasmussvane,2952,1 - 0,CM,nj123456,2456
NM,IC3S2,2549,0 - 1,IM,Kirill_Klukin,2927
IM,MatthewG-p4p,2904,0 - 1,IM,chessllermo,2528
IM,imdvb6307,2444,1 - 0,IM,Rsnr,2945
GM,alexrustemov,2879,1 - 0,FM,vova-79,2551
IM,Abduzhaparov,2438,0 - 1,IM,want2lose,2910
GM,sergiochess83,2891,1 - 0,FM,Machidon,2590
IM,Balla_Tamas,2646,0 - 1,GM,Kiborg95,2839
GM,kuli4ik,2968,1 - 0,NM,SharathRk6,2561
FM,banane_verte,2588,0 - 1,IM,mbojan,2902
GM,platy3,2964,1 - 0,CM,Sharkaholic,2526
NM,cansun,2536,0 - 1,IM,Eduard_Limonov,2864
GM,moro182,2897,1 - 0,FM,HajiyevKanan,2599
IM,m_ezat,2748,1 - 0,GM,ckgchess,2940
FM,MarcoRiehle,2741,1 - 0,CM,FerAsensio2024,2573
GM,Vanych,2726,0 - 1,GM,dretch,2949
FM,ilqar_74,2842,1 - 0,FM,ErikRonka,2496
FM,Sondremelaa,2620,0 - 1,IM,Legendinunknown,2778
IM,SchmakAttack,2797,1 - 0,NM,ybothg,2506
FM,Schattman,2499,0 - 1,GM,tjallkompall,2868
GM,Cayse,2901,1 - 0,IM,topalovkramnik,2532
FM,EGK_06,2602,0 - 1,GM,Lukianoo,2954
GM,K_A_S_T_O_R,2804,1 - 0,NM,VitorBronson,2579
FM,Pawngobblerx2000,2566,0 - 1,GM,vladislavkovalev,2826
GM,MarkusRagger,2942,1 - 0,IM,ural58,2519
NM,Train_Your_Dragon,2479,0 - 1,GM,Thunderbolt135,2816
GM,maciek_92,3000,1 - 0,NM,harshu27,2466
FM,ChessSG1,2517,½ - ½,GM,Mikhail_Bryakin,2886
FM,sofaceindisguise,2749,0 - 1,FM,Ryukchess81,2494
CM,NeonNinja73,2592,0 - 1,FM,AlexPapasimakopoulos,2763
IM,IlanSchnaider,2835,1 - 0,FM,KacperPolOK,2535
FM,EsmeraldasAnderson03,2525,0 - 1,IM,kingofthenil,2951
IM,Mops_2004,2826,1 - 0,FM,NajdorfPlayerc5,2771
FM,zsoltkorpics,2467,0 - 1,GM,Rodalquilar,2798
CM,Andrei_Skvortsov,2737,1 - 0,FM,isla88,2558
FM,DeArron_Fox,2675,0 - 1,GM,DavidGavrilescu18,2913
FM,GoltsevDmitry2000,2829,1 - 0,FM,Hirna2005,2405
IM,Squirlolz,2563,0 - 1,GM,AlexeiShirov,2936
IM,LikeWater,2757,1 - 0,FM,x-3704738925,2735
CM,CADMartin,2480,0 - 1,FM,BardArtem,2880
GM,DarkAlekhine,2842,½ - ½,CM,Cheer_Down,2457
NM,ZachHKL,2498,0 - 1,FM,Gravity_Chess,2747
IM,HamedWafa4,2844,1 - 0,FM,szachmistrz2500,2552
WIM,verrbaa,2451,0 - 1,GM,Aygehovit1992,2769
GM,oskariot,2841,0 - 1,NM,Divljasvinja14,2538
WFM,Lady_Nika,2553,0 - 1,FM,carokannlover213,2950
GM,PepeCuenca,2759,1 - 0,FM,Payyappat,2439
CM,HedwigTheHowl,2654,1 - 0,CM,vovachesss,2801
IM,SaraBlackPanther,2732,1 - 0,FM,Bugcrusher,2469
FM,PositionalPanther,2537,0 - 1,NM,tactic,2793
