white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,AjedrezconPeter,2558,0 - 1,GM,nihalsarin,3211
GM,Hikaru,3276,0 - 1,FM,HajiyevKanan,2548
FM,EddieMarsalla,2785,½ - ½,GM,FabianoCaruana,3101
GM,lachesisQ,3164,1 - 0,FM,ineverlikedyou,2610
FM,Fandorin779,2511,0 - 1,GM,GM_dmitrij,3002
GM,Jospem,3102,1 - 0,NM,wgraif,2674
FM,djano,2622,0 - 1,GM,Baku_Boulevard,3136
GM,mishanick,3038,1 - 0,WFM,GulenayAydin,2545
FM,rdarruda,2490,½ - ½,GM,Polish_fighter3000,3057
GM,Msb2,3112,1 - 0,NM,belligham2023,2568
CM,jaskol95,2638,0 - 1,GM,dropstoneDP,3021
GM,DenLaz,3104,1 - 0,FM,PositionalPanther,2537
IM,draksbg,2525,0 - 1,GM,FairChess_on_YouTube,3064
GM,Njal28,3041,1 - 0,IM,ninguno46,2569
FM,vidavi,2388,0 - 1,GM,VladimirKramnik,2992
GM,BogdanDeac,3106,1 - 0,FM,Nf3c5,2629
FM,TitanChess666,2501,0 - 1,IM,Mykola-Bortnyk,3052
GM,Indianlad,3064,1 - 0,FM,Kombinator01,2250
FM,Just_Lucky_1,2604,0 - 1,GM,BillieKimbah,2938
GM,rasmussvane,2941,1 - 0,FM,Zmiyevik2200,2644
FM,Pingah9,2530,0 - 1,GM,TigrVShlyape,2866
IM,Rud_Makarian,3004,1 - 0,FM,2008king,2606
NM,2346PL,2509,0 - 1,GM,Sanan_Sjugirov,2931
GM,vugarrasulov,2933,1 - 0,IM,AleksanderHnydiuk,2523
IM,LastHeroJr,2436,0 - 1,GM,GroovyKettle,2973
GM,nihalsarin,3211,1 - 0,GM,rookoco,2559
IM,ilm2034,2533,½ - ½,GM,lachesisQ,3164
GM,GM_dmitrij,3002,1 - 0,IM,arctic_t00,2575
FM,MaryanKyrychenko,2469,0 - 1,GM,Jospem,3102
GM,Baku_Boulevard,3136,½ - ½,GM,pavel_skatchkov,2602
IM,elcandado,2769,0 - 1,GM,mishanick,3038
IM,Rital44,2716,½ - ½,GM,Msb2,3112
GM,dropstoneDP,3021,1 - 0,FM,IlanSchnaider,2862
WGM,axvesik,2546,0 - 1,GM,DenLaz,3104
GM,FairChess_on_YouTube,3064,0 - 1,GM,gahryman,2610
FM,TanitoluwaAps116,2863,0 - 1,GM,Njal28,3041
GM,VladimirKramnik,2992,1 - 0,IM,x-2789446229,2827
FM,GP9isback23,2743,0 - 1,GM,BogdanDeac,3106
IM,Mykola-Bortnyk,3052,1 - 0,GM,RichardBitoon,2506
IM,Kildepiotr,2735,0 - 1,GM,Indianlad,3064
GM,BillieKimbah,2938,½ - ½,NM,Talcrifice,2605
IM,bazar-wokzal,2640,0 - 1,GM,rasmussvane,2941
GM,TigrVShlyape,2866,1 - 0,FM,Bastiandash,2659
CM,ATM622,2458,0 - 1,IM,Rud_Makarian,3004
GM,Sanan_Sjugirov,2931,1 - 0,CM,GUST_b,2576
FM,biostatistician,2568,0 - 1,GM,vugarrasulov,2933
GM,GroovyKettle,2973,1 - 0,IM,wadsy27,2678
FM,SaqoChess_Coach,2619,1 - 0,GM,Durarbayli,2925
GM,jcibarra,2970,1 - 0,IM,AldokhinIvan,2673
FM,ArtemDyachuk,2673,0 - 1,GM,jefferyx,3067
IM,Kirill_Klukin,2914,0 - 1,GM,nihalsarin,3211
GM,Byniolus,2842,0 - 1,GM,GM_dmitrij,3002
GM,Jospem,3102,1 - 0,FM,FaustinoOro,3043
GM,mishanick,3038,1 - 0,IM,Sokoloco,2659
GM,ChessSkool,2728,0 - 1,GM,dropstoneDP,3021
GM,DenLaz,3104,1 - 0,GM,EREBUNI91,2790
GM,Njal28,3041,1 - 0,GM,grzechu96,2737
CM,Andrei_Skvortsov,2794,0 - 1,GM,VladimirKramnik,2992
GM,BogdanDeac,3106,1 - 0,GM,chessdjw,2726
FM,BeanScreen,2678,0 - 1,IM,Mykola-Bortnyk,3052
GM,Indianlad,3064,1 - 0,IM,dozer80,2717
GM,rasmussvane,2941,½ - ½,FM,Alex_Sahakyan2006,2698
GM,Aygehovit1992,2723,0 - 1,GM,TigrVShlyape,2866
IM,Rud_Makarian,3004,1 - 0,GM,tdf98pantani,2752
IM,Korchmar_Vasiliy,2711,0 - 1,GM,Sanan_Sjugirov,2931
GM,vugarrasulov,2933,1 - 0,IM,SirMittensofMittensville,2677
GM,ENajer77,2797,0 - 1,GM,GroovyKettle,2973
GM,FelixBlohberger,2759,0 - 1,GM,jcibarra,2970
GM,jefferyx,3067,0 - 1,CM,CM_rui,2687
FM,csati17,2691,0 - 1,GM,Vladimir_Zakhartsov,2908
IM,MITerryble,3011,0 - 1,GM,gahryman,2610
GM,ruifeng,2901,½ - ½,FM,SaqoChess_Coach,2619
FM,Levanzovsky,2450,0 - 1,GM,Elsa167,2782
GM,frederiksvane,3060,1 - 0,IM,TrenerChos,2565
GM,VincentKeymer,3127,1 - 0,FM,ozates,2635
GM,nihalsarin,3211,1 - 0,GM,GroovyKettle,2973
GM,GM_dmitrij,3002,½ - ½,GM,jcibarra,2970
GM,Vladimir_Zakhartsov,2908,½ - ½,GM,Jospem,3102
GM,Elsa167,2782,0 - 1,GM,mishanick,3038
GM,dropstoneDP,3021,1 - 0,GM,frederiksvane,3060
GM,VincentKeymer,3127,½ - ½,GM,DenLaz,3104
CM,stollenmonster,2921,1 - 0,GM,Njal28,3041
GM,VladimirKramnik,2992,0 - 1,GM,vladislavkovalev,2875
GM,Mikhail_Bryakin,2892,0 - 1,GM,BogdanDeac,3106
IM,Mykola-Bortnyk,3052,1 - 0,GM,kleinebeer98,2901
GM,Genghis_K,2928,0 - 1,GM,Indianlad,3064
GM,TigrVShlyape,2866,1 - 0,IM,SchmakAttack,2800
IM,enriquetejedor,2760,0 - 1,IM,Rud_Makarian,3004
CM,CM_rui,2687,0 - 1,GM,Sanan_Sjugirov,2931
GM,gahryman,2610,0 - 1,GM,vugarrasulov,2933
IM,eragon02,2697,0 - 1,GM,FabianoCaruana,3101
GM,lachesisQ,3164,1 - 0,GM,ArnaudovP,2540
FM,Alex_Sahakyan2006,2698,0 - 1,GM,Polish_fighter3000,3057
IM,AradNazari,2821,0 - 1,GM,Msb2,3112
IM,Dr_troll,2590,0 - 1,GM,BillieKimbah,2938
FM,brunoo2003,2692,0 - 1,GM,rasmussvane,2941
GM,hansen,2969,1 - 0,FM,MartinHollan,2634
IM,Lennis93,2744,0 - 1,GM,ruifeng,2901
GM,Beca95,2990,1 - 0,GM,pavel_skatchkov,2602
GM,GadimbayliA,2853,0 - 1,CM,SashaKuzhilniy,2621
GM,mishanick,3038,1 - 0,GM,TigrVShlyape,2866
IM,Rud_Makarian,3004,1 - 0,GM,dropstoneDP,3021
GM,Sanan_Sjugirov,2931,0 - 1,GM,BogdanDeac,3106
GM,vugarrasulov,2933,1 - 0,IM,Mykola-Bortnyk,3052
GM,Indianlad,3064,0 - 1,GM,vladislavkovalev,2875
GM,FabianoCaruana,3101,1 - 0,CM,stollenmonster,2921
GM,jcibarra,2970,0 - 1,GM,lachesisQ,3164
GM,Vladimir_Zakhartsov,2908,0 - 1,GM,GM_dmitrij,3002
GM,Jospem,3102,½ - ½,GM,hansen,2969
GM,Polish_fighter3000,3057,1 - 0,GM,ruifeng,2901
GM,DenLaz,3104,½ - ½,GM,Beca95,2990
GM,Msb2,3112,0 - 1,GM,VincentKeymer,3127
GM,BillieKimbah,2938,1 - 0,IM,nocnypako,2681
GM,rasmussvane,2941,0 - 1,FM,SaqoChess_Coach,2619
GM,Hikaru,3276,1 - 0,CM,SashaKuzhilniy,2621
IM,JakubPulpan,2712,0 - 1,GM,FairChess_on_YouTube,3064
GM,Njal28,3041,1 - 0,IM,benny_aizenberg,Unrated
GM,chessdjw,2726,½ - ½,GM,VladimirKramnik,2992
GM,GroovyKettle,2973,1 - 0,GM,ckgchess,2909
GM,Durarbayli,2925,1 - 0,FM,NikolaGry,2701
GM,jefferyx,3067,0 - 1,FM,BeanScreen,2678
IM,MITerryble,3011,½ - ½,IM,IMRosen,2714
IM,liczner,2993,1 - 0,GM,Aygehovit1992,2723
GM,tdf98pantani,2752,½ - ½,GM,Elsa167,2782
CM,CM_rui,2687,0 - 1,GM,moro182,2901
IM,Rud_Makarian,3004,1 - 0,GM,mishanick,3038
GM,BogdanDeac,3106,½ - ½,GM,vugarrasulov,2933
GM,vladislavkovalev,2875,1 - 0,GM,FabianoCaruana,3101
GM,lachesisQ,3164,1 - 0,GM,BillieKimbah,2938
GM,GM_dmitrij,3002,0 - 1,GM,VincentKeymer,3127
FM,SaqoChess_Coach,2619,0 - 1,GM,Polish_fighter3000,3057
GM,Fandorine,2924,0 - 1,GM,Hikaru,3276
GM,Beca95,2990,½ - ½,GM,Jospem,3102
GM,dropstoneDP,3021,1 - 0,IM,SchmakAttack,2800
IM,I_am_Javi,2739,0 - 1,GM,DenLaz,3104
GM,FairChess_on_YouTube,3064,1 - 0,GM,Byniolus,2842
IM,Sokoloco,2659,0 - 1,GM,Njal28,3041
IM,Mykola-Bortnyk,3052,1 - 0,GM,ChessSkool,2728
IM,Mops_2004,2760,0 - 1,GM,Indianlad,3064
GM,TigrVShlyape,2866,1 - 0,IM,TheRealGmochey,2890
GM,GroovyKettle,2973,0 - 1,GM,chessintuit,2775
FM,BeanScreen,2678,0 - 1,GM,Sanan_Sjugirov,2931
GM,ENajer77,2797,0 - 1,GM,Durarbayli,2925
GM,FelixBlohberger,2759,0 - 1,GM,hansen,2969
GM,rookoco,2559,0 - 1,IM,liczner,2993
GM,moro182,2901,1 - 0,GM,RichardBitoon,2506
CM,stollenmonster,2921,0 - 1,FM,DvaHrasta,2498
GM,Mikhail_Golubev,2598,0 - 1,GM,Msb2,3112
