white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3276,1 - 0,CM,RantomOpening,2574
FM,newyorkmouse,2640,0 - 1,GM,Firouzja2003,3188
GM,Polish_fighter3000,3057,1 - 0,IM,santosalberto1987,2505
WGM,DishonorOnYourCow,2505,0 - 1,GM,Jospem,3102
GM,mishanick,3038,1 - 0,FM,DucksParadise,2624
FM,Payyappat,2477,0 - 1,GM,FairChess_on_YouTube,3064
GM,HansOnTwitch,3128,1 - 0,NM,subham777,2602
IM,zajka-molotok,2608,0 - 1,GM,SpeedofLight0,3111
GM,GHANDEEVAM2003,3044,1 - 0,NM,Noki102,2500
CM,Russian_berezka,2623,0 - 1,GM,DanielNaroditsky,3049
GM,jefferyx,3067,1 - 0,FM,bipe137,2550
FM,DeArron_Fox,2566,0 - 1,GM,Grischuk,3058
GM,DenLaz,3104,0 - 1,WFM,Lady_Nika,2540
IM,WilsonPalencia21,2497,0 - 1,GM,SantoBlue,2956
GM,BogdanDeac,3106,1 - 0,IM,bazar-wokzal,2640
CM,robertoalejandro10,2475,0 - 1,IM,Rud_Makarian,3004
GM,vi_pranav,3103,1 - 0,FM,MalyDominator,2547
GM,As0nchess,2542,0 - 1,IM,Sina_Movahed,3044
GM,GMBenjaminBok,3076,1 - 0,FM,ExtremeLearner,2447
IM,chessllermo,2520,1 - 0,GM,igorkovalenko,2961
GM,sergoy,2956,1 - 0,NM,Mikayel99,2605
FM,rdarruda,2490,0 - 1,GM,Msb2,3112
GM,GOGIEFF,3030,1 - 0,CM,RebelJohnny,2599
FM,ketster,2689,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,BilodeauA,3003,1 - 0,FM,betta2004,2566
IM,mr_gustavo,2776,0 - 1,GM,Hikaru,3276
GM,Firouzja2003,3188,1 - 0,IM,aa175,2943
IM,Fonsofan,2801,0 - 1,GM,Polish_fighter3000,3057
GM,Jospem,3102,1 - 0,IM,GaiozNigalidze,2758
IM,Rutricks,2697,0 - 1,GM,mishanick,3038
GM,FairChess_on_YouTube,3064,1 - 0,FM,ChessSwole,2647
FM,Franmu14,2608,0 - 1,GM,HansOnTwitch,3128
GM,SpeedofLight0,3111,0 - 1,FM,Jagerrmeisterr,2650
IM,Meri-Arabidze,2686,0 - 1,GM,GHANDEEVAM2003,3044
GM,DanielNaroditsky,3049,1 - 0,IM,KyronGriffith,2704
FM,NikolaGry,2701,0 - 1,GM,jefferyx,3067
GM,Grischuk,3058,1 - 0,CM,ansko1999,2659
GM,SantoBlue,2956,1 - 0,IM,manitodeplomo,2625
IM,jk13,2665,0 - 1,GM,BogdanDeac,3106
IM,Rud_Makarian,3004,1 - 0,IM,Kildepiotr,2735
FM,ArtemDyachuk,2673,½ - ½,GM,vi_pranav,3103
IM,Sina_Movahed,3044,1 - 0,IM,Korchmar_Vasiliy,2711
FM,GoltsevDmitry2000,2802,0 - 1,GM,GMBenjaminBok,3076
IM,GothamChess,2835,0 - 1,GM,sergoy,2956
GM,Msb2,3112,1 - 0,GM,CaspiIsrael,2746
IM,AlexTruskavetsky,2717,0 - 1,GM,GOGIEFF,3030
GM,Oleksandr_Bortnyk,3111,1 - 0,IM,LikeWater,2785
GM,Goryachkina,2680,0 - 1,GM,BilodeauA,3003
FM,Skatchkov_V,2802,0 - 1,GM,Sanan_Sjugirov,2931
GM,dropstoneDP,3010,½ - ½,GM,Mikhail_Golubev,2598
GM,Hikaru,3276,1 - 0,GM,ContrVersia,2838
GM,VojtechPlat,2852,0 - 1,GM,Firouzja2003,3188
GM,Polish_fighter3000,3057,1 - 0,FM,rezamahdavi2008,3006
GM,alexrustemov,2899,0 - 1,GM,Jospem,3102
GM,mishanick,3038,0 - 1,GM,Zhigalko_Sergei,2912
GM,baki83,2889,0 - 1,GM,FairChess_on_YouTube,3064
GM,HansOnTwitch,3128,1 - 0,GM,MikaelyanArman,2937
GM,GHANDEEVAM2003,3044,1 - 0,FM,carokannlover213,2850
GM,HeartAblaze,2844,0 - 1,GM,DanielNaroditsky,3049
GM,jefferyx,3067,1 - 0,IM,ameetghasi100,2721
IM,SchmakAttack,2800,0 - 1,GM,Grischuk,3058
IM,The_Machine04,2776,½ - ½,GM,SantoBlue,2956
GM,BogdanDeac,3106,1 - 0,FM,MarcoRiehle,2834
IM,Szparu,2863,0 - 1,IM,Rud_Makarian,3004
IM,Adar_07,2851,0 - 1,IM,Sina_Movahed,3044
GM,GMBenjaminBok,3076,1 - 0,GM,Rodalquilar,2778
GM,sergoy,2956,1 - 0,FM,jocmil,2513
FM,bascheyaro,2816,½ - ½,GM,Msb2,3112
GM,GOGIEFF,3030,1 - 0,IM,lamomiajunior,2772
GM,CarlosAlbornoz,2837,1 - 0,GM,Oleksandr_Bortnyk,3111
GM,BilodeauA,3003,1 - 0,NM,TheCavemanChess,2668
GM,Sanan_Sjugirov,2931,0 - 1,FM,Rud_2008,2796
GM,ChristopherYoo,3007,1 - 0,IM,kingofthenil,2909
FM,kids2010,2786,1 - 0,GM,Hrant_ChessMood,2963
IM,yosephtaher,2932,½ - ½,GM,oskariot,2742
GM,Angry_Twin,2977,½ - ½,GM,Hikaru,3276
GM,Firouzja2003,3188,0 - 1,GM,mitrabhaa,2938
GM,Fandorine,2924,0 - 1,GM,Polish_fighter3000,3057
GM,Jospem,3102,1 - 0,GM,ChessLover0108,2943
GM,FairChess_on_YouTube,3064,1 - 0,GM,Anton_Demchenko,2898
GM,vugarrasulov,2933,½ - ½,GM,HansOnTwitch,3128
GM,GHANDEEVAM2003,3044,1 - 0,IM,IlyaGrigorjev,2830
GM,DanielNaroditsky,3049,0 - 1,GM,Vladimir_Zakhartsov,2908
GM,jefferyx,3067,1 - 0,GM,KuzubovYuriy,2973
GM,Grischuk,3058,½ - ½,IM,MatthewG-p4p,2948
IM,remi04,2836,0 - 1,GM,BogdanDeac,3106
IM,Rud_Makarian,3004,1 - 0,GM,TenisMaster,2917
IM,Sina_Movahed,3044,0 - 1,IM,Zohid6,2958
IM,mbojan,2948,1 - 0,GM,GMBenjaminBok,3076
GM,GMKrikor,2857,1 - 0,GM,sergoy,2956
GM,Zhigalko_Sergei,2912,0 - 1,GM,GOGIEFF,3030
GM,CarlosAlbornoz,2837,1 - 0,GM,BilodeauA,3003
FM,Rud_2008,2796,0 - 1,GM,ChristopherYoo,3007
FM,BabageldiAnnaberdiyev,2632,0 - 1,GM,platy3,3018
GM,SantoBlue,2956,1 - 0,FM,kids2010,2786
GM,vi_pranav,3103,1 - 0,CM,stollenmonster,2921
GM,Msb2,3112,1 - 0,GM,K_A_S_T_O_R,2838
GM,Igor_Lysyj,2853,0 - 1,GM,Durarbayli,2925
IM,yosephtaher,2932,1 - 0,IM,The_Machine04,2776
GM,shimastream,3025,1 - 0,FM,bascheyaro,2816
GM,Polish_fighter3000,3057,1 - 0,GM,GOGIEFF,3030
GM,ChristopherYoo,3007,1 - 0,GM,Jospem,3102
GM,platy3,3018,1 - 0,GM,FairChess_on_YouTube,3064
GM,Vladimir_Zakhartsov,2908,1 - 0,GM,GHANDEEVAM2003,3044
IM,Zohid6,2958,½ - ½,GM,jefferyx,3067
GM,BogdanDeac,3106,1 - 0,IM,mbojan,2948
IM,Rud_Makarian,3004,0 - 1,GM,CarlosAlbornoz,2837
GM,Hikaru,3276,1 - 0,GM,GMKrikor,2857
GM,HansOnTwitch,3128,1 - 0,IM,yosephtaher,2932
GM,shimastream,3025,1 - 0,GM,Grischuk,3058
GM,Angry_Twin,2977,1 - 0,GM,SantoBlue,2956
GM,tptagain,2995,1 - 0,GM,vi_pranav,3103
GM,Msb2,3112,1 - 0,GM,vugarrasulov,2933
GM,Durarbayli,2925,0 - 1,GM,sergiochess83,2983
IM,MatthewG-p4p,2948,0 - 1,GM,Firouzja2003,3188
GM,mishanick,3038,1 - 0,FM,Rud_2008,2796
FM,kids2010,2786,0 - 1,GM,SpeedofLight0,3111
NM,TheCavemanChess,2668,0 - 1,GM,DanielNaroditsky,3049
GM,oskariot,2742,0 - 1,GM,DenLaz,3104
IM,MyDream003,2943,0 - 1,IM,Sina_Movahed,3044
GM,GMBenjaminBok,3076,1 - 0,IM,kingofthenil,2909
GM,sergoy,2956,½ - ½,GM,DavidGavrilescu18,2810
GM,jstopa4,2809,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,BilodeauA,3003,1 - 0,FM,Alphafischer2019,2830
GM,Sanan_Sjugirov,2931,0 - 1,FM,BardArtem,2826
