white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3324,1 - 0,FM,Pingah9,2612
FM,SHIVACalypso,2532,0 - 1,GM,MagnusCarlsen,3256
GM,FabianoCaruana,3166,1 - 0,FM,WindWhistler11,2530
IM,chessllermo,2528,0 - 1,GM,ChessWarrior7197,3097
GM,Firouzja2003,3199,1 - 0,CM,Respectful_Dave,2497
CM,dolynachess,2572,0 - 1,GM,Duhless,3103
GM,LyonBeast,3197,1 - 0,FM,EsmeraldasAnderson03,2525
FM,newyorkmouse,2738,0 - 1,GM,DanielNaroditsky,3083
GM,lachesisQ,3144,1 - 0,FM,CristianS27,2605
NM,Piotrek1979,2509,0 - 1,GM,Polish_fighter3000,3200
GM,Oleksandr_Bortnyk,3095,1 - 0,FM,The_Straightforward_Rook,2568
GM,MathiasWomacka,2608,0 - 1,GM,Jospem,3080
GM,h4parah5,2990,1 - 0,GM,GMMikhailKazakov,2507
NM,steepedgames,2475,0 - 1,GM,GMBenjaminBok,3094
GM,LiemLe,3132,1 - 0,IM,whiteglovethief,2545
FM,StoreySniper,2380,0 - 1,GM,AryanTari,2990
GM,GOGIEFF,3056,1 - 0,FM,WPWPWP-2015,2506
FM,MFatigue,2533,0 - 1,FM,artin10862,2980
GM,SpeedofLight0,3069,1 - 0,NM,Train_Your_Dragon,2479
NM,toninhojit,2564,0 - 1,GM,sergoy,3028
GM,OparinGrigoriy,3035,1 - 0,NM,SharathRk6,2561
WGM,Atousa,2469,0 - 1,GM,ChristopherYoo,3070
GM,penguingm1,2974,1 - 0,FM,DeArron_Fox,2675
IM,el008,2690,0 - 1,GM,Sanan_Sjugirov,2994
GM,vugarrasulov,3010,1 - 0,GM,yaguigor,2718
FM,andrew-blr,2578,0 - 1,GM,DominguezOnYoutube,2976
GM,Fandorine,2997,1 - 0,IM,Love7Unicorn,2639
NM,Mikhal867,2510,0 - 1,GM,dropstoneDP,3076
GM,TigrVShlyape,2868,1 - 0,WFM,Lady_Nika,2553
FM,Siemba,2276,1 - 0,IM,kingofthenil,2951
GM,Hrant_ChessMood,2939,1 - 0,FM,banane_verte,2588
FM,A4RookA3,2550,0 - 1,FM,Blackmind96,2912
GM,gmcorrales,2909,1 - 0,CM,jaskol95,2609
CM,shanemelaughcm,2450,0 - 1,GM,KuzubovYuriy,2958
IM,IlyaGrigorjev,2866,1 - 0,NM,JiangoFett,2606
FM,CristhianPortalR,2482,0 - 1,GM,Jakhongir-Vakhidov,2940
GM,Kiborg95,2839,1 - 0,NM,SameerMujumdar,2601
IM,Slovineanu,2580,½ - ½,GM,platy3,2964
IM,Rsnr,2945,½ - ½,CM,dealshark,2341
IM,IndianSchoolOfSuffering,2464,0 - 1,GM,Gareth-Bale11,2931
GM,eljanov,2868,0 - 1,IM,dosto07,2527
FM,Aryan_Tamadon,2620,0 - 1,GM,baag,2853
GM,Dedic8,2936,1 - 0,FM,PositionalPanther,2537
FM,patzer-reloaded,2509,1 - 0,CM,stollenmonster,2914
GM,AlexeiShirov,2936,1 - 0,FM,TitanChess666,2482
GM,Zq1,2472,0 - 1,GM,jcibarra,2909
GM,BilodeauA,2990,1 - 0,FM,szachmistrz2500,2552
FM,Eleyah,2575,0 - 1,IM,MatthewG-p4p,2904
GM,Beca95,3018,1 - 0,IM,chedimir,2499
FM,IMGC,2483,0 - 1,GM,baki83,2929
GM,Binary010,2873,1 - 0,FM,x-3704738925,2735
CM,jlf287,2465,0 - 1,GM,ContrVersia,2863
GM,moro182,2888,1 - 0,FM,Crasyhealer,2542
NM,lcmil,2184,0 - 1,IM,Szparu,2831
IM,super_emi_26,2822,0 - 1,NM,2346PL,2548
FM,colegiodemadrid,2553,1 - 0,FM,temus_galaktionov,2906
GM,theredking89,2828,1 - 0,CM,Capablanca_Oujda_2021,2376
CM,Rakitic2010,2591,0 - 1,FM,Iball95,2908
GM,WoodlandMagic,2875,1 - 0,CM,Smiechu,2500
CM,zverr1,2615,½ - ½,GM,TenisMaster,2905
GM,Zhigalko_Sergei,2974,1 - 0,FM,xakevicius91,2470
FM,masterofpuppets2,2535,0 - 1,GM,sergiochess83,2891
GM,dretch,2949,1 - 0,FM,Atanejhad,2487
FM,G10De_Arrascaeta,2563,0 - 1,GM,Vladimir_Zakhartsov,2900
GM,HeartAblaze,2844,1 - 0,FM,HajiyevKanan,2599
FM,alex1531,2499,0 - 1,IM,Yaacovn,2830
IM,MyDream003,2853,1 - 0,FM,mortngabriel,2565
CM,cthulhuuu,2446,1 - 0,GM,GMAkobianSTL,2965
IM,Arystanner,2928,1 - 0,FM,VD_coach,2520
FM,zacachess,2529,1 - 0,IM,chenxiaoyuer,2749
GM,KNVB,2974,½ - ½,CM,Chessdemon2019,2499
FM,ViktorHNielsen,2503,0 - 1,IM,Seochesspie,2914
GM,onyshchuk_v,2972,1 - 0,FM,db-banana,2536
NM,Romadk,2505,1 - 0,GM,XDPS,2933
FM,ilqar_74,2842,1 - 0,FM,gospodarsaha07,2502
FM,Slovak_fighter2000,2617,½ - ½,GM,OK97,2845
IM,The_Machine04,2853,0 - 1,FM,ChessSG1,2517
IM,Heydarli77,2519,0 - 1,FM,BardArtem,2880
IM,GothamChess,2761,1 - 0,CM,Josetricks,2636
CM,David_ATM,2489,0 - 1,GM,alexrustemov,2879
GM,oskariot,2841,½ - ½,CM,Narek_Ghimoyan,2603
FM,pedroholly22,2425,0 - 1,NM,amanmuhammethommadov,2674
CM,MrLion3000,2851,1 - 0,CM,Hakiki_satranc,2508
FM,czasnaszachy,2526,1 - 0,IM,Revan_2002,2776
GM,Aygehovit1992,2769,1 - 0,NM,i_like_explosions,2518
NM,nelsi,2528,0 - 1,GM,Rodalquilar,2798
IM,zimmm36,2819,0 - 1,IM,Levanzovsky,2580
FM,ilushka,2498,0 - 1,NM,MightyGMpretender,2886
IM,AradNazari,2923,1 - 0,FM,jup1978,2570
CM,tgpgoat,2524,0 - 1,FM,1800_strength,2758
FM,sofaceindisguise,2749,1 - 0,IM,ural58,2519
FM,1g60-1,2601,0 - 1,FM,Makswolf200817,2719
NM,Abund,2750,1 - 0,CM,Heliosis11,2364
FM,PlotnikovPavel,2546,0 - 1,GM,GMG,2815
IM,lamomiajunior,2822,1 - 0,NM,JoshWeinstein,2473
FM,Sandstad,2452,0 - 1,IM,DragonB70,2821
GM,MarkusRagger,2942,1 - 0,NM,semchik90,2338
NM,Kaustubh_Kodihalli,2512,0 - 1,IM,DeTimmerman,2821
GM,cassoulet,2835,1 - 0,WFM,Quattroporte300,2524
FM,Andrii_Prydun,2394,0 - 1,GM,PepeCuenca,2759
FM,MarcoRiehle,2748,1 - 0,FM,Eloist,2448
NM,Supelyel,2498,½ - ½,GM,Hamisandwich,2696
IM,Lennis93,2730,1 - 0,NM,bobo_panda,2405
IM,FightingDragon84,2358,0 - 1,GM,Sokoloco,2741
FM,GoltsevDmitry2000,2829,0 - 1,FM,Danito1954,2542
FM,emeli_chess,2477,0 - 1,IM,JoakimVonAnd,2680
