white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,MagnusCarlsen,3313,1 - 0,FM,whitemirrorninja,2624
FM,Defend1r,2641,0 - 1,GM,BrandonJacobson,2958
GM,nihalsarin,3211,1 - 0,CM,Horus31,2535
IM,zajka-molotok,2608,0 - 1,GM,Polish_fighter3000,3057
GM,LiemLe,3043,1 - 0,IM,AleksanderHnydiuk,2523
FM,Hananmo,2535,0 - 1,GM,Njal28,3041
GM,vi_pranav,3103,1 - 0,FM,GiorgianBarbosa,2502
IM,Perecke,2642,0 - 1,GM,Firouzja2003,3188
GM,dropstoneDP,3016,1 - 0,FM,HajiyevKanan,2548
IM,ural58,2512,0 - 1,GM,Jospem,3102
GM,jefferyx,3067,0 - 1,NM,Chess_Caio2007,2700
FM,Langua_Chess,2432,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,jcibarra,2970,1 - 0,FM,topin8,2590
NM,TEREZANA,2520,0 - 1,GM,OparinGrigoriy,3086
GM,Angry_Twin,2977,1 - 0,FM,Schattman,2524
FM,JackRodgers,2575,½ - ½,GM,Elsa167,2782
GM,BogdanDeac,3106,1 - 0,CM,Sjakkerntobi,2533
FM,Eliwood44,2463,0 - 1,GM,SpeedofLight0,3111
GM,vugarrasulov,2933,1 - 0,NM,MclarenF1LM,2629
IM,DawidCzerw,2496,0 - 1,GM,Denis_Makhnyov,2969
IM,Rud_Makarian,3004,1 - 0,GM,maximnovik,2615
NM,subham777,2602,0 - 1,GM,mishanick,3038
GM,BillieKimbah,2938,1 - 0,CM,dodoucb,2478
CM,DIMONBANAN,2532,0 - 1,GM,Sanan_Sjugirov,2931
GM,Krakozia,2940,1 - 0,FM,JoseRemolar,2409
WGM,Crazy_girl99,2678,0 - 1,GM,MagnusCarlsen,3313
GM,BrandonJacobson,2958,1 - 0,IM,Flawless_Fighter,2771
FM,FedaMaster,2654,0 - 1,GM,nihalsarin,3211
GM,Polish_fighter3000,3057,1 - 0,NM,KChor05,2610
IM,ellatambien,2693,0 - 1,GM,LiemLe,3043
GM,Njal28,3041,1 - 0,NM,NoHeThTo,2658
FM,djano,2622,0 - 1,GM,vi_pranav,3103
GM,Firouzja2003,3188,1 - 0,FM,Makswolf200817,2760
GM,oskariot,2742,0 - 1,GM,dropstoneDP,3016
GM,Jospem,3102,1 - 0,GM,Malev212,2604
