white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,DanielNaroditsky,3049,1 - 0,CM,Pomberito2,2342
NM,subham777,2602,0 - 1,GM,nihalsarin,3211
GM,Jospem,3102,1 - 0,FM,GlavkonVVS,2674
CM,Artyom_ChessMate,2527,0 - 1,GM,FairChess_on_YouTube,3064
GM,mishanick,3038,1 - 0,CM,maksimys18,2505
FM,WPWPWP-2015,2596,0 - 1,GM,Firouzja2003,3188
GM,GHANDEEVAM2003,3044,½ - ½,NM,IamSchrodingersCat,2701
FM,josiur,2430,0 - 1,GM,Polish_fighter3000,3057
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,jup1978,2419
IM,Battever,2566,0 - 1,GM,Msb2,3112
GM,Baku_Boulevard,3136,1 - 0,NM,TheoSlade,2479
FM,ErikRonka,2512,0 - 1,GM,ChristopherYoo,3007
GM,GM_dmitrij,3002,1 - 0,FM,only_strong_moves,2756
FM,WindWhistler11,2528,0 - 1,GM,SpeedofLight0,3111
GM,BogdanDeac,3106,1 - 0,IM,AleksanderHnydiuk,2523
CM,Smiechu,2517,0 - 1,GM,GMBenjaminBok,3076
GM,shimastream,3025,1 - 0,IM,Ykow,2740
FM,JG-17,2602,0 - 1,GM,rasmussvane,2941
GM,iturrizaga,2978,1 - 0,FM,arminmusovic,2561
FM,PositionalPanther,2537,0 - 1,GM,Krakozia,2940
GM,sergoy,2956,1 - 0,FM,rdarruda,2490
CM,ExchangeAB,2469,0 - 1,GM,Grischuk,3058
GM,Angry_Twin,2977,0 - 1,FM,onnoelgersma,2510
CM,DrCeltic,2700,0 - 1,IM,Mykola-Bortnyk,3052
GM,kuli4ik,2916,1 - 0,FM,Zmiyevik2200,2644
CM,Russian_berezka,2623,0 - 1,GM,DanielNaroditsky,3049
GM,nihalsarin,3211,1 - 0,IM,johnathan113,2717
IM,albi1999,2658,0 - 1,GM,Jospem,3102
GM,FairChess_on_YouTube,3064,1 - 0,GM,jguerramzllo,2632
IM,TatjanaVasilevich,2642,0 - 1,GM,mishanick,3038
GM,Firouzja2003,3188,1 - 0,IM,wadsy27,2678
GM,Polish_fighter3000,3057,1 - 0,FM,Lion-Al-Messi,2628
FM,ArtemDyachuk,2673,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Msb2,3112,1 - 0,IM,FontVella8,2718
IM,Djager97,2508,0 - 1,GM,Baku_Boulevard,3136
GM,ChristopherYoo,3007,1 - 0,IM,StockFisher_HBK,2634
FM,LoydBlankenship,2589,0 - 1,GM,GM_dmitrij,3002
GM,SpeedofLight0,3111,1 - 0,FM,Skatchkov_V,2802
FM,MKlose11,2677,½ - ½,GM,BogdanDeac,3106
GM,GMBenjaminBok,3076,1 - 0,FM,Ramosha,2727
FM,Arteler,2420,0 - 1,GM,shimastream,3025
GM,rasmussvane,2941,1 - 0,FM,FrancescoLS,2657
CM,filipluczak05,2669,0 - 1,GM,iturrizaga,2978
GM,Krakozia,2940,1 - 0,IM,ellatambien,2693
GM,Mikhail_Golubev,2598,½ - ½,GM,sergoy,2956
GM,Grischuk,3058,1 - 0,IM,aa175,2943
IM,Mykola-Bortnyk,3052,½ - ½,FM,hakanazeri2,2728
IM,Schekachikhin_Maksim,2630,0 - 1,GM,kuli4ik,2916
GM,h4parah5,2946,1 - 0,FM,Szczor,2589
FM,Dacean99,2590,0 - 1,GM,TigrVShlyape,2866
GM,DanielNaroditsky,3049,½ - ½,GM,Binary010,2901
IM,Arystanner,2892,0 - 1,GM,nihalsarin,3211
GM,Jospem,3102,1 - 0,GM,Kiborg95,2839
FM,Dhaydon19,2708,0 - 1,GM,FairChess_on_YouTube,3064
GM,mishanick,3038,1 - 0,FM,IlanSchnaider,2862
IM,mbojan,2948,1 - 0,GM,Firouzja2003,3188
GM,Grandmaster1369,2683,0 - 1,GM,Polish_fighter3000,3057
GM,Oleksandr_Bortnyk,3111,1 - 0,FM,marcodobrikov,2716
IM,Korchmar_Vasiliy,2711,1 - 0,GM,Msb2,3112
GM,Baku_Boulevard,3136,1 - 0,IM,MMSANCHEZ,2704
GM,cassoulet,2835,0 - 1,GM,ChristopherYoo,3007
GM,GM_dmitrij,3002,1 - 0,GM,Rodalquilar,2778
GM,tjallkompall,2852,½ - ½,GM,SpeedofLight0,3111
IM,GothamChess,2835,0 - 1,GM,GMBenjaminBok,3076
GM,shimastream,3025,½ - ½,FM,Ali_rastbod,2730
IM,josiwales,Unrated,0 - 1,GM,rasmussvane,2941
GM,iturrizaga,2978,1 - 0,GM,TheBigBoss04,2746
IM,ameetghasi100,2721,0 - 1,GM,Krakozia,2940
FM,WDCH,2729,0 - 1,GM,Grischuk,3058
GM,kuli4ik,2916,0 - 1,IM,lamomiajunior,2772
FM,Alex_Sahakyan2006,2698,1 - 0,GM,h4parah5,2946
GM,TigrVShlyape,2866,0 - 1,IM,Vahe_Danielyan,2713
GM,GMG,2743,½ - ½,GM,Fandorine,2924
GM,Hrant_ChessMood,2963,1 - 0,GM,Byniolus,2842
GM,Aygehovit1992,2723,0 - 1,GM,hansen,2969
GM,frederiksvane,3060,1 - 0,GM,nihalsarin,3211
FM,Gravity_Chess,2796,0 - 1,GM,Jospem,3102
GM,FairChess_on_YouTube,3064,1 - 0,GM,tptagain,2995
GM,sergiochess83,2983,0 - 1,GM,mishanick,3038
GM,Polish_fighter3000,3057,1 - 0,FM,rezamahdavi2008,3006
GM,Alexander_Donchenko,2903,1 - 0,GM,Oleksandr_Bortnyk,3111
GM,Baku_Boulevard,3136,1 - 0,GM,kleinebeer98,2901
GM,Cayse,2795,½ - ½,GM,ChristopherYoo,3007
GM,Dedic8,2930,1 - 0,GM,GM_dmitrij,3002
GM,GMBenjaminBok,3076,½ - ½,GM,Beca95,2990
GM,rasmussvane,2941,1 - 0,IM,mbojan,2948
IM,Korchmar_Vasiliy,2711,0 - 1,GM,iturrizaga,2978
IM,lamomiajunior,2772,½ - ½,GM,Krakozia,2940
GM,Grischuk,3058,1 - 0,FM,Alex_Sahakyan2006,2698
IM,Vahe_Danielyan,2713,0 - 1,GM,Hrant_ChessMood,2963
GM,hansen,2969,1 - 0,FM,TanitoluwaAps116,2863
FM,djano,2622,0 - 1,GM,Elsa167,2782
GM,ContrVersia,2838,1 - 0,FM,mac0504,2790
FM,FMJoseHerrera,2733,0 - 1,GM,DanielNaroditsky,3049
GM,SpeedofLight0,3111,1 - 0,GM,Binary010,2901
GM,BogdanDeac,3106,1 - 0,GM,tjallkompall,2852
GM,shimastream,3025,1 - 0,GM,GMG,2743
IM,Mykola-Bortnyk,3052,1 - 0,FM,Ali_rastbod,2730
GM,Fandorine,2924,1 - 0,FM,rychessmaster1,2839
FM,Bauman_Guy,2907,1 - 0,FM,hakanazeri2,2728
GM,Jospem,3102,1 - 0,GM,Grischuk,3058
GM,Hrant_ChessMood,2963,0 - 1,GM,FairChess_on_YouTube,3064
GM,mishanick,3038,1 - 0,GM,hansen,2969
GM,Elsa167,2782,½ - ½,GM,Polish_fighter3000,3057
GM,frederiksvane,3060,½ - ½,GM,Baku_Boulevard,3136
GM,ContrVersia,2838,0 - 1,GM,rasmussvane,2941
GM,iturrizaga,2978,1 - 0,GM,Dedic8,2930
GM,DanielNaroditsky,3049,1 - 0,GM,Alexander_Donchenko,2903
GM,ChristopherYoo,3007,0 - 1,IM,Mykola-Bortnyk,3052
GM,Fandorine,2924,1 - 0,GM,SpeedofLight0,3111
GM,Cayse,2795,0 - 1,GM,BogdanDeac,3106
FM,Bauman_Guy,2907,0 - 1,GM,GMBenjaminBok,3076
GM,Beca95,2990,1 - 0,GM,shimastream,3025
GM,Krakozia,2940,0 - 1,GM,Firouzja2003,3188
GM,nihalsarin,3211,1 - 0,IM,lamomiajunior,2772
GM,GHANDEEVAM2003,3044,1 - 0,IM,MMSANCHEZ,2704
GM,Oleksandr_Bortnyk,3111,0 - 1,GM,cassoulet,2835
IM,GothamChess,2835,0 - 1,GM,Msb2,3112
GM,GM_dmitrij,3002,0 - 1,IM,josiwales,Unrated
GM,sergoy,2956,0 - 1,GM,TheBigBoss04,2746
FM,Alex_Sahakyan2006,2698,1 - 0,GM,Angry_Twin,2977
GM,kuli4ik,2916,0 - 1,IM,ameetghasi100,2721
IM,Vahe_Danielyan,2713,0 - 1,GM,h4parah5,2946
FM,WDCH,2729,0 - 1,GM,Denis_Makhnyov,2969
GM,Harsha_Bharathakoti,2912,½ - ½,GM,Byniolus,2842
GM,mishanick,3038,0 - 1,GM,Jospem,3102
GM,FairChess_on_YouTube,3064,0 - 1,GM,iturrizaga,2978
GM,rasmussvane,2941,0 - 1,GM,DanielNaroditsky,3049
GM,Polish_fighter3000,3057,1 - 0,IM,Mykola-Bortnyk,3052
GM,Baku_Boulevard,3136,½ - ½,GM,Fandorine,2924
GM,BogdanDeac,3106,0 - 1,GM,Elsa167,2782
GM,GMBenjaminBok,3076,1 - 0,GM,frederiksvane,3060
GM,nihalsarin,3211,1 - 0,GM,Beca95,2990
GM,Firouzja2003,3188,1 - 0,GM,AsadliVugar,2886
GM,Dedic8,2930,1 - 0,GM,GHANDEEVAM2003,3044
GM,Msb2,3112,1 - 0,GM,kleinebeer98,2901
GM,Grischuk,3058,1 - 0,FM,Iball95,2814
GM,baki83,2889,0 - 1,GM,Hrant_ChessMood,2963
GM,h4parah5,2946,1 - 0,FM,urumirtsepmet1,2847
GM,hansen,2969,0 - 1,GM,HeartAblaze,2844
GM,Denis_Makhnyov,2969,1 - 0,GM,Grandmaster1369,2683
GM,cassoulet,2835,0 - 1,GM,Zhigalko_Sergei,2912
IM,josiwales,Unrated,1 - 0,GM,K_A_S_T_O_R,2838
GM,TheBigBoss04,2746,1 - 0,GM,ContrVersia,2838
FM,Alex_Sahakyan2006,2698,1 - 0,FM,temus_galaktionov,2853
IM,ameetghasi100,2721,0 - 1,FM,Gravity_Chess,2796
FM,GoltsevDmitry2000,2802,½ - ½,GM,tptagain,2995
GM,Alexander_Donchenko,2903,½ - ½,IM,FrankDux44,2622
FM,Roberz12,2506,½ - ½,FM,rezamahdavi2008,3006
GM,ChristopherYoo,3007,1 - 0,IM,Semetey,2525
GM,Jospem,3102,1 - 0,GM,iturrizaga,2978
GM,DanielNaroditsky,3049,½ - ½,GM,GMBenjaminBok,3076
GM,Polish_fighter3000,3057,0 - 1,GM,nihalsarin,3211
GM,Elsa167,2782,0 - 1,GM,FairChess_on_YouTube,3064
GM,h4parah5,2946,0 - 1,GM,mishanick,3038
GM,Denis_Makhnyov,2969,0 - 1,GM,Firouzja2003,3188
GM,Zhigalko_Sergei,2912,0 - 1,GM,Msb2,3112
FM,Gravity_Chess,2796,0 - 1,GM,Baku_Boulevard,3136
GM,Dedic8,2930,1 - 0,GM,rasmussvane,2941
GM,HeartAblaze,2844,1 - 0,GM,Grischuk,3058
GM,Fandorine,2924,0 - 1,IM,josiwales,Unrated
GM,Hrant_ChessMood,2963,1 - 0,FM,Alex_Sahakyan2006,2698
GM,TheBigBoss04,2746,0 - 1,GM,ChristopherYoo,3007
GM,Beca95,2990,1 - 0,GM,SpeedofLight0,3111
GM,dretch,2871,1 - 0,GM,BogdanDeac,3106
IM,Arystanner,2892,0 - 1,GM,shimastream,3025
GM,GMKrikor,2857,1 - 0,GM,Krakozia,2940
IM,Mykola-Bortnyk,3052,0 - 1,FM,ozates,2635
GM,frederiksvane,3060,1 - 0,FM,FMJoseHerrera,2733
GM,tptagain,2995,1 - 0,IM,Korchmar_Vasiliy,2711
FM,GoltsevDmitry2000,2802,0 - 1,GM,Alexander_Donchenko,2903
FM,rezamahdavi2008,3006,1 - 0,IM,FrankDux44,2622
FM,THE_PLAYER6,2554,0 - 1,GM,Cayse,2795
FM,Bauman_Guy,2907,1 - 0,FM,Roberz12,2506
GM,GHANDEEVAM2003,3044,1 - 0,IM,ameetghasi100,2721
GM,Jospem,3102,½ - ½,GM,DanielNaroditsky,3049
GM,nihalsarin,3211,1 - 0,GM,GMBenjaminBok,3076
GM,FairChess_on_YouTube,3064,0 - 1,GM,Baku_Boulevard,3136
GM,mishanick,3038,0 - 1,GM,Hrant_ChessMood,2963
GM,Firouzja2003,3188,1 - 0,GM,Dedic8,2930
GM,Msb2,3112,1 - 0,GM,HeartAblaze,2844
GM,iturrizaga,2978,1 - 0,IM,josiwales,Unrated
GM,Cayse,2795,½ - ½,GM,Polish_fighter3000,3057
GM,ChristopherYoo,3007,1 - 0,FM,rezamahdavi2008,3006
GM,shimastream,3025,1 - 0,FM,Bauman_Guy,2907
GM,Beca95,2990,½ - ½,GM,Elsa167,2782
GM,dretch,2871,0 - 1,GM,frederiksvane,3060
GM,tptagain,2995,1 - 0,GM,GMKrikor,2857
FM,ozates,2635,1 - 0,GM,Alexander_Donchenko,2903
GM,AsadliVugar,2886,0 - 1,GM,GHANDEEVAM2003,3044
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,kleinebeer98,2901
GM,GM_dmitrij,3002,0 - 1,FM,Iball95,2814
GM,Binary010,2901,0 - 1,GM,rasmussvane,2941
GM,Grischuk,3058,1 - 0,GM,baki83,2889
FM,German_Bazeev,2902,0 - 1,GM,h4parah5,2946
FM,urumirtsepmet1,2847,1 - 0,GM,Fandorine,2924
GM,vladislavkovalev,2875,0 - 1,GM,Denis_Makhnyov,2969
GM,Harsha_Bharathakoti,2912,1 - 0,IM,GothamChess,2835
GM,Grandmaster1369,2683,0 - 1,GM,Zhigalko_Sergei,2912
FM,Alex_Sahakyan2006,2698,1 - 0,GM,jcibarra,2970
GM,nihalsarin,3211,½ - ½,GM,Jospem,3102
GM,Msb2,3112,1 - 0,GM,Firouzja2003,3188
GM,Baku_Boulevard,3136,1 - 0,GM,Hrant_ChessMood,2963
GM,DanielNaroditsky,3049,0 - 1,GM,iturrizaga,2978
GM,frederiksvane,3060,½ - ½,GM,ChristopherYoo,3007
FM,ozates,2635,0 - 1,GM,shimastream,3025
GM,mishanick,3038,1 - 0,GM,tptagain,2995
GM,Dedic8,2930,0 - 1,GM,FairChess_on_YouTube,3064
GM,Polish_fighter3000,3057,1 - 0,GM,Beca95,2990
GM,GHANDEEVAM2003,3044,0 - 1,GM,Cayse,2795
FM,Iball95,2814,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,GMBenjaminBok,3076,1 - 0,FM,urumirtsepmet1,2847
GM,rasmussvane,2941,1 - 0,GM,HeartAblaze,2844
FM,IlanSchnaider,2862,0 - 1,GM,Grischuk,3058
IM,josiwales,Unrated,0 - 1,GM,h4parah5,2946
GM,Elsa167,2782,0 - 1,FM,Alex_Sahakyan2006,2698
GM,Denis_Makhnyov,2969,0 - 1,GM,Rodalquilar,2778
FM,greekplayer1,2737,1 - 0,GM,Harsha_Bharathakoti,2912
GM,Zhigalko_Sergei,2912,1 - 0,IM,lamomiajunior,2772
GM,cassoulet,2835,0 - 1,GM,BogdanDeac,3106
GM,Krakozia,2940,0 - 1,IM,Korchmar_Vasiliy,2711
GM,sergoy,2956,1 - 0,FM,Ali_rastbod,2730
GM,K_A_S_T_O_R,2838,0 - 1,FM,THE_PLAYER6,2554
FM,rezamahdavi2008,3006,0 - 1,FM,NFChess13,2609
FM,Bauman_Guy,2907,½ - ½,CM,filipluczak05,2669
GM,Jospem,3102,1 - 0,GM,Baku_Boulevard,3136
GM,iturrizaga,2978,1 - 0,GM,Msb2,3112
GM,shimastream,3025,0 - 1,GM,nihalsarin,3211
GM,FairChess_on_YouTube,3064,1 - 0,GM,Grischuk,3058
GM,rasmussvane,2941,½ - ½,GM,mishanick,3038
GM,h4parah5,2946,1 - 0,GM,Firouzja2003,3188
GM,frederiksvane,3060,0 - 1,GM,Polish_fighter3000,3057
GM,Oleksandr_Bortnyk,3111,0 - 1,GM,Zhigalko_Sergei,2912
GM,ChristopherYoo,3007,1 - 0,FM,Alex_Sahakyan2006,2698
GM,Cayse,2795,1 - 0,GM,GMBenjaminBok,3076
GM,Hrant_ChessMood,2963,1 - 0,FM,greekplayer1,2737
GM,Rodalquilar,2778,0 - 1,GM,DanielNaroditsky,3049
GM,GMKrikor,2857,0 - 1,GM,BogdanDeac,3106
GM,sergoy,2956,1 - 0,FM,ozates,2635
GM,tptagain,2995,1 - 0,FM,THE_PLAYER6,2554
FM,NFChess13,2609,1 - 0,GM,dretch,2871
IM,Korchmar_Vasiliy,2711,0 - 1,GM,Fandorine,2924
GM,HeartAblaze,2844,0 - 1,GM,Elsa167,2782
FM,IlanSchnaider,2862,1 - 0,GM,Denis_Makhnyov,2969
IM,lamomiajunior,2772,½ - ½,GM,hansen,2969
IM,JoakimVonAnd,2744,0 - 1,GM,Dedic8,2930
FM,bettercallcafu,2662,0 - 1,GM,ContrVersia,2838
FM,Lion-Al-Messi,2628,0 - 1,FM,temus_galaktionov,2853
GM,Beca95,2990,1 - 0,CM,filipluczak05,2669
IM,StockFisher_HBK,2634,½ - ½,FM,Bauman_Guy,2907
GM,FairChess_on_YouTube,3064,0 - 1,GM,Jospem,3102
GM,nihalsarin,3211,0 - 1,GM,iturrizaga,2978
GM,Polish_fighter3000,3057,0 - 1,GM,h4parah5,2946
GM,Zhigalko_Sergei,2912,1 - 0,GM,Baku_Boulevard,3136
GM,Msb2,3112,1 - 0,GM,Hrant_ChessMood,2963
GM,DanielNaroditsky,3049,1 - 0,GM,ChristopherYoo,3007
GM,mishanick,3038,1 - 0,GM,Cayse,2795
GM,tptagain,2995,1 - 0,GM,rasmussvane,2941
GM,BogdanDeac,3106,1 - 0,GM,sergoy,2956
FM,NFChess13,2609,1 - 0,GM,shimastream,3025
GM,Firouzja2003,3188,½ - ½,GM,Beca95,2990
GM,Binary010,2901,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Grischuk,3058,1 - 0,GM,alexrustemov,2899
FM,Iball95,2814,1 - 0,GM,Fandorine,2924
GM,Elsa167,2782,0 - 1,FM,IlanSchnaider,2862
FM,Alex_Sahakyan2006,2698,0 - 1,GM,frederiksvane,3060
GM,Dedic8,2930,0 - 1,GM,Rodalquilar,2778
FM,greekplayer1,2737,0 - 1,GM,ContrVersia,2838
FM,MalyDominator,2547,0 - 1,FM,temus_galaktionov,2853
FM,THE_PLAYER6,2554,0 - 1,GM,Krakozia,2940
GM,hansen,2969,0 - 1,IM,StockFisher_HBK,2634
GM,Aygehovit1992,2723,0 - 1,GM,GMKrikor,2857
