white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,MagnusCarlsen,3313,1 - 0,FM,simplerXiao,2488
FM,Lion_DL,2464,0 - 1,GM,Hikaru,3276
GM,DanielNaroditsky,3049,1 - 0,NM,victormago,2492
IM,Herman-NY,2655,0 - 1,GM,dropstoneDP,3016
GM,Firouzja2003,3188,0 - 1,FM,divudis17,2568
WFM,Lady_Nika,2540,0 - 1,GM,FairChess_on_YouTube,3064
GM,Njal28,3041,1 - 0,NM,brm72,2673
FM,DvaHrasta,2498,1 - 0,GM,Polish_fighter3000,3057
GM,mishanick,3038,1 - 0,FM,JM2005GM,2491
NM,ChadBiryani,2459,0 - 1,IM,0gZPanda,3103
GM,SpeedofLight0,3111,1 - 0,IM,Ykow,2740
FM,RonArtest77,2490,0 - 1,GM,VincentKeymer,3127
GM,Oleksandr_Bortnyk,3111,1 - 0,CM,Practical-Play,2557
GM,Cipy77,2608,0 - 1,GM,iturrizaga,2978
GM,ChristopherYoo,3007,1 - 0,FM,Giorno,2479
CM,dodoucb,2478,0 - 1,GM,Jospem,3102
GM,BillieKimbah,2938,1 - 0,FM,Eloist,2463
FM,czasnaszachy,2460,0 - 1,IM,Mykola-Bortnyk,3052
GM,rasmussvane,2941,1 - 0,FM,kacprekt,2539
FM,arminmusovic,2561,0 - 1,GM,Sanan_Sjugirov,2931
GM,OparinGrigoriy,3086,1 - 0,CM,maksimys18,2505
FM,Fleetw00dMac,2540,½ - ½,GM,GMBenjaminBok,3076
GM,h4parah5,2946,1 - 0,FM,WPWPWP-2015,2596
FM,scandalgod,2672,1 - 0,GM,sergoy,2956
GM,vugarrasulov,2933,1 - 0,IM,imdvb6307,2540
FM,djano,2622,0 - 1,GM,MagnusCarlsen,3313
GM,Hikaru,3276,1 - 0,IM,Babbelbox,2710
IM,korason34,2639,½ - ½,GM,DanielNaroditsky,3049
GM,dropstoneDP,3016,1 - 0,IM,HamedWafa4,2759
GM,FairChess_on_YouTube,3064,1 - 0,FM,lefonghua,2478
IM,wadsy27,2678,0 - 1,GM,Njal28,3041
IM,Berardino,2657,0 - 1,GM,mishanick,3038
IM,0gZPanda,3103,1 - 0,IM,Alex_Banzea,2724
FM,biostatistician,2568,0 - 1,GM,SpeedofLight0,3111
GM,VincentKeymer,3127,1 - 0,CM,jaskol95,2638
GM,Ermito2020,2607,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,iturrizaga,2978,0 - 1,IM,RichardLeyvaP,2657
FM,Gameking51,2563,0 - 1,GM,ChristopherYoo,3007
GM,Jospem,3102,1 - 0,IM,jk13,2665
IM,karinachess1,2645,1 - 0,GM,BillieKimbah,2938
IM,Mykola-Bortnyk,3052,1 - 0,FM,sergeikim,2611
IM,Zavgorodniy_Sergiy,2589,0 - 1,GM,rasmussvane,2941
GM,Sanan_Sjugirov,2931,1 - 0,CM,ArmanGhevondyanchess,2597
IM,IgorBjelobrk,2635,0 - 1,GM,OparinGrigoriy,3086
NM,nOcHeaTiNgKiD,2596,0 - 1,GM,h4parah5,2946
FM,MKlose11,2677,1 - 0,GM,vugarrasulov,2933
