rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,ChristopherYoo,Tuvalu,3027,GM,10.0,65.0,9,2,0
2,FairChess_on_YouTube,Maldives,3127,GM,9.5,70.5,9,1,0
3,vugarrasulov,Azerbaijan,2990,GM,9.0,74.0,8,2,0
4,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,9.0,69.0,8,2,0
5,Vaathi_Coming,India,2950,GM,9.0,65.5,9,0,0
6,KuzubovYuriy,Ukraine,2962,GM,9.0,64.0,8,2,0
7,Durarbayli,Azerbaijan,2863,GM,9.0,61.0,9,0,0
8,Njal28,Armenia,2958,GM,9.0,59.0,9,0,0
9,Jospem,Mexico,3078,GM,8.5,75.5,8,1,0
10,GMBenjaminBok,Netherlands,3003,GM,8.5,73.5,8,1,0
11,BogdanDeac,Romania,3066,GM,8.5,68.5,8,1,0
12,mishanick,Serbia,3040,GM,8.5,67.5,8,1,0
13,jefferyx,United States,3122,GM,8.5,67.0,8,1,0
14,HansOnTwitch,United States,3161,GM,8.5,64.5,8,1,0
15,TenisMaster,United States,2906,GM,8.5,60.5,7,3,0
16,abhidabhi,India,2890,GM,8.5,59.0,8,1,0
17,Legendinunknown,India,2869,IM,8.5,58.5,8,1,0
18,Gareth-Bale11,Armenia,2958,GM,8.5,54.0,7,3,0
19,wonderfultime,Vietnam,3031,GM,8.0,79.5,7,2,0
20,Firouzja2003,France,3156,GM,8.0,76.0,6,4,0
21,GMG,United States,2700,GM,8.0,74.5,6,4,0
22,mitrabhaa,India,2966,GM,8.0,70.5,7,2,0
23,Individoom,Kazakhstan,2707,IM,8.0,68.5,7,2,0
24,Sam_ChessMood,Armenia,2919,GM,8.0,68.5,7,2,0
25,Nitzan_Steinberg,Israel,2850,GM,8.0,68.5,7,2,0
26,JSPrepz,Norway,2799,GM,8.0,67.0,7,2,0
27,vi_pranav,India,3158,GM,8.0,66.5,8,0,0
28,RandomNoob04,Germany,2818,FM,8.0,66.5,7,2,0
29,rasmussvane,Germany,3000,GM,8.0,65.0,8,0,0
30,Nemegejas,Lithuania,2913,GM,8.0,65.0,8,0,0
31,Byniolus,Poland,2772,GM,8.0,63.5,7,2,0
32,mbojan,Bosnia-Herzegovina,2912,IM,8.0,62.0,8,0,0
33,Hikaru,United States,3223,GM,8.0,61.5,7,2,0
34,Witik,Click here to see our stance on the war in Ukraine,2796,FM,8.0,61.0,8,0,0
35,lamomiajunior,Argentina,2704,IM,8.0,59.5,8,0,0
36,Abund,China,2694,NM,8.0,58.5,8,0,0
