rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,FairChess_on_YouTube,Maldives,3127,GM,9.0,79.0,7,4,0
2,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,9.0,78.0,7,4,0
3,FabianoCaruana,United States,3158,GM,9.0,77.5,8,2,0
4,MagnusCarlsen,Norway,3251,GM,9.0,74.5,8,2,0
5,BillieKimbah,Click here to see our stance on the war in Ukraine,2938,GM,9.0,74.5,8,2,0
6,Bigfish1995,Slovenia,3093,GM,9.0,74.5,8,2,0
7,Jospem,Mexico,3078,GM,9.0,73.5,8,2,0
8,snowlord,International,2928,FM,9.0,72.0,7,4,0
9,LevonAronian,United States,3022,GM,9.0,70.5,8,2,0
10,mishanick,Serbia,3040,GM,9.0,68.5,9,0,0
11,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,9.0,68.0,8,2,0
12,MetiForce,Iran,2908,IM,9.0,55.5,9,0,0
13,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,8.5,74.5,8,1,0
14,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,8.5,72.5,7,3,0
15,ContrVersia,Lithuania,2909,GM,8.5,71.0,8,1,0
16,Sanan_Sjugirov,Hungary,3025,GM,8.5,69.5,7,3,0
17,evgchess5,Click here to see our stance on the war in Ukraine,2885,GM,8.5,62.0,8,1,0
18,Firouzja2003,France,3156,GM,8.0,76.5,7,2,0
19,Eduard_Limonov,Click here to see our stance on the war in Ukraine,2947,IM,8.0,71.5,8,0,0
20,PeshkaCh,Ukraine,2860,FM,8.0,68.5,7,2,0
21,Mops_2004,Ukraine,2832,IM,8.0,67.5,8,0,0
22,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.0,67.0,8,0,0
23,tdf98pantani,Poland,2752,GM,8.0,67.0,8,0,0
24,Bauman_Guy,International,2977,FM,8.0,64.5,8,0,0
25,Beca95,Serbia,2905,GM,8.0,64.5,8,0,0
26,psychokiller48,Türkiye,2709,CM,8.0,64.0,7,2,0
27,stollenmonster,Click here to see our stance on the war in Ukraine,2897,CM,8.0,64.0,6,4,0
28,jcibarra,Spain,3034,GM,8.0,61.5,7,2,0
29,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,8.0,61.0,8,0,0
30,TanitoluwaAps116,United States,2662,FM,8.0,61.0,8,0,0
31,artin10862,Iran,2943,FM,8.0,61.0,8,0,0
32,chessdjw,Germany,2764,GM,8.0,59.0,8,0,0
33,Shiirav,Mongolia,2618,GM,8.0,58.0,8,0,0
34,alexrustemov,Click here to see our stance on the war in Ukraine,2939,GM,8.0,56.5,6,4,0
35,Hatsummei,Click here to see our stance on the war in Ukraine,2959,IM,8.0,56.0,8,0,0
36,DeTimmerman,Netherlands,2729,IM,8.0,56.0,7,2,0
37,monomita,India,2802,IM,8.0,55.5,8,0,0
38,GHANDEEVAM2003,India,3046,GM,7.5,74.0,7,1,0
39,adotand,India,2993,GM,7.5,71.0,7,1,0
40,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,7.5,70.5,7,1,0
41,mitrabhaa,India,2966,GM,7.5,69.0,7,1,0
42,kuli4ik,Click here to see our stance on the war in Ukraine,2914,GM,7.5,68.5,7,1,0
43,Byniolus,Poland,2772,GM,7.5,67.0,7,1,0
44,scarabee43,France,2915,IM,7.5,66.5,7,1,0
45,Bad_left_hook,Fiji,2703,IM,7.5,66.0,7,1,0
46,Sychev_on_YouTube,Peru,2817,GM,7.5,64.5,7,1,0
47,Shield12,Uzbekistan,2972,GM,7.5,64.0,7,1,0
48,Igor_Lysyj,International,2853,GM,7.5,62.0,7,1,0
49,Anton_Demchenko,Slovenia,3021,GM,7.5,61.0,7,1,0
50,wqws,India,2883,CM,7.5,60.5,7,1,0
51,ChessicallyInclined,United States,2706,FM,7.5,60.5,7,1,0
52,Aslanov_Umid,Azerbaijan,2682,CM,7.5,60.0,7,1,0
53,Aygehovit1992,International,2742,GM,7.5,58.5,6,3,0
54,KarolKacprzak,Poland,2781,FM,7.5,56.0,7,1,0
55,Sokoloco,Kazakhstan,2715,IM,7.0,71.5,6,2,0
56,Alex_Sahakyan2006,Armenia,2742,FM,7.0,71.0,7,0,0
57,Fantastic_Power,Click here to see our stance on the war in Ukraine,2664,FM,7.0,71.0,6,2,0
58,brunoo2003,Antigua/Barbuda,2579,FM,7.0,68.5,7,0,0
59,Rutricks,Spain,2692,IM,7.0,66.5,7,0,0
60,Russian_berezka,Click here to see our stance on the war in Ukraine,2606,CM,7.0,66.5,7,0,0
61,GMAkobianSTL,United States,2802,GM,7.0,66.5,7,0,0
62,Aradhya2000,India,2798,IM,7.0,65.5,6,2,0
63,AradNazari,Iran,2773,IM,7.0,65.5,7,0,0
64,Adar_07,Türkiye,2729,IM,7.0,64.5,7,0,0
65,VerdeNotte,United Kingdom,2873,GM,7.0,63.5,7,0,0
66,Fusikk,Poland,2746,IM,7.0,63.5,6,2,0
67,wonderfultime,Vietnam,3031,GM,7.0,63.5,6,2,0
68,TregubovP,France,2675,GM,7.0,63.5,5,4,0
69,TigrVShlyape,United States,2902,GM,7.0,62.0,6,2,0
70,Prizant_academy,Click here to see our stance on the war in Ukraine,3183,FM,7.0,62.0,6,2,0
71,meoluoi91,Vietnam,2561,WGM,7.0,60.5,7,0,0
72,Zhigalko_Sergei,International,2948,GM,7.0,59.5,6,2,0
73,BeanScreen,United States,2672,FM,7.0,59.5,7,0,0
74,Zavgorodniy_Sergiy,Ukraine,2560,IM,7.0,59.0,7,0,0
75,Tolyanius,International,2589,CM,7.0,59.0,7,0,0
76,Vuk2000,Serbia,2812,IM,7.0,59.0,7,0,0
77,Forge13,Click here to see our stance on the war in Ukraine,2694,FM,7.0,58.5,6,2,0
78,RandomNoob04,Germany,2818,FM,7.0,57.0,6,2,0
79,Rurep26,Indonesia,2661,FM,7.0,56.0,7,0,0
80,Frogo47,Austria,2657,IM,7.0,56.0,5,4,0
81,Witik,Click here to see our stance on the war in Ukraine,2796,FM,7.0,56.0,7,0,0
82,ftorodent,Click here to see our stance on the war in Ukraine,2647,GM,7.0,55.5,7,0,0
83,KATPAH,Slovenia,2744,FM,7.0,54.5,6,2,0
84,Let_it_be_1,Click here to see our stance on the war in Ukraine,2655,IM,7.0,54.0,6,2,0
85,kecalk,Czech Republic,2549,FM,7.0,52.0,7,0,0
86,Vsevolod_Ovchinnikov,Click here to see our stance on the war in Ukraine,2574,FM,7.0,51.5,7,0,0
87,Fh2411,Vietnam,2624,IM,7.0,51.0,7,0,0
88,Aevengho,Georgia,2576,FM,7.0,50.5,7,0,0
89,Patzel09,Germany,2820,IM,7.0,50.5,6,2,0
90,GMKrikor,Brazil,2878,GM,7.0,49.5,7,0,0
91,Fandorin779,Click here to see our stance on the war in Ukraine,2511,FM,7.0,49.5,7,0,0
92,Kildepiotr,Poland,2694,IM,7.0,49.0,7,0,0
93,szachuspl,Poland,2693,NM,7.0,49.0,7,0,0
94,vovachesss,International,2763,CM,6.5,68.0,6,1,0
95,djano,Poland,2622,FM,6.5,65.0,6,1,0
96,MaestroCheck,Madagascar,2669,NM,6.5,64.5,6,1,0
97,FGHSMN,India,2868,GM,6.5,64.0,6,1,0
98,Ranindu2003,Sri Lanka,2763,IM,6.5,63.0,6,1,0
99,Arek_pacitan,Palestine,2729,FM,6.5,62.0,6,1,0
100,ATM622,Malta,2531,CM,6.5,61.0,6,1,0
101,CSB7,Hungary,2803,IM,6.5,60.0,6,1,0
102,banane_verte,France,2514,FM,6.5,59.5,5,3,0
103,FMVolodymyrSakun,Ukraine,2639,FM,6.5,58.5,6,1,0
104,viktorskliarov,Ukraine,2668,IM,6.5,58.0,6,1,0
105,SirMittensofMittensville,Israel,2677,IM,6.5,57.5,6,1,0
106,seramoral,Spain,2670,FM,6.5,57.5,6,1,0
107,Timerkhanov,Click here to see our stance on the war in Ukraine,2616,FM,6.5,57.5,6,1,0
108,Speshka,Click here to see our stance on the war in Ukraine,2547,WFM,6.5,57.0,6,1,0
109,jumpingknight20,India,2835,IM,6.5,56.5,6,1,0
110,Rashad_Zeynalli,Palestine,2723,FM,6.5,55.5,5,3,0
111,Taktikmonster,Germany,2624,FM,6.5,54.5,6,1,0
112,ValentunHulka,Ukraine,2906,FM,6.5,54.5,6,1,0
113,kikoveiga,Portugal,2663,IM,6.5,54.0,6,1,0
114,HATilay,Azerbaijan,2597,FM,6.5,53.5,6,1,0
115,lefonghua,Canada,2478,FM,6.5,51.0,6,1,0
116,Thjop,Germany,2653,IM,6.5,49.0,6,1,0
117,SAInt_666,Click here to see our stance on the war in Ukraine,2744,FM,6.5,49.0,6,1,0
118,averageFM,Hungary,2583,FM,6.5,47.0,6,1,0
119,krzyzan94,Poland,2851,GM,6.0,69.0,5,2,0
120,lamomiajunior,Argentina,2704,IM,6.0,67.5,6,0,0
121,Mmukka,Lithuania,2487,FM,6.0,67.0,6,0,0
122,Defend1r,Canada,2703,FM,6.0,66.5,6,0,0
123,Casper,China,2429,FM,6.0,61.5,6,0,0
124,bazar-wokzal,International,2582,IM,6.0,61.0,6,0,0
