rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,DenLaz,Click here to see our stance on the war in Ukraine,3161,GM,9.5,81.5,8,3,0
2,Javokhir_Sindarov05,Uzbekistan,3169,GM,9.5,77.5,8,3,0
3,Msb2,Germany,3036,GM,9.5,70.5,9,1,0
4,mishanick,Serbia,3109,GM,9.0,80.0,8,2,0
5,Hikaru,United States,3324,GM,9.0,76.5,8,2,0
6,AnishOnYoutube,Netherlands,3072,GM,9.0,71.5,7,4,0
7,Zkid,United States,2925,GM,9.0,67.5,9,0,0
8,wonderfultime,Vietnam,3063,GM,9.0,66.5,9,0,0
9,Oleksandr_Bortnyk,United States,3058,GM,9.0,65.0,9,0,0
10,DonkyDonkyDonkey,Türkiye,2964,IM,9.0,64.0,9,0,0
11,tptagain,Spain,3003,GM,8.5,74.0,8,1,0
12,xiaotong2008,China,3034,GM,8.5,72.5,8,1,0
13,Murad_Ibrahimli,Azerbaijan,3002,IM,8.5,71.5,8,1,0
14,Sanan_Sjugirov,Hungary,2994,GM,8.5,66.0,8,1,0
15,aa175,Canada,2853,IM,8.5,65.5,8,1,0
16,rasmussvane,Germany,2986,GM,8.5,65.0,8,1,0
17,puz2010,South Korea,2723,FM,8.5,55.0,8,1,0
18,FairChess_on_YouTube,Maldives,3130,GM,8.0,76.5,6,4,0
19,Jospem,Mexico,3080,GM,8.0,73.5,7,2,0
20,DanielNaroditsky,United States,3083,GM,8.0,73.5,8,0,0
21,BogdanDeac,Romania,3033,GM,8.0,73.0,6,4,0
22,ValentunHulka,Ukraine,2905,FM,8.0,72.0,8,0,0
23,Fy_Rakotomaharo,Madagascar,2785,IM,8.0,70.5,7,2,0
24,Zhigalko_Sergei,International,2974,GM,8.0,70.5,8,0,0
25,rpragchess,India,3181,GM,8.0,70.0,8,0,0
26,TigrVShlyape,United States,2868,GM,8.0,69.5,7,2,0
27,Legendinunknown,India,2778,IM,8.0,68.0,7,2,0
28,alexrustemov,Click here to see our stance on the war in Ukraine,2879,GM,8.0,67.0,7,2,0
29,Artem_0degov,Click here to see our stance on the war in Ukraine,2811,FM,8.0,65.0,8,0,0
30,ilqar_74,Azerbaijan,2842,FM,8.0,64.5,8,0,0
31,Szparu,Poland,2831,IM,8.0,61.0,8,0,0
32,RantomOpening,Norway,2653,CM,8.0,56.0,6,4,0
33,Sanyura,Poland,2748,WGM,8.0,55.0,8,0,0
