rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,kpio91,Poland,2844,GM,10.0,77.0,10,0,0
2,ChristopherYoo,Tuvalu,3027,GM,10.0,69.5,10,0,0
3,Hikaru,United States,3223,GM,9.5,78.0,8,3,0
4,h4parah5,Spain,2963,GM,9.5,70.0,8,3,0
5,LyonBeast,France,3131,GM,9.0,77.5,8,2,0
6,FabianoCaruana,United States,3158,GM,9.0,76.0,8,2,0
7,BillieKimbah,Click here to see our stance on the war in Ukraine,2938,GM,9.0,75.0,8,2,0
8,yosephtaher,Indonesia,2863,IM,9.0,70.0,9,0,0
9,xamax2000,Netherlands,2937,GM,9.0,69.5,9,0,0
10,Sina_Movahed,Iran,3044,IM,9.0,69.0,9,0,0
11,mitrabhaa,India,2966,GM,9.0,68.5,9,0,0
12,lilleper1,Denmark,2948,GM,9.0,67.5,8,2,0
13,platy3,Spain,2921,GM,9.0,59.0,9,0,0
14,GHANDEEVAM2003,India,3046,GM,8.5,77.5,8,1,0
15,Denis_Makhnyov,Kazakhstan,2980,GM,8.5,74.0,8,1,0
16,Jospem,Mexico,3078,GM,8.5,72.0,7,3,0
17,GMBenjaminBok,Netherlands,3003,GM,8.5,70.5,8,1,0
18,lachesisQ,Click here to see our stance on the war in Ukraine,3161,GM,8.5,69.5,8,1,0
19,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.5,66.5,8,1,0
20,tptagain,Spain,3031,GM,8.5,65.5,7,3,0
21,Zhigalko_Sergei,International,2948,GM,8.5,64.0,7,3,0
22,adotand,India,2993,GM,8.5,63.0,8,1,0
23,Philippians46,Solomon Islands,2889,IM,8.5,63.0,8,1,0
24,Juwen,China,2648,GM,8.5,58.5,7,3,0
25,nihalsarin,Chile,3226,GM,8.0,82.5,7,2,0
26,Polish_fighter3000,Poland,3057,GM,8.0,76.5,7,2,0
27,FGHSMN,India,2868,GM,8.0,73.5,8,0,0
28,wonderfultime,Vietnam,3031,GM,8.0,71.5,7,2,0
29,vi_pranav,India,3158,GM,8.0,71.0,7,2,0
30,AnishOnYoutube,Netherlands,3095,GM,8.0,70.5,7,2,0
31,rasmussvane,Germany,3000,GM,8.0,70.0,7,2,0
32,Sam_ChessMood,Armenia,2919,GM,8.0,69.5,7,2,0
33,Fandorine,Spain,2899,GM,8.0,68.5,7,2,0
34,scarabee43,France,2915,IM,8.0,68.0,8,0,0
35,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.0,67.0,6,4,0
36,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,8.0,65.0,8,0,0
37,abhidabhi,India,2890,GM,8.0,64.5,7,2,0
38,Yaacovn,United States,2835,IM,8.0,64.5,7,2,0
39,Jumbo,Singapore,2892,GM,8.0,64.0,8,0,0
40,Abund,China,2694,NM,8.0,64.0,8,0,0
41,HansOnTwitch,United States,3161,GM,8.0,63.5,7,2,0
42,Salem-AR,United Arab Emirates,3091,GM,8.0,63.0,8,0,0
43,Eagle_2019,Kazakhstan,2903,FM,8.0,63.0,8,0,0
44,jcibarra,Spain,3034,GM,8.0,62.5,8,0,0
45,Akewjon,Uzbekistan,2800,IM,8.0,58.5,8,0,0
46,snowlord,International,2928,FM,8.0,57.5,8,0,0
47,Bauman_Guy,International,2977,FM,8.0,56.5,7,2,0
48,Gabrielian_Artur,Click here to see our stance on the war in Ukraine,2732,GM,8.0,55.5,8,0,0
49,Elsa167,Croatia,2782,GM,8.0,53.0,8,0,0
50,edgarhay012,Armenia,2678,FM,8.0,49.0,8,0,0
51,Zohid6,Türkiye,2955,IM,7.5,71.5,7,1,0
52,iwanyu,Spain,2845,GM,7.5,70.5,6,3,0
53,AlmasRakhmatullaev,China,2847,IM,7.5,69.0,6,3,0
54,Msb2,Germany,3132,GM,7.5,67.0,6,3,0
55,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,7.5,65.0,7,1,0
56,Drags95,Poland,2840,GM,7.5,64.5,7,1,0
57,Hovik_Hayrapetyan,Armenia,2889,GM,7.5,64.5,7,1,0
58,DonkyDonkyDonkey,Türkiye,2904,IM,7.5,64.5,7,1,0
59,Elegance_Riks,India,2731,GM,7.5,64.5,6,3,0
60,KuzubovYuriy,Ukraine,2962,GM,7.5,64.0,7,1,0
61,Mackster23,Netherlands,2680,FM,7.5,64.0,7,1,0
62,AlexeiShirov,Spain,2831,GM,7.5,63.5,7,1,0
63,vishwa_vijeta,India,2621,CM,7.5,63.0,7,1,0
64,jacky72,Romania,2843,IM,7.5,61.5,5,5,0
65,DarkAlekhine,Greece,2763,GM,7.5,60.5,7,1,0
66,FairChess_on_YouTube,Maldives,3127,GM,7.5,60.5,7,1,0
67,Alex_Sahakyan2006,Armenia,2742,FM,7.5,59.5,7,1,0
68,Vaathi_Coming,India,2950,GM,7.5,59.0,7,1,0
69,kingofthenil,France,2784,IM,7.5,58.5,7,1,0
70,AryanTari,Norway,2970,GM,7.5,58.5,7,1,0
71,FaustinoOro,Argentina,3000,FM,7.5,58.0,7,1,0
72,KaterynaLagno,Click here to see our stance on the war in Ukraine,2797,GM,7.5,57.5,7,1,0
73,BogdanDeac,Romania,3066,GM,7.5,57.5,7,1,0
74,maciek_92,Poland,2926,GM,7.5,54.0,7,1,0
75,The_Machine04,Germany,2882,IM,7.5,53.0,7,1,0
76,Sattarov_Bobur,Uzbekistan,2814,IM,7.0,73.0,6,2,0
77,DevikBronstein,India,2933,GM,7.0,70.0,7,0,0
78,Suleyman_Chess06,Azerbaijan,2771,FM,7.0,69.5,6,2,0
79,Genghis_K,Argentina,2928,GM,7.0,69.0,6,2,0
80,blitzking1729,India,2785,IM,7.0,68.0,6,2,0
81,Aslanov_Umid,Azerbaijan,2682,CM,7.0,65.0,7,0,0
82,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,7.0,64.5,6,2,0
83,Alen_Yeremyann,Armenia,2770,FM,7.0,64.5,7,0,0
84,RobertoJBM,Brazil,2871,IM,7.0,64.0,5,4,0
85,Ural_bogatyr,Click here to see our stance on the war in Ukraine,2547,IM,7.0,63.5,6,2,0
86,mbojan,Bosnia-Herzegovina,2912,IM,7.0,63.0,6,2,0
87,Anton_Demchenko,Slovenia,3021,GM,7.0,63.0,7,0,0
88,Statham,South Africa,2723,CM,7.0,62.5,7,0,0
89,Nuvas,Greece,2842,GM,7.0,62.0,7,0,0
90,PabloZarnicki,Argentina,2584,GM,7.0,61.5,6,2,0
91,BardArtem,International,2833,FM,7.0,61.5,6,2,0
92,alexrustemov,Click here to see our stance on the war in Ukraine,2931,GM,7.0,61.0,6,2,0
93,GianmarcoVaR,Peru,2866,IM,7.0,61.0,6,2,0
94,Thunderbolt135,International,2833,GM,7.0,61.0,7,0,0
95,jefferyx,United States,3122,GM,7.0,60.5,6,2,0
96,Makswolf200817,Click here to see our stance on the war in Ukraine,2685,FM,7.0,60.5,6,2,0
97,SnekkerAndersen,Norway,2599,FM,7.0,60.5,7,0,0
98,Adar_07,Türkiye,2729,IM,7.0,60.0,6,2,0
99,amanjazu,Kyrgyzstan,2595,CM,7.0,59.5,6,2,0
100,Mistango,Click here to see our stance on the war in Ukraine,2610,IM,7.0,59.5,6,2,0
101,starworld123,India,2911,GM,7.0,59.0,7,0,0
102,Boundless_Strike,Djibouti,2648,IM,7.0,58.0,7,0,0
103,Zurability,United States,2777,IM,7.0,58.0,7,0,0
104,RandomNoob04,Germany,2818,FM,7.0,57.5,7,0,0
105,ValentunHulka,Ukraine,2906,FM,7.0,57.5,6,2,0
106,Janosik,Slovakia,2841,GM,7.0,57.5,5,4,0
107,BirdMaster3000,Brazil,2639,GM,7.0,57.5,6,2,0
108,baki83,France,2916,GM,7.0,57.0,7,0,0
109,carokannlover213,Poland,2780,FM,7.0,57.0,7,0,0
110,Som2310,Poland,2908,GM,7.0,56.5,6,2,0
111,CSB7,Hungary,2803,IM,7.0,56.5,6,2,0
112,CarlosjPineror,Venezuela,2726,IM,7.0,56.0,7,0,0
113,FM_VS99,United States,2632,FM,7.0,56.0,7,0,0
114,bazar-wokzal,International,2582,IM,7.0,56.0,7,0,0
115,CaspiIsrael,Switzerland,2672,GM,7.0,55.5,6,2,0
116,ansko1999,Norway,2622,CM,7.0,55.5,7,0,0
117,Aradhya2000,India,2798,IM,7.0,55.0,6,2,0
118,banhgiahuy2606,Vietnam,2604,FM,7.0,54.5,7,0,0
119,NovozhilovSemen,International,2629,FM,7.0,53.0,7,0,0
120,KetiTsatsalashvili,Georgia,2409,WGM,7.0,52.5,7,0,0
121,FormerProdigy,Czech Republic,2938,GM,7.0,52.0,6,2,0
122,Evgeny81,Israel,2754,GM,7.0,52.0,7,0,0
123,vovachesss,International,2763,CM,7.0,51.5,7,0,0
124,Yan_Dyomin2010,Ukraine,2800,CM,7.0,51.0,6,2,0
125,azikom,Azerbaijan,2716,GM,7.0,51.0,6,2,0
126,DonMicheleCorleone,Italy,2482,FM,7.0,45.5,7,0,0
127,GlavkonVVS,Click here to see our stance on the war in Ukraine,2609,FM,7.0,39.5,7,0,0
128,pavet,Argentina,2695,IM,6.5,75.0,6,1,0
129,TigrVShlyape,United States,2902,GM,6.5,68.5,4,5,0
130,Maitreia,Georgia,2747,IM,6.5,68.0,6,1,0
131,Payyappat,India,2425,FM,6.5,66.0,6,1,0
132,Szparu,Poland,2909,IM,6.5,64.5,5,3,0
133,DavidGavrilescu18,Romania,2810,GM,6.5,64.0,6,1,0
134,ValentinDragnev,Austria,2750,GM,6.5,63.0,5,3,0
135,Timerkhanov,Click here to see our stance on the war in Ukraine,2616,FM,6.5,63.0,6,1,0
136,Sanyura,Poland,2650,WGM,6.5,63.0,6,1,0
137,ulises2013,Spain,2803,IM,6.5,61.0,5,3,0
138,angelgab3,Colombia,2682,FM,6.5,60.0,6,1,0
139,LileKoridze,Georgia,2409,WFM,6.5,60.0,6,1,0
140,chess123456s,India,2614,FM,6.5,59.5,5,3,0
141,mjray79,England,2740,IM,6.5,59.0,6,1,0
142,PepeCuenca,Spain,2771,GM,6.5,59.0,6,1,0
143,deribas12345,Click here to see our stance on the war in Ukraine,2617,IM,6.5,58.0,6,1,0
144,TregubovP,France,2675,GM,6.5,57.5,6,1,0
145,ViralduS,Poland,2566,IM,6.5,57.5,6,1,0
146,AlexTruskavetsky,Click here to see our stance on the war in Ukraine,2724,IM,6.5,57.5,6,1,0
147,SaqoChess_Twitch,Armenia,2644,FM,6.5,57.5,6,1,0
148,Let_it_be_1,Click here to see our stance on the war in Ukraine,2655,IM,6.5,57.0,6,1,0
149,Huragan007,Poland,2641,FM,6.5,56.5,5,3,0
150,unclear15,India,2447,FM,6.5,56.5,6,1,0
151,Mikhail_Golubev,Ukraine,2761,GM,6.5,56.5,6,1,0
152,Goryachkina,Click here to see our stance on the war in Ukraine,2677,GM,6.5,56.0,4,5,0
153,toninhojit,Brazil,2518,NM,6.5,55.5,6,1,0
154,ama18,Iran,2652,WGM,6.5,55.0,6,1,0
155,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,6.5,54.5,6,1,0
156,SharapovEvgeny,Ukraine,2605,GM,6.5,54.0,5,3,0
157,Bodnar_Mykola,Ukraine,2609,IM,6.5,53.5,6,1,0
158,Agibileg,Mongolia,2712,IM,6.5,53.5,6,1,0
159,SHIVACalypso,Pakistan,2507,FM,6.5,50.5,6,1,0
160,Leonid_Starozhilov,Ukraine,2743,FM,6.5,50.0,6,1,0
161,Baby_Legs,Germany,2648,GM,6.5,50.0,6,1,0
162,IriBu,Romania,2610,WGM,6.5,50.0,6,1,0
163,Lady_Nika,Click here to see our stance on the war in Ukraine,2535,WCM,6.5,49.5,6,1,0
164,Sadykov_Ramil,Click here to see our stance on the war in Ukraine,2602,FM,6.5,49.0,6,1,0
165,Arystanner,Kazakhstan,2851,IM,6.5,48.0,6,1,0
166,Flawless_Fighter,Click here to see our stance on the war in Ukraine,2701,IM,6.5,46.0,6,1,0
167,GothamChess,United States,2719,IM,6.5,45.5,6,1,0
168,VomDingJetztHer,Austria,2508,FM,6.5,45.0,5,3,0
169,Caroexpert,International,2553,IM,6.5,44.5,6,1,0
170,Yurovskykh_Oleksandr,Ukraine,2587,FM,6.0,73.0,5,2,0
171,wyharga,Spain,2580,GM,6.0,70.0,5,2,0
172,GelmanAlexander,Germany,2721,IM,6.0,67.0,6,0,0
173,manitodeplomo,Chile,2670,IM,6.0,67.0,5,2,0
174,FREDERICKtheMATE,Scotland,2723,FM,6.0,65.5,6,0,0
175,Kildepiotr,Poland,2694,IM,6.0,65.5,5,2,0
176,PavelShkapenko,International,2750,IM,6.0,65.0,5,2,0
177,MokshAD1603,India,2650,IM,6.0,64.5,5,2,0
178,Kotlyar_K,Click here to see our stance on the war in Ukraine,2653,FM,6.0,63.0,6,0,0
179,vladgoncharov,Click here to see our stance on the war in Ukraine,2597,NM,6.0,63.0,6,0,0
180,Orest_Vovk,Ukraine,2553,FM,6.0,62.5,5,2,0
181,Njal28,Armenia,2958,GM,6.0,61.5,5,2,0
182,Nikolakis2014,Greece,2760,GM,6.0,61.5,5,2,0
183,xberli,Mexico,2602,FM,6.0,61.5,5,2,0
184,Shushik,Italy,2545,WFM,6.0,60.0,5,2,0
185,M1711,Norway,2653,IM,6.0,59.5,5,2,0
