rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Hikaru,United States,3223,GM,9.5,77.5,8,3,0
2,GMWSO,United States,3101,GM,9.5,73.0,8,3,0
3,Bigfish1995,Slovenia,3093,GM,9.5,64.5,9,1,0
4,wonderfultime,Vietnam,3031,GM,9.0,77.0,8,2,0
5,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,9.0,75.5,8,2,0
6,LyonBeast,France,3131,GM,9.0,73.5,8,2,0
7,GHANDEEVAM2003,India,3046,GM,9.0,69.5,8,2,0
8,MITerryble,Peru,3005,IM,9.0,68.0,9,0,0
9,Elsa167,Croatia,2782,GM,9.0,64.5,9,0,0
10,Jospem,Mexico,3078,GM,8.5,73.0,7,3,0
11,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.5,71.0,8,1,0
12,SpeedofLight0,United States,3172,GM,8.5,70.5,7,3,0
13,Sanan_Sjugirov,Hungary,3025,GM,8.5,68.5,8,1,0
14,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,8.5,66.0,6,5,0
15,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,8.5,66.0,7,3,0
16,Sargsyan_Shant,Armenia,2970,GM,8.5,64.5,8,1,0
17,mishanick,Serbia,3040,GM,8.5,64.0,8,1,0
18,Janosik,Slovakia,2841,GM,8.5,63.5,7,3,0
19,Sina_Movahed,Iran,3044,IM,8.5,62.0,8,1,0
20,Sibelephant,Click here to see our stance on the war in Ukraine,3071,GM,8.0,76.0,6,4,0
21,BilodeauA,Austria,2912,GM,8.0,75.0,8,0,0
22,Oleksandr_Bortnyk,United States,3109,GM,8.0,74.0,7,2,0
23,sergoy,South Korea,2971,GM,8.0,73.0,7,2,0
24,DominguezOnYoutube,United States,2968,GM,8.0,71.0,8,0,0
25,FairChess_on_YouTube,Maldives,3127,GM,8.0,70.0,8,0,0
26,artooon,International,3050,GM,8.0,70.0,7,2,0
27,BogdanDeac,Romania,3066,GM,8.0,68.0,6,4,0
28,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.0,67.0,8,0,0
29,Njal28,Armenia,2958,GM,8.0,66.5,7,2,0
30,Grandelicious,Sweden,2930,GM,8.0,66.0,6,4,0
31,TigrVShlyape,United States,2902,GM,8.0,65.5,7,2,0
32,ViIIagra,Chile,2863,GM,8.0,65.0,8,0,0
33,jefferyx,United States,3122,GM,8.0,64.0,7,2,0
34,Zhigalko_Sergei,International,2948,GM,8.0,63.0,7,2,0
35,vladislavkovalev,International,2935,GM,8.0,61.5,6,4,0
36,nihalsarin,Chile,3226,GM,8.0,61.0,7,2,0
37,Byniolus,Poland,2772,GM,8.0,59.0,7,2,0
38,Vazabanga,Click here to see our stance on the war in Ukraine,2616,FM,8.0,58.0,8,0,0
39,Durarbayli,Azerbaijan,2863,GM,8.0,57.5,8,0,0
40,Sam_ChessMood,Armenia,2919,GM,8.0,57.0,8,0,0
41,Harry_Rakkel,Poland,2636,GM,8.0,55.5,8,0,0
42,stollenmonster,Click here to see our stance on the war in Ukraine,2897,CM,8.0,40.5,8,0,0
43,eljanov,Ukraine,2880,GM,7.5,75.5,7,1,0
44,platy3,Spain,2921,GM,7.5,72.0,7,1,0
45,tptagain,Spain,3031,GM,7.5,71.5,6,3,0
