rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,LyonBeast,France,3131,GM,9.5,74.5,8,3,0
2,iturrizaga,Spain,2978,GM,9.5,70.5,9,1,0
3,garcho08,Indonesia,2944,GM,9.5,70.0,8,3,0
4,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,9.0,71.0,8,2,0
5,MITerryble,Peru,3005,IM,9.0,68.5,9,0,0
6,Beca95,Serbia,2905,GM,9.0,66.0,8,2,0
7,Polish_fighter3000,Poland,3057,GM,9.0,63.5,9,0,0
8,GroovyKettle,Netherlands,2953,GM,9.0,63.0,9,0,0
9,GMWSO,United States,3101,GM,8.5,77.5,8,1,0
10,Cayse,Ukraine,2817,GM,8.5,74.5,8,1,0
11,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,8.5,74.5,8,1,0
12,emiliocordova,Peru,2871,GM,8.5,72.0,7,3,0
13,tptagain,Spain,3031,GM,8.5,71.5,8,1,0
14,Zubrrr,Serbia,2769,IM,8.5,71.5,8,1,0
15,Jospem,Mexico,3078,GM,8.5,71.0,8,1,0
16,AryanTari,Norway,2970,GM,8.5,69.5,8,1,0
17,Robert_Chessmood,Armenia,3005,GM,8.5,69.5,8,1,0
18,rasmussvane,Germany,3000,GM,8.5,65.5,7,3,0
19,ChessBrah,Canada,2956,GM,8.5,59.5,8,1,0
20,Chessmissile07,India,2905,IM,8.5,51.5,8,1,0
21,mishanick,Serbia,3040,GM,8.0,70.0,8,0,0
22,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.0,68.5,7,2,0
23,Harsha_Bharathakoti,India,2925,GM,8.0,68.0,8,0,0
24,vi_pranav,India,3158,GM,8.0,67.5,8,0,0
25,Fantastic_Power,Click here to see our stance on the war in Ukraine,2664,FM,8.0,65.0,8,0,0
26,FairChess_on_YouTube,Maldives,3127,GM,8.0,65.0,7,2,0
27,artin10862,Iran,2943,FM,8.0,65.0,8,0,0
28,kushagramohan,India,2848,IM,8.0,63.0,7,2,0
29,Andrei_Skvortsov,Montenegro,2838,CM,8.0,62.5,8,0,0
30,Azzaro25,The Gambia,3062,GM,8.0,61.5,7,2,0
31,frederiksvane,Germany,3032,GM,8.0,61.5,7,2,0
32,the_chess_child,India,2890,IM,8.0,60.5,8,0,0
33,MetiForce,Iran,2908,IM,8.0,60.0,8,0,0
34,PeshkaCh,Ukraine,2860,FM,8.0,58.5,8,0,0
35,Agibileg,Mongolia,2712,IM,8.0,52.0,8,0,0
36,Msb2,Germany,3132,GM,7.5,81.5,6,3,0
37,GMBenjaminBok,Netherlands,3003,GM,7.5,77.0,7,1,0
38,lamomiajunior,Argentina,2704,IM,7.5,66.0,7,1,0
39,ChessicallyInclined,United States,2706,FM,7.5,65.5,7,1,0
40,TorFredrikKaasen,Norway,2801,IM,7.5,65.0,7,1,0
41,jefferyx,United States,3122,GM,7.5,64.5,7,1,0
42,ChessQueen,International,2750,GM,7.5,63.0,7,1,0
43,Sychev_on_YouTube,Peru,2817,GM,7.5,62.5,7,1,0
44,Lestofante90,Italy,2890,GM,7.5,62.5,7,1,0
45,Vaathi_Coming,India,2950,GM,7.5,61.5,7,1,0
46,ELECTRODYNAMIC_DRACULA,Isle of Man,2903,FM,7.5,60.0,7,1,0
47,tandaleo,Slovenia,2605,FM,7.5,56.5,7,1,0
48,Attacker_2006,India,2536,FM,7.5,56.5,7,1,0
49,Zhigalko_Sergei,International,2948,GM,7.5,54.0,7,1,0
50,wqws,India,2883,CM,7.5,51.5,7,1,0
51,hitaman,Ukraine,2692,GM,7.5,50.5,7,1,0
52,FXDon77,China,2890,GM,7.5,46.5,7,1,0
53,NikaVolkov,Georgia,2791,CM,7.0,70.5,6,2,0
54,tsaruk_maks,International,2831,IM,7.0,68.0,7,0,0
55,Bauman_Guy,International,2977,FM,7.0,67.5,7,0,0
56,psychokiller48,Türkiye,2709,CM,7.0,66.5,7,0,0
57,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,7.0,66.5,7,0,0
58,TigrVShlyape,United States,2902,GM,7.0,65.5,6,2,0
59,Zohid6,Türkiye,2955,IM,7.0,62.5,6,2,0
60,Aygehovit1992,International,2742,GM,7.0,62.5,6,2,0
61,IlanSchnaider,Argentina,2803,FM,7.0,62.0,7,0,0
62,Vuk2000,Serbia,2812,IM,7.0,61.5,6,2,0
63,jcibarra,Spain,3034,GM,7.0,61.0,7,0,0
64,Byniolus,Poland,2772,GM,7.0,61.0,6,2,0
65,JaloliddinIlkhomi,Tajikistan,2680,FM,7.0,60.5,6,2,0
66,The_Machine04,Germany,2882,IM,7.0,59.5,6,2,0
67,Zavgorodniy_Sergiy,Ukraine,2560,IM,7.0,59.0,7,0,0
68,Partytime1126,Serbia,2507,FM,7.0,58.0,7,0,0
69,Ginger_GM,United Kingdom,2629,GM,7.0,58.0,7,0,0
70,Mikasinski,Serbia,2735,FM,7.0,57.5,7,0,0
71,GothamChess,United States,2719,IM,7.0,57.5,7,0,0
72,ATM622,Malta,2531,CM,7.0,57.0,7,0,0
73,vishwa_vijeta,India,2621,CM,7.0,56.5,7,0,0
74,mr_gustavo,Poland,2709,IM,7.0,55.5,7,0,0
75,KNVB,Canada,2706,GM,7.0,55.5,6,2,0
76,monomita,India,2802,IM,7.0,55.0,7,0,0
77,chessdragon7161,India,2583,FM,7.0,55.0,6,2,0
78,JoliyRoger,Click here to see our stance on the war in Ukraine,2543,FM,7.0,55.0,6,2,0
79,Casper,China,2429,FM,7.0,54.5,7,0,0
80,CarlosjPineror,Venezuela,2726,IM,7.0,54.5,7,0,0
81,Daffidollchess2,Mongolia,2882,IM,7.0,53.5,6,2,0
82,NMJeevanK,United States,2649,FM,7.0,52.5,7,0,0
83,Alexei_Gubajdullin,International,2650,FM,7.0,51.5,7,0,0
84,ljuks68,Ukraine,2457,FM,7.0,51.0,7,0,0
85,Goryachkina,Click here to see our stance on the war in Ukraine,2677,GM,7.0,51.0,6,2,0
86,Ginzburg_Yakov,Click here to see our stance on the war in Ukraine,2554,FM,7.0,50.0,6,2,0
87,Gareth-Bale11,Armenia,2958,GM,7.0,48.5,6,2,0
88,Mysterio47,India,2824,FM,6.5,70.5,5,3,0
89,CSB7,Hungary,2803,IM,6.5,65.0,5,3,0
90,ContrVersia,Lithuania,2909,GM,6.5,65.0,6,1,0
91,sokidze,Ukraine,2905,GM,6.5,63.0,6,1,0
92,amateurchess20,United States,2572,FM,6.5,62.5,6,1,0
93,Nils_03,Germany,2703,IM,6.5,61.5,6,1,0
94,wannabe2700,Finland,2619,IM,6.5,61.0,6,1,0
95,falzehope0,United States,2380,NM,6.5,60.5,6,1,0
96,Gabix_94,Hungary,2822,GM,6.5,60.0,6,1,0
97,ZugZwang1201,United States,2444,CM,6.5,59.0,5,3,0
98,AndreiITrifan,Germany,2638,FM,6.5,59.0,6,1,0
99,Yurovskykh_Oleksandr,Ukraine,2587,FM,6.5,57.5,6,1,0
100,LiamPutnam2008,United States,3020,FM,6.5,57.0,6,1,0
101,grzechu96,Poland,2763,GM,6.5,57.0,6,1,0
102,chessdjw,Germany,2764,GM,6.5,56.5,6,1,0
103,jaskol95,Uganda,2702,CM,6.5,56.5,6,1,0
104,Maikrosoft63,International,2583,FM,6.5,55.0,5,3,0
105,Eagle_2019,Kazakhstan,2903,FM,6.5,55.0,6,1,0
106,viktorskliarov,Ukraine,2668,IM,6.5,53.0,6,1,0
107,Chessmatus,Azerbaijan,2555,FM,6.5,52.5,6,1,0
108,Iskusnyh,Click here to see our stance on the war in Ukraine,2601,GM,6.5,52.0,6,1,0
109,SmirnovAlexandrA,Click here to see our stance on the war in Ukraine,2590,FM,6.5,51.0,6,1,0
110,Rosh1610,India,2601,FM,6.5,50.0,6,1,0
111,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,6.5,48.0,6,1,0
112,surrenderPLS,Click here to see our stance on the war in Ukraine,2537,CM,6.5,39.0,6,1,0
113,brm72,Ukraine,2704,NM,6.0,70.0,5,2,0
114,fahad,Bangladesh,2661,IM,6.0,64.0,5,2,0
115,GlavkonVVS,Click here to see our stance on the war in Ukraine,2609,FM,6.0,63.0,5,2,0
116,DeTimmerman,Netherlands,2729,IM,6.0,63.0,5,2,0
117,KogotBobra17,Click here to see our stance on the war in Ukraine,2702,CM,6.0,62.0,6,0,0
118,phantom19801127,Philippines,2474,NM,6.0,61.5,6,0,0
119,PDS7603,India,2347,IM,6.0,61.5,6,0,0
120,Rodalquilar,Argentina,2792,GM,6.0,61.0,6,0,0
121,MrMatesM,Czech Republic,2802,IM,6.0,59.0,6,0,0
122,hakanazeri2,Isle of Man,2641,FM,6.0,58.5,6,0,0
123,Witik,Click here to see our stance on the war in Ukraine,2796,FM,6.0,58.0,5,2,0
124,TomLiu777,Hong Kong,2446,IM,6.0,57.0,6,0,0
125,djokovic74,India,2804,CM,6.0,57.0,6,0,0
126,Flawless_Fighter,Click here to see our stance on the war in Ukraine,2701,IM,6.0,56.5,5,2,0
127,Khusenkhojaev,Tajikistan,2704,IM,6.0,56.5,6,0,0
