rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,LyonBeast,France,3131,GM,9.5,76.5,8,3,0
2,TigrVShlyape,United States,2902,GM,9.5,75.5,8,3,0
3,vi_pranav,India,3158,GM,9.5,70.5,9,1,0
4,OparinGrigoriy,United States,3019,GM,9.5,65.0,8,3,0
5,VerdeNotte,United Kingdom,2873,GM,9.0,74.0,9,0,0
6,Hikaru,United States,3223,GM,9.0,71.0,8,2,0
7,FairChess_on_YouTube,Maldives,3127,GM,9.0,67.0,7,4,0
8,MagnusCarlsen,Norway,3251,GM,8.5,75.5,8,1,0
9,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.5,73.5,8,1,0
10,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,8.5,70.0,8,1,0
11,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,8.5,68.0,8,1,0
12,Denis_Makhnyov,Kazakhstan,2980,GM,8.5,66.5,8,1,0
13,Njal28,Armenia,2958,GM,8.5,65.5,8,1,0
14,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,8.5,65.5,8,1,0
15,GM_dmitrij,Germany,3105,GM,8.5,65.0,8,1,0
16,Durarbayli,Azerbaijan,2863,GM,8.5,60.0,8,1,0
17,Indianlad,India,3059,GM,8.5,58.5,8,1,0
18,Rud_Makarian,Click here to see our stance on the war in Ukraine,3072,IM,8.0,71.0,7,2,0
19,Jospem,Mexico,3078,GM,8.0,71.0,7,2,0
20,gurelediz,Türkiye,3143,GM,8.0,69.0,8,0,0
21,abhidabhi,India,2890,GM,8.0,69.0,8,0,0
22,jcibarra,Spain,3034,GM,8.0,64.0,8,0,0
23,atbenina64,Iran,2777,IM,8.0,63.5,7,2,0
24,blitzking1729,India,2785,IM,8.0,63.0,7,2,0
25,ViIIagra,Chile,2863,GM,8.0,62.0,8,0,0
26,Kacparov,Poland,2952,IM,8.0,58.0,7,2,0
27,the_chess_child,India,2890,IM,8.0,56.5,7,2,0
28,pouya21,Iran,2862,GM,8.0,50.5,8,0,0
29,seorobert1971,Sweden,2828,IM,8.0,49.5,7,2,0
30,NikolaGry,Ukraine,2701,FM,8.0,41.0,8,0,0
31,Zhigalko_Sergei,International,2948,GM,7.5,73.0,7,1,0
32,Rikikits,France,2858,GM,7.5,72.5,6,3,0
33,Gordima,Argentina,3006,GM,7.5,68.5,7,1,0
34,Fandorine,Spain,2899,GM,7.5,67.5,6,3,0
35,Prizant_academy,Click here to see our stance on the war in Ukraine,3183,FM,7.5,65.5,7,1,0
36,vovachesss,International,2763,CM,7.5,64.5,7,1,0
37,Hovik_Hayrapetyan,Armenia,2889,GM,7.5,64.0,7,1,0
38,Grandelicious,Sweden,2930,GM,7.5,63.5,7,1,0
39,Sethu0025,India,2933,GM,7.5,63.5,7,1,0
40,bocah_sakit,Indonesia,2658,GM,7.5,63.0,7,1,0
41,Azeryahu,Hungary,2953,GM,7.5,62.5,7,1,0
42,avinashramesh4,India,2775,IM,7.5,62.0,7,1,0
43,baki83,France,2916,GM,7.5,61.0,7,1,0
44,Qnmeng,China,2709,WIM,7.5,61.0,7,1,0
45,Evgeny81,Israel,2754,GM,7.5,59.5,7,1,0
46,Beca95,Serbia,2905,GM,7.5,58.0,7,1,0
47,Sattarov_Bobur,Uzbekistan,2814,IM,7.5,58.0,7,1,0
48,GM_shahin,Iran,2749,GM,7.5,54.5,7,1,0
49,EREBUNI91,Armenia,2790,GM,7.5,54.0,6,3,0
50,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,7.5,46.0,7,1,0
51,howitzer14,England,3016,GM,7.5,35.0,7,1,0
52,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,7.0,66.0,7,0,0
53,WhiteKnight2612,India,2901,IM,7.0,66.0,7,0,0
54,ChessicallyInclined,United States,2706,FM,7.0,65.5,7,0,0
55,GadimbayliA,Azerbaijan,2863,GM,7.0,64.5,7,0,0
56,Vaathi_Coming,India,2950,GM,7.0,64.0,6,2,0
57,chess123456s,India,2614,FM,7.0,64.0,6,2,0
58,TenisMaster,United States,2906,GM,7.0,62.5,7,0,0
59,Abund,China,2694,NM,7.0,62.5,7,0,0
