rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Hikaru,United States,3223,GM,10.0,83.0,9,2,0
2,wonderfultime,Vietnam,3031,GM,9.5,73.5,9,1,0
3,yosephtaher,Indonesia,2863,IM,9.0,81.0,9,0,0
4,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,9.0,76.5,8,2,0
5,Polish_fighter3000,Poland,3057,GM,9.0,73.5,9,0,0
6,mishanick,Serbia,3040,GM,9.0,67.5,9,0,0
7,Jospem,Mexico,3078,GM,8.5,76.5,8,1,0
8,HansOnTwitch,United States,3161,GM,8.5,73.0,8,1,0
9,vi_pranav,India,3158,GM,8.5,71.5,8,1,0
10,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,8.5,69.0,8,1,0
11,Msb2,Germany,3132,GM,8.5,62.5,8,1,0
12,sergoy,South Korea,2971,GM,8.0,74.0,8,0,0
13,Rud_Makarian,Click here to see our stance on the war in Ukraine,3072,IM,8.0,74.0,8,0,0
14,BilodeauA,Austria,2912,GM,8.0,74.0,8,0,0
15,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.0,72.5,8,0,0
16,AlmasRakhmatullaev,China,2847,IM,8.0,72.0,8,0,0
17,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.0,69.0,5,6,0
18,TigrVShlyape,United States,2902,GM,8.0,68.5,7,2,0
19,Oleksandr_Bortnyk,United States,3109,GM,8.0,65.5,8,0,0
20,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,8.0,61.5,8,0,0
21,Sychev_on_YouTube,Peru,2817,GM,8.0,61.5,7,2,0
22,FairChess_on_YouTube,Maldives,3127,GM,8.0,59.5,8,0,0
23,Dyadya81,Armenia,2777,GM,7.5,74.0,6,3,0
24,mitrabhaa,India,2966,GM,7.5,70.5,7,1,0
25,BogdanDeac,Romania,3066,GM,7.5,68.5,6,3,0
26,platy3,Spain,2921,GM,7.5,68.0,7,1,0
27,AnishOnYoutube,Netherlands,3095,GM,7.5,67.5,7,1,0
28,vasblesk,Czech Republic,2805,IM,7.5,67.0,6,3,0
29,vovachesss,International,2763,CM,7.5,66.5,7,1,0
30,rasmussvane,Germany,3000,GM,7.5,60.5,7,1,0
31,Matibar,Poland,2846,GM,7.5,60.5,7,1,0
32,Blitzstream,France,2822,NM,7.5,60.0,6,3,0
33,Vladimir_Zakhartsov,Click here to see our stance on the war in Ukraine,2910,GM,7.5,59.0,7,1,0
34,GMSrinath,India,2910,GM,7.5,52.0,7,1,0
35,Sattarov_Bobur,Uzbekistan,2814,IM,7.5,51.0,7,1,0
36,Abund,China,2694,NM,7.5,37.5,7,1,0
37,snowlord,International,2928,FM,7.0,73.0,7,0,0
38,FormerProdigy,Czech Republic,2938,GM,7.0,71.0,7,0,0
39,Macho_2006,Uzbekistan,2955,IM,7.0,67.0,7,0,0
40,LiamPutnam2008,United States,3020,FM,7.0,67.0,6,2,0
41,Fandorine,Spain,2899,GM,7.0,66.5,6,2,0
42,FaustinoOro,Argentina,3000,FM,7.0,66.0,7,0,0
43,Flawless_Fighter,Click here to see our stance on the war in Ukraine,2701,IM,7.0,65.5,6,2,0
44,Mops_2004,Ukraine,2832,IM,7.0,63.5,7,0,0
45,Danny_Billiards,Gibraltar,2832,FM,7.0,63.5,6,2,0
46,jk13,United States,2632,IM,7.0,63.0,7,0,0
47,DonkyDonkyDonkey,Türkiye,2904,IM,7.0,62.5,6,2,0
48,FXDon77,China,2890,GM,7.0,61.0,6,2,0
49,TanitoluwaAps116,United States,2662,FM,7.0,60.5,7,0,0
50,alexrustemov,Click here to see our stance on the war in Ukraine,2931,GM,7.0,60.5,7,0,0
51,Peng_Li-Min,Switzerland,2825,GM,7.0,60.5,7,0,0
52,GalaxyRoman,Ukraine,2842,FM,7.0,60.5,7,0,0
53,luckyswitchback,Click here to see our stance on the war in Ukraine,2687,FM,7.0,59.0,7,0,0
54,ELECTRODYNAMIC_DRACULA,Isle of Man,2903,FM,7.0,57.0,6,2,0
55,Zhigalko_Sergei,International,2948,GM,7.0,57.0,7,0,0
56,Yan_Dyomin2010,Ukraine,2800,CM,7.0,57.0,7,0,0
57,suyu28,India,2757,FM,7.0,56.0,7,0,0
58,andrew-blr,Click here to see our stance on the war in Ukraine,2513,FM,7.0,55.5,6,2,0
59,LiadCuba,Cuba,2506,NM,7.0,52.5,7,0,0
60,Barmen_EV,International,2514,IM,7.0,48.5,6,2,0
61,sokidze,Ukraine,2905,GM,7.0,48.0,7,0,0
62,AlexeiShirov,Spain,2831,GM,7.0,38.5,7,0,0
63,Hanging_pointer,Croatia,2722,FM,6.5,68.5,6,1,0
64,MightyMike_009,Uzbekistan,2714,CM,6.5,67.0,6,1,0
65,Sam_ChessMood,Armenia,2919,GM,6.5,66.5,6,1,0
66,blitzking1729,India,2785,IM,6.5,66.0,6,1,0
67,Seochesspie,Sweden,2831,IM,6.5,63.5,6,1,0
68,KuzubovYuriy,Ukraine,2962,GM,6.5,61.5,6,1,0
69,Zq1,United States,2551,GM,6.5,60.5,6,1,0
70,temus_galaktionov,Click here to see our stance on the war in Ukraine,2819,FM,6.5,59.5,6,1,0
71,IMRosen,Germany,2726,IM,6.5,59.5,6,1,0
72,CSB7,Hungary,2803,IM,6.5,59.0,4,5,0
73,StankovicIvan,Serbia,2504,FM,6.5,58.5,6,1,0
74,Shuvalov,Click here to see our stance on the war in Ukraine,2652,CM,6.5,54.5,6,1,0
75,Byniolus,Poland,2772,GM,6.5,54.5,6,1,0
76,TregubovP,France,2675,GM,6.5,54.0,6,1,0
77,Let_it_be_1,Click here to see our stance on the war in Ukraine,2655,IM,6.5,54.0,5,3,0
78,PepeCuenca,Spain,2771,GM,6.5,50.5,6,1,0
79,Smoking_Crow,United States,2588,IM,6.5,50.0,6,1,0
80,zajka-molotok,Ukraine,2593,IM,6.5,49.5,6,1,0
81,Anton_Demchenko,Slovenia,3021,GM,6.5,47.0,6,1,0
82,Iskusnyh,Click here to see our stance on the war in Ukraine,2601,GM,6.5,44.5,6,1,0
83,awesomevishesh,India,2608,WGM,6.5,34.0,6,1,0
84,BestStelker,Slovakia,2700,IM,6.0,66.0,5,2,0
85,Zohid6,Türkiye,2955,IM,6.0,64.5,5,2,0
86,GMKrikor,Brazil,2878,GM,6.0,63.0,5,2,0
87,Kirill_Klukin,United Arab Emirates,2930,IM,6.0,63.0,5,2,0
88,GothamChess,United States,2719,IM,6.0,61.0,6,0,0
89,LeRoidesChampions,India,2595,FM,6.0,60.5,4,4,0
90,ChessQueen,International,2750,GM,6.0,59.0,4,4,0
91,Switzerlamb,Switzerland,2540,FM,6.0,58.0,5,2,0
92,BilicVladimir,Bosnia-Herzegovina,2642,FM,6.0,57.5,6,0,0
93,GeorgiosSouleidis,Greece,2728,IM,6.0,57.0,6,0,0
94,jumpingknight20,India,2835,IM,6.0,57.0,6,0,0
95,ChessSwole,United States,2800,FM,6.0,57.0,6,0,0
96,Mysterio47,India,2824,FM,6.0,57.0,5,2,0
97,Mr_ruthless,India,2633,FM,6.0,56.0,6,0,0
98,Goryachkina,Click here to see our stance on the war in Ukraine,2677,GM,6.0,56.0,5,2,0
99,Boorchess,United States,2463,FM,6.0,55.5,6,0,0
100,RebelJohnny,Iran,2590,CM,6.0,54.5,6,0,0
101,Kielinkei,Finland,2506,NM,6.0,54.5,5,2,0
102,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,6.0,54.0,6,0,0
103,Yeritsyaan,Armenia,2659,FM,6.0,53.0,6,0,0
104,Lady_Nika,Click here to see our stance on the war in Ukraine,2535,WCM,6.0,53.0,6,0,0
105,NikitaShandrygin,Serbia,2727,FM,6.0,52.5,5,2,0
106,Statham,South Africa,2723,CM,6.0,52.0,6,0,0
107,SuperPower2011,Romania,2728,FM,6.0,51.5,6,0,0
108,AsaHoffmann,United States,2358,FM,6.0,51.0,6,0,0
109,Baronessa08,Seychelles,2587,IM,6.0,50.5,6,0,0
110,Skatchkov_V,Click here to see our stance on the war in Ukraine,2623,FM,6.0,50.0,6,0,0
111,Cryptinz,Iceland,2541,IM,6.0,49.0,6,0,0
112,Winner_7777,International,2601,FM,6.0,48.5,6,0,0
113,el008,United States,2636,IM,6.0,47.5,6,0,0
114,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,6.0,46.5,6,0,0
115,Chessmissile07,India,2905,IM,6.0,44.5,6,0,0
116,Ural_bogatyr,Click here to see our stance on the war in Ukraine,2547,IM,6.0,38.0,6,0,0
117,ValeriyGrinev,Ukraine,2607,IM,6.0,35.0,6,0,0
118,viktorskliarov,Ukraine,2668,IM,5.5,65.0,4,3,0
119,Alexchess1984,Czech Republic,2687,GM,5.5,57.5,5,1,0
120,ValentunHulka,Ukraine,2906,FM,5.5,55.0,5,1,0
121,electrosaw,United States,2565,NM,5.5,54.5,5,1,0
122,Meri-Arabidze,Georgia,2673,IM,5.5,54.5,5,1,0
123,szachuspl,Poland,2693,NM,5.5,54.0,4,3,0
124,Witik,Click here to see our stance on the war in Ukraine,2796,FM,5.5,52.5,5,1,0
125,LileKoridze,Georgia,2409,WFM,5.5,52.0,5,1,0
126,theoneandonlydaaevik,India,2600,FM,5.5,52.0,5,1,0
127,mikheeva86,Click here to see our stance on the war in Ukraine,2391,WFM,5.5,51.0,4,3,0
128,Chessdude1987,United Kingdom,2317,NM,5.5,50.5,5,1,0
129,littlepinkyboy,France,2537,FM,5.5,50.0,5,1,0
130,atbenina64,Iran,2777,IM,5.5,48.5,5,1,0
131,santosalberto1987,Ecuador,2515,IM,5.5,48.5,5,1,0
132,Boundless_Strike,Djibouti,2648,IM,5.5,48.0,5,1,0
133,ChelsieMonica,Indonesia,2475,WIM,5.5,47.0,5,1,0
134,NMJeevanK,United States,2649,FM,5.5,46.0,5,1,0
135,MaxLeto,Isle of Man,2461,FM,5.5,45.5,5,1,0
136,Viktoker,Argentina,2570,FM,5.5,45.0,5,1,0
137,YegoryoCh,Click here to see our stance on the war in Ukraine,2482,FM,5.5,45.0,5,1,0
138,chessllermo,Spain,2492,IM,5.5,44.0,5,1,0
139,eightbyeightchess,United States,2395,NM,5.5,44.0,5,1,0
140,RobertoJBM,Brazil,2871,IM,5.5,34.0,5,1,0
141,Pedrada88,Wales,2582,IM,5.5,33.0,5,1,0
142,crazyluzhinTh3,Mexico,2570,IM,5.0,62.0,4,2,0
143,manitodeplomo,Chile,2670,IM,5.0,59.0,4,2,0
144,PolandHussars,Poland,2580,FM,5.0,58.0,4,2,0
145,CarlosjPineror,Venezuela,2726,IM,5.0,57.5,5,0,0
146,kidagent,United Kingdom,2361,FM,5.0,55.0,5,0,0
147,Jimonios,Eswatini,2612,CM,5.0,55.0,5,0,0
148,bazar-wokzal,International,2582,IM,5.0,53.5,5,0,0
149,HATilay,Azerbaijan,2597,FM,5.0,52.0,5,0,0
150,AttilaTurzo,Hungary,2432,IM,5.0,51.0,4,2,0
151,Actuary44,Poland,2490,CM,5.0,51.0,4,2,0
152,sansanathalia,United States,2429,WFM,5.0,51.0,5,0,0
153,djano,Poland,2622,FM,5.0,50.0,5,0,0
