rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Azerichess,Azerbaijan,2995,GM,9.5,77.5,9,1,0
2,Hikaru,United States,3223,GM,9.5,72.5,9,1,0
3,Nitzan_Steinberg,Israel,2850,GM,9.5,61.5,9,1,0
4,Jospem,Mexico,3078,GM,9.0,73.5,8,2,0
5,AlexanderL,United States,2888,GM,9.0,72.0,9,0,0
6,platy3,Spain,2921,GM,9.0,67.5,9,0,0
7,snowlord,International,2928,FM,9.0,65.0,8,2,0
8,Zhigalko_Sergei,International,2948,GM,9.0,60.0,9,0,0
9,amintabatabaei,Iran,3057,GM,8.5,75.0,8,1,0
10,Parhamov,Iran,3078,GM,8.5,74.0,8,1,0
11,wonderfultime,Vietnam,3031,GM,8.5,72.5,8,1,0
12,VincentKeymer,Germany,3027,GM,8.5,68.0,8,1,0
13,DrVelja,Serbia,3003,GM,8.5,64.5,8,1,0
14,mishanick,Serbia,3040,GM,8.5,62.5,8,1,0
15,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,8.5,61.0,8,1,0
16,sergoy,South Korea,2971,GM,8.5,60.0,7,3,0
17,TenisMaster,United States,2906,GM,8.5,52.5,8,1,0
18,Cayse,Ukraine,2817,GM,8.0,72.5,8,0,0
19,GHANDEEVAM2003,India,3046,GM,8.0,72.0,8,0,0
20,Durarbayli,Azerbaijan,2863,GM,8.0,69.5,8,0,0
21,Vladimir_Zakhartsov,Click here to see our stance on the war in Ukraine,2910,GM,8.0,69.5,7,2,0
22,jcibarra,Spain,3034,GM,8.0,67.5,7,2,0
23,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.0,67.5,8,0,0
24,Rud_Makarian,Click here to see our stance on the war in Ukraine,3072,IM,8.0,67.0,7,2,0
25,TigrVShlyape,United States,2902,GM,8.0,66.0,7,2,0
26,the_chess_child,India,2890,IM,8.0,63.5,7,2,0
27,Anton_Demchenko,Slovenia,3021,GM,8.0,60.0,8,0,0
28,Azeryahu,Hungary,2953,GM,8.0,57.0,7,2,0
29,Sokoloco,Kazakhstan,2715,IM,8.0,57.0,8,0,0
30,RandomNoob04,Germany,2818,FM,8.0,56.5,8,0,0
31,lamomiajunior,Argentina,2704,IM,8.0,54.5,8,0,0
32,Sam_ChessMood,Armenia,2919,GM,8.0,54.0,8,0,0
33,nihalsarin,Chile,3226,GM,7.5,76.5,6,3,0
34,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,7.5,74.5,6,3,0
35,FairChess_on_YouTube,Maldives,3127,GM,7.5,73.0,6,3,0
36,chessdjw,Germany,2764,GM,7.5,70.5,7,1,0
37,baki83,France,2916,GM,7.5,69.0,7,1,0
38,EREBUNI91,Armenia,2790,GM,7.5,69.0,7,1,0
39,Sychev_on_YouTube,Peru,2817,GM,7.5,66.5,7,1,0
40,JeRoma71,Click here to see our stance on the war in Ukraine,2767,FM,7.5,66.5,6,3,0
41,SARGISMV,Armenia,2450,FM,7.5,63.0,7,1,0
42,Nikolakis2014,Greece,2760,GM,7.5,63.0,7,1,0
43,XDPS,Chile,2874,GM,7.5,62.0,7,1,0
44,Byniolus,Poland,2772,GM,7.5,61.5,7,1,0
45,AlexPapasimakopoulos,Greece,2822,FM,7.5,61.5,7,1,0
46,ChessFighter_2011,Vietnam,2985,CM,7.5,61.0,7,1,0
47,FGHSMN,India,2868,GM,7.5,60.0,7,1,0
48,Kacparov,Poland,2952,IM,7.5,58.5,6,3,0
49,RZ0,Bangladesh,2505,GM,7.5,58.0,7,1,0
50,Coachpoker,United States,2781,IM,7.5,55.0,7,1,0
51,Ritual2003,Türkiye,2858,FM,7.5,54.5,7,1,0
52,Vanina1989,Click here to see our stance on the war in Ukraine,2676,GM,7.0,71.0,6,2,0
53,Miguelito,Spain,2833,GM,7.0,68.5,7,0,0
54,BocharovD,Click here to see our stance on the war in Ukraine,2865,GM,7.0,67.5,7,0,0
55,DTChess,Serbia,2739,FM,7.0,65.5,6,2,0
56,nrvisakh,India,2914,GM,7.0,65.5,6,2,0
57,Rutricks,Spain,2692,IM,7.0,64.5,7,0,0
58,verdest,Poland,2647,FM,7.0,64.0,6,2,0
59,kingofthenil,France,2784,IM,7.0,63.5,7,0,0
60,PeshkaCh,Ukraine,2860,FM,7.0,63.0,6,2,0
61,Zohid6,Türkiye,2955,IM,7.0,62.0,7,0,0
62,kingnb,India,2731,IM,7.0,62.0,7,0,0
63,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,7.0,61.5,6,2,0
64,Macho_2006,Uzbekistan,2955,IM,7.0,61.0,7,0,0
65,Cruel_Yaro,United States,2773,GM,7.0,60.5,6,2,0
66,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,7.0,60.5,7,0,0
67,korbul,Romania,2641,IM,7.0,60.0,7,0,0
68,Joshukid,United States,2723,FM,7.0,59.5,7,0,0
69,Makswolf200817,Click here to see our stance on the war in Ukraine,2685,FM,7.0,59.5,6,2,0
70,viktorskliarov,Ukraine,2668,IM,7.0,59.5,6,2,0
71,Mysterio47,India,2824,FM,7.0,58.0,6,2,0
72,siciliannaga,Indonesia,2821,FM,7.0,58.0,6,2,0
73,GMKrikor,Brazil,2878,GM,7.0,57.0,6,2,0
74,Evgeny81,Israel,2754,GM,7.0,57.0,6,2,0
75,Hovik_Hayrapetyan,Armenia,2889,GM,7.0,56.0,7,0,0
76,Ginzburg_Yakov,Click here to see our stance on the war in Ukraine,2554,FM,7.0,55.0,7,0,0
77,lavr92,International,2667,IM,7.0,54.0,6,2,0
78,KNVB,Canada,2706,GM,7.0,53.5,6,2,0
79,miguelho67,Mexico,2665,IM,7.0,51.5,7,0,0
80,RaugintaBulba,Lithuania,2483,CM,7.0,51.0,6,2,0
81,MokshAD1603,India,2650,IM,7.0,51.0,7,0,0
82,Mikozovna,Kazakhstan,2652,WGM,7.0,50.0,7,0,0
83,jasrom,Philippines,2441,NM,7.0,47.0,7,0,0
84,Meri-Arabidze,Georgia,2673,IM,7.0,46.5,6,2,0
85,Alex_Sahakyan2006,Armenia,2742,FM,6.5,77.0,6,1,0
86,Oleksandr_Bortnyk,United States,3109,GM,6.5,70.0,6,1,0
87,bazar-wokzal,International,2582,IM,6.5,69.0,6,1,0
88,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,6.5,67.5,6,1,0
89,DvaHrasta,Serbia,2483,FM,6.5,64.5,6,1,0
90,wqws,India,2883,CM,6.5,64.5,6,1,0
91,DawidCzerw,Poland,2494,IM,6.5,62.5,6,1,0
92,vovachesss,International,2763,CM,6.5,61.5,6,1,0
93,Vesper2018,Click here to see our stance on the war in Ukraine,2648,IM,6.5,61.0,6,1,0
94,LeRoidesChampions,India,2595,FM,6.5,60.0,6,1,0
95,Ajedrez_con_German,Argentina,2605,FM,6.5,60.0,6,1,0
96,iHateNAJDORF,Basque Country,2642,FM,6.5,59.5,6,1,0
97,vlajkovicS,Serbia,2610,FM,6.5,58.5,6,1,0
98,BeanScreen,United States,2672,FM,6.5,56.5,5,3,0
99,Harry_Rakkel,Poland,2636,GM,6.5,55.0,6,1,0
100,Lion-Al-Messi,Norway,2619,FM,6.5,54.5,6,1,0
101,GothamChess,United States,2719,IM,6.5,54.0,6,1,0
102,Taktikmonster,Germany,2624,FM,6.5,54.0,5,3,0
103,adapodadei,India,2723,FM,6.5,53.5,6,1,0
104,Let_it_be_1,Click here to see our stance on the war in Ukraine,2655,IM,6.5,53.5,6,1,0
105,Nikita_Klepikov,Click here to see our stance on the war in Ukraine,2329,FM,6.5,53.0,6,1,0
106,Chessmissile07,India,2905,IM,6.5,53.0,6,1,0
107,VladimirPotkin,Click here to see our stance on the war in Ukraine,2609,GM,6.5,53.0,6,1,0
108,CSB7,Hungary,2803,IM,6.5,52.5,6,1,0
109,SirMittensofMittensville,Israel,2677,IM,6.5,51.5,6,1,0
110,GeorgiosSouleidis,Greece,2728,IM,6.5,50.0,6,1,0
111,Olga_Girya,Click here to see our stance on the war in Ukraine,2519,GM,6.5,49.0,6,1,0
112,kjzsdu,United States,2592,NM,6.5,49.0,6,1,0
113,Ural_bogatyr,Click here to see our stance on the war in Ukraine,2547,IM,6.5,48.0,6,1,0
