rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Hikaru,United States,3223,GM,9.5,76.5,8,3,0
2,BilodeauA,Austria,2912,GM,9.5,71.0,8,3,0
3,HansOnTwitch,United States,3161,GM,9.5,55.0,9,1,0
4,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,9.0,79.5,7,4,0
5,FairChess_on_YouTube,Maldives,3127,GM,9.0,78.5,8,2,0
6,bardiya_Daneshvar,Iran,3005,GM,9.0,76.0,8,2,0
7,Rakhmanov_Aleksandr,International,2843,GM,9.0,72.5,8,2,0
8,BillieKimbah,Click here to see our stance on the war in Ukraine,2938,GM,9.0,67.0,8,2,0
9,Nitzan_Steinberg,Israel,2850,GM,8.5,69.5,8,1,0
10,Karateloru,Click here to see our stance on the war in Ukraine,2763,FM,8.5,64.5,8,1,0
11,OparinGrigoriy,United States,3019,GM,8.5,64.5,7,3,0
12,Oleksandr_Bortnyk,United States,3109,GM,8.5,64.0,8,1,0
13,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,8.5,61.0,8,1,0
14,Iball95,Click here to see our stance on the war in Ukraine,2900,FM,8.5,61.0,8,1,0
15,TigrVShlyape,United States,2902,GM,8.5,61.0,7,3,0
16,vasblesk,Czech Republic,2805,IM,8.5,49.0,8,1,0
17,legendisback1,Türkiye,3027,IM,8.0,74.5,8,0,0
18,nihalsarin,Chile,3226,GM,8.0,73.5,8,0,0
19,Drags95,Poland,2840,GM,8.0,73.0,8,0,0
20,kleinebeer98,Netherlands,2908,GM,8.0,68.5,8,0,0
21,FGHSMN,India,2868,GM,8.0,68.0,8,0,0
22,Akewjon,Uzbekistan,2800,IM,8.0,66.0,8,0,0
23,RaunakSadhwani2005,India,3111,GM,8.0,65.0,8,0,0
24,Fandorine,Spain,2899,GM,8.0,64.5,7,2,0
25,TimofeevAr,Click here to see our stance on the war in Ukraine,2848,GM,8.0,63.5,7,2,0
26,MightyGMpretender,Poland,3005,NM,8.0,63.5,8,0,0
27,Kirill_Klukin,United Arab Emirates,2930,IM,8.0,61.0,7,2,0
28,Macho_2006,Uzbekistan,2955,IM,8.0,61.0,7,2,0
29,gurelediz,Türkiye,3143,GM,8.0,60.5,7,2,0
30,snowlord,International,2928,FM,8.0,56.0,8,0,0
31,Szparu,Poland,2909,IM,8.0,51.5,8,0,0
32,MITerryble,Peru,3005,IM,7.5,75.5,7,1,0
33,Sychev_on_YouTube,Peru,2817,GM,7.5,73.0,7,1,0
34,Shield12,Uzbekistan,2972,GM,7.5,67.0,7,1,0
35,c63_amg,Canada,2835,IM,7.5,66.5,7,1,0
36,Gareth-Bale11,Armenia,2958,GM,7.5,66.5,7,1,0
37,AkibaRubi,Uzbekistan,2786,FM,7.5,65.0,7,1,0
38,Zurability,United States,2777,IM,7.5,63.5,7,1,0
39,ViIIagra,Chile,2863,GM,7.5,62.5,7,1,0
40,TheGandhiOfChess,Portugal,2670,IM,7.5,59.5,7,1,0
41,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,7.5,58.5,7,1,0
42,FXDon77,China,2890,GM,7.5,57.5,7,1,0
43,mind1mover,Serbia,2748,IM,7.5,57.0,7,1,0
44,Sokoloco,Kazakhstan,2715,IM,7.5,56.0,7,1,0
45,Zohid6,Türkiye,2955,IM,7.5,55.5,7,1,0
46,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,7.5,55.0,7,1,0
47,Sattarov_Bobur,Uzbekistan,2814,IM,7.5,53.0,7,1,0
48,BardArtem,International,2833,FM,7.5,52.0,7,1,0
49,hakanazeri2,Isle of Man,2641,FM,7.0,70.0,7,0,0
50,Anton_Demchenko,Slovenia,3021,GM,7.0,70.0,6,2,0
51,Borsuk_Konstantin,Ukraine,2758,IM,7.0,69.0,7,0,0
52,psychokiller48,Türkiye,2709,CM,7.0,68.5,7,0,0
53,SRob2003,Ukraine,2636,FM,7.0,68.0,7,0,0
54,artin10862,Iran,2943,FM,7.0,64.5,7,0,0
55,vi_pranav,India,3158,GM,7.0,64.5,5,4,0
56,Krakozia,Click here to see our stance on the war in Ukraine,2940,GM,7.0,63.5,6,2,0
57,sokidze,Ukraine,2905,GM,7.0,62.5,6,2,0
58,Fonsofan,Spain,2830,IM,7.0,62.0,7,0,0
59,Timerkhanov,Click here to see our stance on the war in Ukraine,2616,FM,7.0,61.5,7,0,0
60,santosalberto1987,Ecuador,2515,IM,7.0,61.0,6,2,0
61,PeshkaCh,Ukraine,2860,FM,7.0,60.5,7,0,0
62,scarabee43,France,2915,IM,7.0,59.5,6,2,0
63,ellatambien,Spain,2693,IM,7.0,57.0,6,2,0
