rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Hikaru,United States,3223,GM,10.0,73.0,9,2,0
2,Hrant_ChessMood,Armenia,2963,GM,9.5,72.0,9,1,0
3,Jospem,Mexico,3078,GM,9.0,77.5,8,2,0
4,Firouzja2003,France,3156,GM,9.0,77.0,8,2,0
5,ShiroglanTalibov,Azerbaijan,2882,FM,9.0,73.0,8,2,0
6,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,9.0,71.5,8,2,0
7,Fandorine,Spain,2899,GM,9.0,64.5,8,2,0
8,Elsa167,Croatia,2782,GM,9.0,61.5,9,0,0
9,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,9.0,59.5,9,0,0
10,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.5,78.0,8,1,0
11,temus_galaktionov,Click here to see our stance on the war in Ukraine,2819,FM,8.5,76.5,7,3,0
12,Prizant_academy,Click here to see our stance on the war in Ukraine,3183,FM,8.5,75.0,8,1,0
13,Anton_Demchenko,Slovenia,3021,GM,8.5,70.0,8,1,0
14,Oleksandr_Bortnyk,United States,3109,GM,8.5,65.5,8,1,0
15,PeshkaCh,Ukraine,2860,FM,8.5,65.0,8,1,0
16,sokidze,Ukraine,2905,GM,8.5,62.0,8,1,0
17,Polish_fighter3000,Poland,3057,GM,8.5,60.5,7,3,0
18,vugarrasulov,Azerbaijan,2990,GM,8.0,73.5,6,4,0
19,vladislavkovalev,International,2935,GM,8.0,73.5,8,0,0
20,bascheyaro,International,2769,FM,8.0,70.0,7,2,0
21,Krakozia,Click here to see our stance on the war in Ukraine,2940,GM,8.0,69.5,8,0,0
22,chesskov1982,Netherlands,2908,IM,8.0,69.0,7,2,0
23,FairChess_on_YouTube,Maldives,3127,GM,8.0,68.0,7,2,0
24,Zhigalko_Sergei,International,2948,GM,8.0,67.0,8,0,0
25,Alexandr_Predke,Serbia,2882,GM,8.0,67.0,8,0,0
26,Vaathi_Coming,India,2950,GM,8.0,64.0,7,2,0
27,the_chess_child,India,2890,IM,8.0,63.5,8,0,0
28,Arystanner,Kazakhstan,2851,IM,8.0,63.5,8,0,0
29,chito89,Paraguay,2886,GM,8.0,63.5,8,0,0
30,Sethu0025,India,2933,GM,8.0,62.0,7,2,0
31,Eagle_2019,Kazakhstan,2903,FM,8.0,60.5,7,2,0
32,NevorLegov,Kenya,2961,GM,8.0,60.5,7,2,0
33,AlmasRakhmatullaev,China,2847,IM,8.0,60.0,7,2,0
34,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,8.0,59.0,7,2,0
35,BlueWizzard,United States,2946,GM,7.5,75.5,7,1,0
36,Indianlad,India,3059,GM,7.5,72.5,6,3,0
37,MikaelyanArman,United States,2889,GM,7.5,70.5,6,3,0
38,Beca95,Serbia,2905,GM,7.5,69.0,7,1,0
39,Alexei_Gubajdullin,International,2650,FM,7.5,67.5,7,1,0
40,sergoy,South Korea,2971,GM,7.5,67.5,7,1,0
41,ContrVersia,Lithuania,2909,GM,7.5,65.0,7,1,0
42,scarabee43,France,2915,IM,7.5,63.5,7,1,0
43,Witik,Click here to see our stance on the war in Ukraine,2796,FM,7.5,62.5,7,1,0
44,Murad_Ibrahimli,Azerbaijan,2904,IM,7.5,62.0,6,3,0
45,tetrix83,Click here to see our stance on the war in Ukraine,2580,GM,7.5,61.5,7,1,0
46,Rodalquilar,Argentina,2792,GM,7.5,61.0,7,1,0
47,vasblesk,Czech Republic,2805,IM,7.5,60.0,6,3,0
48,jk13,United States,2632,IM,7.5,57.5,7,1,0
49,Zavgorodniy_Sergiy,Ukraine,2560,IM,7.5,57.0,7,1,0
50,Byniolus,Poland,2772,GM,7.5,56.0,7,1,0
51,BardArtem,International,2833,FM,7.5,55.0,7,1,0
52,remi04,Bulgaria,2865,IM,7.5,53.5,7,1,0
53,Rutricks,Spain,2692,IM,7.5,49.5,6,3,0
54,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,7.0,71.5,5,4,0
55,Iball95,Click here to see our stance on the war in Ukraine,2900,FM,7.0,71.5,6,2,0
56,NikolaGry,Ukraine,2701,FM,7.0,69.5,6,2,0
57,DefiantChair,Kazakhstan,2603,FM,7.0,67.0,7,0,0
58,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,7.0,65.0,7,0,0
59,Markov_Mikhail,Kyrgyzstan,2710,IM,7.0,65.0,7,0,0
60,blitzking1729,India,2785,IM,7.0,65.0,6,2,0
61,Mops_2004,Ukraine,2832,IM,7.0,65.0,7,0,0
62,Aradhya2000,India,2798,IM,7.0,65.0,7,0,0
63,MatyChess1,Chile,2734,IM,7.0,64.0,7,0,0
64,Roman_Ovetchkin,Click here to see our stance on the war in Ukraine,2569,GM,7.0,64.0,7,0,0
65,SharapovEvgeny,Ukraine,2605,GM,7.0,64.0,5,4,0
66,Gurvich_Vitaly,Click here to see our stance on the war in Ukraine,2720,FM,7.0,63.5,7,0,0
67,ValentunHulka,Ukraine,2906,FM,7.0,63.5,6,2,0
68,GaiozNigalidze,Georgia,2766,IM,7.0,63.5,6,2,0
69,wannabe2700,Finland,2619,IM,7.0,63.0,6,2,0
70,FXDon77,China,2890,GM,7.0,62.0,7,0,0
71,GalaxyRoman,Ukraine,2842,FM,7.0,61.0,6,2,0
72,CSB7,Hungary,2803,IM,7.0,61.0,7,0,0
73,Russian_berezka,Click here to see our stance on the war in Ukraine,2606,CM,7.0,59.5,6,2,0
74,ozates,Türkiye,2669,FM,7.0,59.0,7,0,0
75,Denis_Makhnyov,Kazakhstan,2980,GM,7.0,59.0,6,2,0
76,MightyGMpretender,Poland,3005,NM,7.0,58.0,6,2,0
77,hakanazeri2,Isle of Man,2641,FM,7.0,58.0,7,0,0
78,jaskol95,Uganda,2702,CM,7.0,57.5,7,0,0
79,Sadykov_Ramil,Click here to see our stance on the war in Ukraine,2602,FM,7.0,56.5,6,2,0
80,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,7.0,56.0,6,2,0
81,Mysterio47,India,2824,FM,7.0,55.5,7,0,0
82,DanyKopy,Germany,2614,FM,7.0,55.0,7,0,0
83,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,7.0,55.0,7,0,0
84,wqws,India,2883,CM,7.0,54.0,7,0,0
85,QuintilianoR,Brazil,2705,GM,7.0,50.0,7,0,0
86,Fantastic_Power,Click here to see our stance on the war in Ukraine,2664,FM,6.5,75.0,6,1,0
87,SashaKuzhilniy,Ukraine,2625,CM,6.5,68.0,5,3,0
88,NovoselovRoman,Click here to see our stance on the war in Ukraine,2665,FM,6.5,67.5,6,1,0
89,grzechu96,Poland,2763,GM,6.5,67.0,6,1,0
90,BashirovKemal,Ukraine,2646,FM,6.5,67.0,6,1,0
91,Journey_to_GrandMaster_YT,Germany,2754,IM,6.5,66.5,6,1,0
92,Zablotsky,Click here to see our stance on the war in Ukraine,2741,GM,6.5,64.5,6,1,0
93,ChessicallyInclined,United States,2706,FM,6.5,62.5,6,1,0
94,slorovel,Slovenia,2630,FM,6.5,62.0,6,1,0
95,GradualismUnleashed,Switzerland,2618,IM,6.5,61.5,6,1,0
96,ChessQueen,International,2750,GM,6.5,61.5,5,3,0
97,Bilan_Danila,International,2558,FM,6.5,61.5,6,1,0
98,goldihouse,Germany,2731,IM,6.5,60.5,6,1,0
99,GianmarcoVaR,Peru,2866,IM,6.5,60.0,5,3,0
100,sonicdravise,Malaysia,2583,CM,6.5,60.0,6,1,0
101,Triumphmate,India,2493,IM,6.5,59.5,6,1,0
102,Let_it_be_1,Click here to see our stance on the war in Ukraine,2655,IM,6.5,58.5,6,1,0
103,Martial2008,Norway,2633,IM,6.5,58.5,6,1,0
104,Kildepiotr,Poland,2694,IM,6.5,58.0,6,1,0
105,Leonid_Starozhilov,Ukraine,2743,FM,6.5,57.5,6,1,0
106,djano,Poland,2622,FM,6.5,56.5,6,1,0
107,Abund,China,2694,NM,6.5,56.0,6,1,0
