rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,HansOnTwitch,United States,3179,GM,10.0,74.5,10,0,0
2,VladimirKramnik,Click here to see our stance on the war in Ukraine,3040,GM,10.0,70.5,9,2,0
3,Oleksandr_Bortnyk,United States,3058,GM,9.0,78.5,9,0,0
4,superchess02,India,2967,GM,9.0,74.0,9,0,0
5,Andreikka,Click here to see our stance on the war in Ukraine,3033,GM,9.0,73.5,9,0,0
6,mishanick,Serbia,3109,GM,9.0,72.5,8,2,0
7,rezamahdavi2008,Iran,2954,FM,9.0,70.0,8,2,0
8,Hikaru,United States,3324,GM,9.0,67.0,8,2,0
9,frederiksvane,Germany,2980,GM,9.0,65.5,8,2,0
10,jefferyx,United States,2999,GM,9.0,64.5,8,2,0
11,NeoTerNemo,Click here to see our stance on the war in Ukraine,2943,IM,9.0,64.0,9,0,0
12,wqws,India,2905,FM,9.0,63.0,9,0,0
13,Sam_ChessMood,Armenia,2987,GM,9.0,58.5,8,2,0
14,wonderfultime,Vietnam,3063,GM,8.5,76.0,8,1,0
15,DrVelja,Serbia,3001,GM,8.5,72.0,8,1,0
16,OparinGrigoriy,United States,3035,GM,8.5,70.5,7,3,0
17,FairChess_on_YouTube,Maldives,3130,GM,8.5,70.5,8,1,0
18,Shankland,United States,2934,GM,8.5,70.5,8,1,0
19,sokidze,Ukraine,3003,GM,8.5,68.5,8,1,0
20,Nitzan_Steinberg,Israel,2895,GM,8.5,61.5,8,1,0
21,Volodar_Murzin,Click here to see our stance on the war in Ukraine,3026,GM,8.0,75.5,8,0,0
22,Rsnr,Syria,2962,IM,8.0,74.5,7,2,0
23,MasterKroket,Netherlands,2654,FM,8.0,73.0,7,2,0
24,GMBenjaminBok,Netherlands,3094,GM,8.0,71.5,7,2,0
25,FXDon77,China,2927,GM,8.0,71.0,7,2,0
26,Durarbayli,Azerbaijan,2931,GM,8.0,71.0,8,0,0
27,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2912,IM,8.0,70.5,8,0,0
28,dropstoneDP,Click here to see our stance on the war in Ukraine,3076,GM,8.0,70.5,8,0,0
29,kleinebeer98,Netherlands,2821,GM,8.0,70.0,8,0,0
30,rasmussvane,Germany,2986,GM,8.0,69.0,7,2,0
31,Macho_2006,Uzbekistan,2935,GM,8.0,67.5,7,2,0
32,NevorLegov,Germany,2987,GM,8.0,67.0,8,0,0
33,JSPrepz,Norway,2884,GM,8.0,66.5,8,0,0
34,xasid81,Israel,2648,IM,8.0,65.5,8,0,0
35,Incognito_Knight,Ukraine,2803,GM,8.0,65.5,7,2,0
36,KNVB,Canada,2974,GM,8.0,65.0,8,0,0
37,bubeliang,Norway,2924,FM,8.0,63.5,7,2,0
38,mr_gustavo,Poland,2811,IM,8.0,63.5,8,0,0
39,puz2010,South Korea,2730,FM,8.0,63.0,7,2,0
40,Rud_Makarian,Click here to see our stance on the war in Ukraine,3076,IM,8.0,62.0,7,2,0
41,TrahtarBelarus,Click here to see our stance on the war in Ukraine,2963,IM,8.0,61.5,7,2,0
42,Szparu,Poland,2831,IM,8.0,60.5,8,0,0
43,Mach1el,International,2676,FM,8.0,58.0,8,0,0
44,ChristopherYoo,Tuvalu,3070,GM,8.0,58.0,8,0,0
45,Chessmissile07,India,2939,IM,8.0,54.0,7,2,0
46,Msb2,Germany,3036,GM,7.5,76.5,6,3,0
47,MonsterChess_uz,Uzbekistan,2832,IM,7.5,70.0,7,1,0
48,Chesssplayer21,Ukraine,2883,GM,7.5,69.0,7,1,0
49,vi_pranav,India,3032,GM,7.5,68.5,7,1,0
50,Gabrielian_Artur,Click here to see our stance on the war in Ukraine,2849,GM,7.5,68.5,7,1,0
51,ketster,Guatemala,2670,FM,7.5,67.0,7,1,0
52,GalaxyRoman,Ukraine,2771,FM,7.5,66.5,7,1,0
53,Zohid6,Uzbekistan,2922,IM,7.5,64.5,6,3,0
54,Tobias_Koelle,Germany,3090,IM,7.5,64.5,6,3,0
55,TigrVShlyape,United States,2868,GM,7.5,64.5,7,1,0
56,masruri_rahman,Indonesia,2815,FM,7.5,63.5,7,1,0
57,ContrVersia,Lithuania,2863,GM,7.5,63.0,6,3,0
58,Losingexperience,India,2726,IM,7.5,62.5,7,1,0
59,Boundless_Strike,Djibouti,2662,IM,7.5,62.0,7,1,0
60,federicosellitti,Taiwan,2642,NM,7.5,60.0,7,1,0
61,GeorgiosSouleidis,Greece,2710,IM,7.5,59.5,7,1,0
62,jakopogi,Philippines,2815,IM,7.5,58.0,5,5,0
63,CSB7,Hungary,2831,IM,7.5,57.0,7,1,0
64,tsaruk_maks,International,2926,IM,7.5,57.0,7,1,0
65,hakanazeri2,Nauru,2928,FM,7.5,56.5,7,1,0
66,GrigorGrigorov,Bulgaria,2855,GM,7.5,52.5,7,1,0
67,Yan_Dyomin2010,Ukraine,2811,CM,7.5,52.0,7,1,0
68,Eagle_2019,Kazakhstan,2869,IM,7.0,75.5,7,0,0
69,Franmu14,Argentina,2704,FM,7.0,74.5,6,2,0
70,Flawless_Fighter,Click here to see our stance on the war in Ukraine,2775,IM,7.0,73.0,6,2,0
71,the_chess_child,India,2932,IM,7.0,70.5,7,0,0
72,Bauman_Guy,International,3005,FM,7.0,70.5,6,2,0
73,Bob_2004,Click here to see our stance on the war in Ukraine,2510,FM,7.0,69.0,7,0,0
74,Slovineanu,Moldova,2580,IM,7.0,68.5,7,0,0
75,ahkashefi2800,Iran,2546,FM,7.0,68.0,7,0,0
76,scarabee43,France,2945,IM,7.0,68.0,6,2,0
77,alexrustemov,Click here to see our stance on the war in Ukraine,2879,GM,7.0,68.0,6,2,0
78,Witik,Click here to see our stance on the war in Ukraine,2807,FM,7.0,67.5,6,2,0
79,edgarhay012,Armenia,2756,FM,7.0,67.0,7,0,0
80,PeshkaCh,Ukraine,2871,FM,7.0,66.5,7,0,0
81,Zhigalko_Sergei,International,2974,GM,7.0,66.0,6,2,0
82,BogdanDeac,Romania,3033,GM,7.0,65.5,6,2,0
83,AnthonyWirig,France,2803,GM,7.0,63.0,6,2,0
84,Akewjon,Uzbekistan,2885,IM,7.0,62.5,7,0,0
85,bilosuvenosu06,Romania,2577,CM,7.0,62.0,6,2,0
86,DitmanSolo,Click here to see our stance on the war in Ukraine,2766,FM,7.0,62.0,6,2,0
87,DenisQ,Ukraine,2785,IM,7.0,62.0,7,0,0
88,vovachesss,International,2801,CM,7.0,62.0,7,0,0
89,Mikhail_Golubev,Ukraine,2724,GM,7.0,61.0,7,0,0
90,GMBenjaminFinegold,United States,2719,GM,7.0,61.0,6,2,0
91,DonkyDonkyDonkey,Türkiye,2964,IM,7.0,60.0,7,0,0
92,bazar-wokzal,International,2562,IM,7.0,59.5,7,0,0
93,ChessSwole,United States,2706,FM,7.0,59.0,6,2,0
94,Fomkin_Dmitry,Switzerland,2651,CM,7.0,59.0,6,2,0
95,only_strong_moves,Ukraine,2844,FM,7.0,58.5,6,2,0
96,Abund,China,2750,NM,7.0,58.0,7,0,0
97,Lennis93,United States,2726,IM,7.0,58.0,7,0,0
