rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Hikaru,United States,3223,GM,10.5,72.0,10,1,0
2,FabianoCaruana,United States,3158,GM,9.5,64.5,9,1,0
3,Shankland,United States,2904,GM,9.0,80.0,9,0,0
4,DanielNaroditsky,United States,3153,GM,9.0,74.0,8,2,0
5,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,9.0,73.0,8,2,0
6,LiemLe,Vietnam,3043,GM,9.0,70.5,9,0,0
7,h4parah5,Spain,2963,GM,9.0,69.5,9,0,0
8,Durarbayli,Azerbaijan,2863,GM,8.5,74.5,8,1,0
9,Oleksandr_Bortnyk,United States,3105,GM,8.5,73.0,8,1,0
10,Firouzja2003,France,3156,GM,8.5,70.5,7,3,0
11,kleinebeer98,Netherlands,2908,GM,8.5,69.0,8,1,0
12,Msb2,Germany,3132,GM,8.5,68.5,7,3,0
13,Jospem,Mexico,3078,GM,8.5,65.0,8,1,0
14,TigrVShlyape,United States,2902,GM,8.5,63.5,8,1,0
15,jcibarra,Spain,3034,GM,8.0,72.0,7,2,0
16,Szparu,Poland,2909,IM,8.0,70.5,8,0,0
17,artin10862,Iran,2943,FM,8.0,68.5,7,2,0
18,BogdanDeac,Romania,3066,GM,8.0,68.0,8,0,0
19,temus_galaktionov,Click here to see our stance on the war in Ukraine,2819,FM,8.0,67.0,7,2,0
20,sergiochess83,Hungary,2951,GM,8.0,67.0,7,2,0
21,Guriempire,Israel,2802,GM,8.0,66.0,7,2,0
22,mbojan,Bosnia-Herzegovina,2912,IM,8.0,66.0,8,0,0
23,SpeedofLight0,United States,3172,GM,8.0,64.0,7,2,0
24,Polish_fighter3000,Poland,3057,GM,8.0,62.5,8,0,0
25,Zhigalko_Sergei,International,2948,GM,8.0,60.5,8,0,0
26,Anton_Demchenko,Slovenia,3021,GM,8.0,58.5,8,0,0
27,marcodobrikov,Germany,2674,FM,8.0,58.5,8,0,0
28,ameetghasi100,United Kingdom,2721,IM,8.0,56.5,8,0,0
29,FairChess_on_YouTube,Maldives,3127,GM,8.0,56.0,7,2,0
30,BeanScreen,United States,2672,FM,8.0,43.0,8,0,0
31,HansOnTwitch,United States,3161,GM,7.5,72.5,7,1,0
32,dretch,United States,2862,GM,7.5,71.5,7,1,0
33,GothamChess,United States,2719,IM,7.5,68.5,7,1,0
34,Nimrod_Veinberg,United States,2836,IM,7.5,68.0,7,1,0
35,mishanick,Serbia,3040,GM,7.5,68.0,7,1,0
36,DonkyDonkyDonkey,Türkiye,2904,IM,7.5,65.5,7,1,0
