rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,MagnusCarlsen,Norway,3251,GM,11.0,78.5,11,0,0
2,FairChess_on_YouTube,Maldives,3127,GM,9.5,81.0,9,1,0
3,fireheart92,India,3030,GM,9.0,72.5,7,4,0
4,DanielNaroditsky,United States,3153,GM,9.0,72.5,9,0,0
5,Shankland,United States,2904,GM,9.0,71.0,9,0,0
6,Msb2,Germany,3132,GM,9.0,70.0,8,2,0
7,frederiksvane,Germany,3032,GM,8.5,74.5,7,3,0
8,jefferyx,United States,3122,GM,8.5,73.5,8,1,0
9,Hikaru,United States,3223,GM,8.5,72.5,7,3,0
10,MITerryble,Peru,3005,IM,8.5,70.5,8,1,0
11,spicycaterpillar,United States,3100,GM,8.5,68.5,8,1,0
12,FGHSMN,India,2868,GM,8.5,67.5,8,1,0
13,FaustinoOro,Argentina,3000,FM,8.5,62.5,8,1,0
14,Oleksandr_Bortnyk,United States,3100,GM,8.5,62.5,8,1,0
15,amanmuhammethommadov,Turkmenistan,2743,NM,8.5,62.0,8,1,0
16,Zurability,United States,2777,IM,8.5,58.5,8,1,0
17,DrVelja,Serbia,3003,GM,8.0,79.5,7,2,0
18,penguingm1,United States,3002,GM,8.0,75.0,8,0,0
19,rednova1729,United States,2954,GM,8.0,62.5,7,2,0
20,Kacparov,Poland,2952,IM,8.0,60.0,7,2,0
21,KaydenTroffChess,United States,2908,GM,8.0,59.5,8,0,0
22,hasagoodchesser,Türkiye,2724,FM,8.0,57.5,8,0,0
23,Jakhongir-Vakhidov,Uzbekistan,2999,GM,8.0,57.5,8,0,0
24,mishanick,Serbia,3040,GM,8.0,56.5,7,2,0
25,Rodalquilar,Argentina,2792,GM,8.0,55.5,8,0,0
26,AlexeiShirov,Spain,2831,GM,8.0,46.0,8,0,0
27,Beca95,Serbia,2905,GM,7.5,79.5,7,1,0
28,AryanTari,Norway,2970,GM,7.5,71.5,7,1,0
29,tjallkompall,Norway,2852,GM,7.5,70.5,7,1,0
30,TigrVShlyape,United States,2902,GM,7.5,68.5,7,1,0
31,rasmussvane,Germany,3000,GM,7.5,67.5,6,3,0
32,Kirill_Klukin,United Arab Emirates,2930,IM,7.5,67.0,6,3,0
33,GM_dmitrij,Germany,3105,GM,7.5,67.0,7,1,0
34,Zhigalko_Sergei,International,2948,GM,7.5,65.0,6,3,0
35,ArchitectAura,Slovenia,2766,IM,7.5,65.0,7,1,0
