rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,jefferyx,United States,2999,GM,10.0,71.0,9,2,0
2,Hikaru,United States,3324,GM,9.0,74.5,9,0,0
3,FabianoCaruana,United States,3166,GM,9.0,73.5,9,0,0
4,DanielNaroditsky,United States,3083,GM,9.0,71.0,8,2,0
5,Byniolus,Poland,2836,GM,9.0,70.5,8,2,0
6,OparinGrigoriy,United States,3035,GM,9.0,69.5,7,4,0
7,rednova1729,United States,3040,GM,9.0,67.5,8,2,0
8,Sanan_Sjugirov,Hungary,2994,GM,9.0,66.5,8,2,0
9,Msb2,Germany,3036,GM,9.0,65.5,9,0,0
10,GMBenjaminBok,Netherlands,3094,GM,9.0,60.0,7,4,0
11,FairChess_on_YouTube,Maldives,3130,GM,8.5,69.5,7,3,0
12,onyshchuk_v,Ukraine,2972,GM,8.5,64.0,8,1,0
13,MarcoRiehle,Germany,2748,FM,8.0,73.0,8,0,0
14,Vaathi_Coming,India,2998,GM,8.0,72.0,7,2,0
15,Marcan2b,France,3014,GM,8.0,71.5,8,0,0
16,Shankland,United States,2934,GM,8.0,71.0,7,2,0
17,ChristopherYoo,Tuvalu,3070,GM,8.0,71.0,8,0,0
18,Genghis_K,Argentina,2933,GM,8.0,70.0,7,2,0
19,mishanick,Serbia,3109,GM,8.0,70.0,8,0,0
20,Som2310,Poland,2930,GM,8.0,67.0,8,0,0
21,chess_master_8820,Iran,2819,FM,8.0,65.5,8,0,0
22,dretch,United States,2949,GM,8.0,65.0,8,0,0
23,rasmussvane,Germany,2986,GM,8.0,65.0,8,0,0
24,AryanTari,Norway,2990,GM,8.0,61.0,7,2,0
25,MiroMiljkovic,Serbia,2667,GM,8.0,60.5,8,0,0
26,mbojan,Bosnia-Herzegovina,2890,IM,8.0,57.5,8,0,0
27,TigrVShlyape,United States,2868,GM,8.0,56.0,7,2,0
28,Nemegejas,Lithuania,2830,GM,8.0,56.0,8,0,0
29,Thunderbolt135,International,2816,GM,8.0,51.5,7,2,0
30,Rud_Makarian,Click here to see our stance on the war in Ukraine,3076,IM,7.5,74.5,7,1,0
31,alexrustemov,Click here to see our stance on the war in Ukraine,2879,GM,7.5,70.5,7,1,0
32,rhungaski,United States,2638,GM,7.5,69.0,7,1,0
33,Zkid,United States,2925,GM,7.5,68.0,7,1,0
34,kflorian98,Hungary,2744,IM,7.5,63.5,7,1,0
35,GMKrikor,Brazil,2806,GM,7.5,62.0,6,3,0
36,bazar-wokzal,International,2562,IM,7.5,61.5,7,1,0
37,Konavets,United States,3189,GM,7.5,61.5,7,1,0
38,DryCounty,United States,2750,GM,7.5,60.5,7,1,0
39,Zhigalko_Sergei,International,2974,GM,7.5,59.0,7,1,0
40,bubeliang,Norway,2924,FM,7.5,56.5,6,3,0
41,AlleyOoper,Hungary,2719,IM,7.5,54.0,7,1,0
42,MKlose11,Spain,2705,FM,7.5,51.5,7,1,0
43,Gangster-accountant01,Iran,2954,FM,7.0,73.5,7,0,0
44,TanitoluwaAps116,Aland Islands,2784,FM,7.0,72.5,6,2,0
45,albi1999,Italy,2726,IM,7.0,71.5,6,2,0
