rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,BilodeauA,Austria,2912,GM,9.5,78.5,9,1,0
2,LyonBeast,France,3131,GM,9.5,70.0,9,1,0
3,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,9.0,75.0,7,4,0
4,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,9.0,72.5,8,2,0
5,Oleksandr_Bortnyk,United States,3109,GM,9.0,71.5,9,0,0
6,BogdanDeac,Romania,3066,GM,9.0,71.5,8,2,0
7,Jospem,Mexico,3078,GM,9.0,70.0,8,2,0
8,SpeedofLight0,United States,3172,GM,9.0,69.5,9,0,0
9,platy3,Spain,2921,GM,8.5,74.0,8,1,0
10,Hikaru,United States,3223,GM,8.5,73.5,7,3,0
11,HansOnTwitch,United States,3161,GM,8.5,70.5,6,5,0
12,Bigfish1995,Slovenia,3093,GM,8.5,62.5,7,3,0
13,Polish_fighter3000,Poland,3057,GM,8.5,54.5,8,1,0
14,Konavets,United States,3144,GM,8.5,52.0,8,1,0
15,FabianoCaruana,United States,3158,GM,8.0,78.0,7,2,0
16,Durarbayli,Azerbaijan,2863,GM,8.0,74.5,7,2,0
17,dretch,United States,2862,GM,8.0,73.0,8,0,0
18,LiemLe,Vietnam,3043,GM,8.0,72.0,7,2,0
19,GMBenjaminBok,Netherlands,3003,GM,8.0,71.5,6,4,0
20,Shankland,United States,2904,GM,8.0,70.5,7,2,0
21,TigrVShlyape,United States,2902,GM,8.0,69.5,7,2,0
22,h4parah5,Spain,2963,GM,8.0,69.0,7,2,0
23,Fandorine,Spain,2899,GM,8.0,68.0,7,2,0
24,Msb2,Germany,3132,GM,8.0,68.0,7,2,0
25,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,8.0,66.0,7,2,0
26,LiamPutnam2008,United States,3020,FM,8.0,65.0,7,2,0
27,FairChess_on_YouTube,Maldives,3127,GM,8.0,62.5,8,0,0
28,bazar-wokzal,International,2582,IM,8.0,62.0,8,0,0
29,lucliasco,Argentina,2851,IM,8.0,61.5,7,2,0
30,FMJoseHerrera,Spain,2772,FM,8.0,60.5,8,0,0
31,Zhigalko_Sergei,International,2948,GM,8.0,60.0,8,0,0
32,Genghis_K,Argentina,2928,GM,8.0,59.0,8,0,0
33,mishanick,Serbia,3040,GM,8.0,58.0,8,0,0
34,alexrustemov,Click here to see our stance on the war in Ukraine,2931,GM,8.0,48.0,7,2,0
35,jefferyx,United States,3122,GM,7.5,69.5,7,1,0
36,Hrant_ChessMood,Armenia,2963,GM,7.5,68.5,6,3,0
37,baki83,France,2916,GM,7.5,68.0,7,1,0
38,krzyzan94,Poland,2851,GM,7.5,65.5,7,1,0
39,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,7.5,63.5,6,3,0
40,Sl4werThanYou,Sweden,2714,IM,7.5,61.5,7,1,0
41,GianmarcoVaR,Peru,2866,IM,7.5,60.5,7,1,0
42,mbojan,Bosnia-Herzegovina,2912,IM,7.5,59.5,7,1,0
43,jcibarra,Spain,3034,GM,7.5,58.5,7,1,0
44,GMKrikor,Brazil,2878,GM,7.5,58.0,7,1,0
45,Flawless_Fighter,Click here to see our stance on the war in Ukraine,2701,IM,7.5,58.0,7,1,0
46,KaydenTroffChess,United States,2908,GM,7.5,54.5,6,3,0
47,ChristopherYoo,Tuvalu,3027,GM,7.0,69.5,7,0,0
48,A-Fier,Brazil,2809,GM,7.0,69.5,7,0,0
49,AryanTari,Norway,2970,GM,7.0,68.5,6,2,0
50,DeGrootteZ,Netherlands,2866,IM,7.0,66.5,6,2,0
51,BirdMaster3000,Brazil,2639,GM,7.0,65.5,7,0,0
52,sergiochess83,Hungary,2951,GM,7.0,65.5,6,2,0
53,tptagain,Spain,3031,GM,7.0,65.5,7,0,0
54,ChessQueen,International,2750,GM,7.0,65.5,7,0,0
55,vi_pranav,India,3158,GM,7.0,64.5,7,0,0
56,ChessSkool,Hungary,2728,GM,7.0,64.5,6,2,0
57,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,7.0,64.0,7,0,0
58,stollenmonster,Click here to see our stance on the war in Ukraine,2897,CM,7.0,63.0,7,0,0
59,dawid498,Poland,2702,FM,7.0,62.5,6,2,0
60,AlexeiShirov,Spain,2831,GM,7.0,62.5,7,0,0
61,GoltsevDmitry2000,Click here to see our stance on the war in Ukraine,2900,FM,7.0,61.5,6,2,0
62,Goryachkina,Click here to see our stance on the war in Ukraine,2677,GM,7.0,60.5,6,2,0
63,chegueps,Morocco,2606,IM,7.0,59.5,6,2,0
64,Njal28,Armenia,2958,GM,7.0,59.0,7,0,0
65,Jarrahi2452,Montenegro,2936,IM,7.0,58.0,6,2,0
66,Szparu,Poland,2909,IM,7.0,57.5,7,0,0
67,KacperKacprzak,Poland,2727,FM,7.0,57.5,7,0,0
68,temus_galaktionov,Click here to see our stance on the war in Ukraine,2819,FM,7.0,55.0,7,0,0
69,TanitoluwaAps116,United States,2662,FM,7.0,54.0,6,2,0
70,KNVB,Canada,2706,GM,7.0,53.5,7,0,0
71,kuli4ik,Click here to see our stance on the war in Ukraine,2914,GM,7.0,53.5,6,2,0
72,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,7.0,53.0,7,0,0
73,saikrishnaReturns,Canada,2698,IM,7.0,51.5,6,2,0
74,snowlord,International,2928,FM,7.0,51.0,6,2,0
75,ValeriyGrinev,Ukraine,2607,IM,7.0,49.0,7,0,0
76,traviscottofficial,United States,2793,NM,7.0,49.0,7,0,0
77,djano,Poland,2622,FM,7.0,45.5,7,0,0
78,Zavgorodniy_Sergiy,Ukraine,2560,IM,7.0,43.0,7,0,0
79,DeTimmerman,Netherlands,2729,IM,6.5,63.5,6,1,0
80,BardArtem,International,2833,FM,6.5,61.0,6,1,0
81,mightysmasher,United Kingdom,2487,CM,6.5,59.5,6,1,0
82,yaguigor,Click here to see our stance on the war in Ukraine,2555,GM,6.5,59.0,6,1,0
83,ArtemDyachuk,Ukraine,2691,FM,6.5,58.5,6,1,0
84,Miguelito,Spain,2833,GM,6.5,58.0,6,1,0
85,SergioMoralesG,Mexico,2511,FM,6.5,58.0,6,1,0
86,KarolKacprzak,Poland,2781,FM,6.5,57.5,6,1,0
87,Binary010,United States,2923,GM,6.5,57.0,6,1,0
88,Nf3c5,Brazil,2599,FM,6.5,56.0,6,1,0
89,deribas12345,Click here to see our stance on the war in Ukraine,2617,IM,6.5,55.5,6,1,0
90,kids2010,Poland,2685,FM,6.5,55.5,6,1,0
91,manitodeplomo,Chile,2670,IM,6.5,55.5,6,1,0
92,dennisodessa,Click here to see our stance on the war in Ukraine,2605,FM,6.5,53.5,6,1,0
93,Hilary46,Poland,2617,FM,6.5,52.0,6,1,0
94,sotochess,Peru,2477,FM,6.5,52.0,6,1,0
95,Flaccidmoves,United States,2474,NM,6.5,51.5,5,3,0
96,ninguno46,Argentina,2524,IM,6.5,49.5,5,3,0
97,xakevicius91,Catalonia,2582,FM,6.5,49.5,6,1,0
98,ProfessorChess101,Netherlands,2742,IM,6.5,49.5,6,1,0
99,GaiozNigalidze,Georgia,2766,IM,6.5,49.0,6,1,0
100,tgpgoat,United States,2541,CM,6.5,47.0,6,1,0
101,reevecanada,Canada,2648,CM,6.5,46.5,6,1,0
102,azikom,Azerbaijan,2716,GM,6.5,40.0,6,1,0
103,rhungaski,United States,2556,GM,6.0,69.0,6,0,0
