rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,9.5,72.5,8,3,0
2,Konavets,United States,3144,GM,9.5,68.5,9,1,0
3,lachesisQ,Click here to see our stance on the war in Ukraine,3161,GM,9.0,71.5,7,4,0
4,Njal28,Armenia,2958,GM,9.0,68.0,8,2,0
5,mishanick,Serbia,3040,GM,9.0,67.5,9,0,0
6,iturrizaga,Spain,2978,GM,9.0,65.5,9,0,0
7,BogdanDeac,Romania,3066,GM,9.0,64.5,9,0,0
8,FabianoCaruana,United States,3158,GM,9.0,62.0,8,2,0
9,Hikaru,United States,3223,GM,8.5,78.0,8,1,0
10,joppie2,Netherlands,3055,GM,8.5,74.0,8,1,0
11,LevonAronian,United States,3022,GM,8.5,71.0,7,3,0
12,Oleksandr_Bortnyk,United States,3109,GM,8.5,68.5,8,1,0
13,vi_pranav,India,3158,GM,8.5,68.0,8,1,0
14,amintabatabaei,Iran,3057,GM,8.5,65.0,8,1,0
15,ChristopherYoo,Tuvalu,3027,GM,8.5,63.5,8,1,0
16,Zhigalko_Sergei,International,2948,GM,8.0,73.5,7,2,0
17,DominguezOnYoutube,United States,2968,GM,8.0,73.5,7,2,0
18,FairChess_on_YouTube,Maldives,3127,GM,8.0,72.5,7,2,0
19,Fandorine,Spain,2899,GM,8.0,72.0,7,2,0
20,jefferyx,United States,3122,GM,8.0,70.0,7,2,0
21,mbojan,Bosnia-Herzegovina,2912,IM,8.0,69.5,8,0,0
22,rasmussvane,Germany,3000,GM,8.0,68.0,7,2,0
23,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.0,67.0,7,2,0
24,DanielNaroditsky,United States,3153,GM,8.0,65.5,6,4,0
25,Salem-AR,United Arab Emirates,3091,GM,8.0,65.0,7,2,0
26,SantoBlue,Türkiye,2845,GM,8.0,64.0,7,2,0
27,Eduard_Limonov,Click here to see our stance on the war in Ukraine,2947,IM,8.0,63.0,8,0,0
28,Abund,China,2694,NM,8.0,63.0,8,0,0
