rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,MagnusCarlsen,Norway,3251,GM,9.5,75.5,8,3,0
2,Hikaru,United States,3223,GM,9.0,78.0,8,2,0
3,FabianoCaruana,United States,3158,GM,9.0,77.5,8,2,0
4,Mykola-Bortnyk,United States,2971,IM,9.0,68.5,9,0,0
5,SpeedofLight0,United States,3172,GM,9.0,66.5,8,2,0
6,Msb2,Germany,3132,GM,9.0,64.5,8,2,0
7,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.5,73.5,8,1,0
8,mishanick,Serbia,3040,GM,8.5,71.5,8,1,0
9,rasmussvane,Germany,3000,GM,8.5,70.5,8,1,0
10,BogdanDeac,Romania,3066,GM,8.5,69.5,7,3,0
11,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.5,69.5,7,3,0
12,Parhamov,Iran,3078,GM,8.5,68.5,8,1,0
13,Firouzja2003,France,3156,GM,8.5,66.5,8,1,0
14,Jospem,Mexico,3078,GM,8.5,65.0,8,1,0
15,liczner,Poland,2972,IM,8.0,72.0,8,0,0
16,sergiochess83,Hungary,2943,GM,8.0,71.0,7,2,0
17,jcibarra,Spain,3034,GM,8.0,69.5,8,0,0
18,Rud_Makarian,Click here to see our stance on the war in Ukraine,3072,IM,8.0,67.5,8,0,0
19,GMRafpig,Brazil,2765,GM,8.0,67.0,7,2,0
20,xamax2000,Netherlands,2937,GM,8.0,66.5,7,2,0
21,Prizant_academy,Click here to see our stance on the war in Ukraine,3183,FM,8.0,66.5,8,0,0
22,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,8.0,66.0,8,0,0
23,mbojan,Bosnia-Herzegovina,2912,IM,8.0,65.0,7,2,0
24,Durarbayli,Azerbaijan,2863,GM,8.0,64.5,8,0,0
25,Matibar,Poland,2846,GM,8.0,63.5,8,0,0
26,Sam_ChessMood,Armenia,2919,GM,8.0,62.5,7,2,0
27,Fandorine,Spain,2899,GM,7.5,70.0,7,1,0
28,FairChess_on_YouTube,Maldives,3127,GM,7.5,68.0,7,1,0
29,Rodalquilar,Argentina,2792,GM,7.5,67.5,6,3,0
30,Zhigalko_Sergei,International,2948,GM,7.5,67.0,7,1,0
31,0gZPanda,United States,3103,IM,7.5,66.0,7,1,0
32,CarlosjPineror,Venezuela,2726,IM,7.5,66.0,7,1,0
33,farzadbfd,Iran,2700,FM,7.5,62.5,7,1,0
34,Polish_fighter3000,Poland,3057,GM,7.5,58.5,7,1,0
35,KaydenTroffChess,United States,2908,GM,7.5,55.5,7,1,0
36,krzyzan94,Poland,2851,GM,7.5,50.5,7,1,0
37,Al_Shima,Ukraine,2464,FM,7.5,46.5,6,3,0
38,Magila31,Serbia,2363,FM,7.0,68.0,7,0,0
39,Alphafischer2019,Argentina,2654,FM,7.0,67.0,6,2,0
40,Vsevolod_Ovchinnikov,Click here to see our stance on the war in Ukraine,2574,FM,7.0,66.5,6,2,0
41,alexrustemov,Click here to see our stance on the war in Ukraine,2939,GM,7.0,63.5,7,0,0
42,vi_pranav,India,3158,GM,7.0,62.5,6,2,0
43,RandomNoob04,Germany,2818,FM,7.0,62.5,7,0,0
44,Flawless_Fighter,Click here to see our stance on the war in Ukraine,2701,IM,7.0,61.5,7,0,0
45,amateurchess20,United States,2572,FM,7.0,60.5,6,2,0
46,Fantastic_Power,Click here to see our stance on the war in Ukraine,2664,FM,7.0,59.5,7,0,0
47,Malev212,United States,2605,GM,7.0,59.0,6,2,0
48,temiksmozg,Ukraine,2719,GM,7.0,58.5,7,0,0
49,newyorkmouse,United States,2630,NM,7.0,57.5,7,0,0
50,MiFerz44,Click here to see our stance on the war in Ukraine,2802,IM,7.0,57.0,7,0,0
51,GiorgianBarbosa,Brazil,2502,FM,7.0,56.5,5,4,0
52,Aborigen_came,Ukraine,2660,NM,7.0,56.0,6,2,0
53,Ali_rastbod,Iran,2730,FM,7.0,55.5,7,0,0
54,ChessicallyInclined,United States,2706,FM,7.0,55.0,7,0,0
55,Grebeniuk-S,Ukraine,2575,NM,7.0,54.0,7,0,0
56,benny_aizenberg,Israel,Unrated,IM,7.0,54.0,7,0,0
57,Nf3c5,Brazil,2599,FM,7.0,52.5,7,0,0
58,GothamChess,United States,2719,IM,7.0,51.0,7,0,0
59,XiaoKangZhong,Canada,2600,CM,7.0,51.0,7,0,0
60,Keeper0416,Mongolia,2568,FM,7.0,51.0,7,0,0
61,bazar-wokzal,International,2582,IM,7.0,44.0,7,0,0
62,MrKooshaChess_Twitch,Canada,2775,CM,6.5,64.0,6,1,0
63,Aygehovit1992,International,2742,GM,6.5,63.0,6,1,0
64,viktorskliarov,Ukraine,2668,IM,6.5,62.5,5,3,0
65,komogro,Curacao,2482,CM,6.5,61.0,6,1,0
66,seramoral,Spain,2670,FM,6.5,60.5,6,1,0
67,lamomiajunior,Argentina,2704,IM,6.5,60.0,6,1,0
68,Zavgorodniy_Sergiy,Ukraine,2560,IM,6.5,60.0,6,1,0
69,FaustinoOro,Argentina,3000,FM,6.5,59.0,6,1,0
70,MFatigue,France,2507,FM,6.5,56.5,6,1,0
71,HajiyevKanan,Azerbaijan,2608,FM,6.5,56.5,6,1,0
72,PDybala10,Argentina,2677,IM,6.5,55.5,5,3,0
73,brm72,Ukraine,2704,NM,6.5,54.5,6,1,0
74,IgorBjelobrk,Australia,2635,IM,6.5,53.5,6,1,0
75,Pitomina,Venezuela,2550,FM,6.5,52.5,6,1,0
76,Langua_Chess,International,2432,FM,6.5,51.0,6,1,0
77,Cambek64,Ukraine,2500,FM,6.5,50.5,6,1,0
78,manmanlai1,Germany,2566,IM,6.5,48.5,6,1,0
79,djano,Poland,2622,FM,6.5,47.5,6,1,0
80,andrzej,Poland,2417,CM,6.0,62.5,6,0,0
81,cande_francisco,Argentina,2559,WGM,6.0,58.5,6,0,0
82,Journey_to_GrandMaster_YT,Germany,2754,IM,6.0,58.5,6,0,0
83,GMForgacs,Hungary,2405,FM,6.0,58.5,5,2,0
84,Berardino,Brazil,2707,IM,6.0,58.5,6,0,0
