rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,9.5,76.5,9,1,0
2,Hikaru,United States,3223,GM,9.5,75.5,8,3,0
3,Oleksandr_Bortnyk,United States,3105,GM,9.0,75.0,9,0,0
4,mishanick,Serbia,3040,GM,9.0,73.5,8,2,0
5,wonderfultime,Vietnam,3031,GM,9.0,70.5,9,0,0
6,TigrVShlyape,United States,2902,GM,9.0,67.5,7,4,0
7,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,9.0,67.5,8,2,0
8,Zhigalko_Sergei,International,2948,GM,9.0,63.5,8,2,0
9,OparinGrigoriy,United States,3019,GM,9.0,63.0,8,2,0
10,MagnusCarlsen,Norway,3251,GM,8.5,70.5,8,1,0
11,Bauman_Guy,International,2977,FM,8.5,68.5,8,1,0
12,Msb2,Germany,3132,GM,8.5,68.0,7,3,0
13,DanielNaroditsky,United States,3153,GM,8.5,65.5,8,1,0
14,K_A_S_T_O_R,Chile,2876,GM,8.5,64.5,8,1,0
15,FairChess_on_YouTube,Maldives,3127,GM,8.5,61.5,7,3,0
16,KaydenTroffChess,United States,2908,GM,8.5,58.0,8,1,0
17,SpeedofLight0,United States,3172,GM,8.5,53.0,8,1,0
18,Polish_fighter3000,Poland,3057,GM,8.0,73.5,7,2,0
19,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,8.0,73.0,7,2,0
20,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,8.0,71.5,8,0,0
21,HansOnTwitch,United States,3161,GM,8.0,71.5,7,2,0
22,GHANDEEVAM2003,India,3046,GM,8.0,71.5,8,0,0
23,nihalsarin,Chile,3226,GM,8.0,70.5,8,0,0
24,vladislavkovalev,International,2935,GM,8.0,67.5,7,2,0
25,temus_galaktionov,Click here to see our stance on the war in Ukraine,2819,FM,8.0,63.5,7,2,0
26,Byniolus,Poland,2772,GM,8.0,63.5,8,0,0
27,BardArtem,International,2833,FM,8.0,60.5,7,2,0
28,ZverevLev,Click here to see our stance on the war in Ukraine,2776,FM,8.0,60.5,7,2,0
29,edgarhay012,Armenia,2678,FM,8.0,58.5,8,0,0
30,Maus7,Germany,2686,IM,8.0,58.5,8,0,0
31,Rutricks,Spain,2692,IM,8.0,55.5,8,0,0
32,ReadySkate,Iran,2864,FM,8.0,45.5,8,0,0
33,jcibarra,Spain,3034,GM,7.5,74.5,7,1,0
34,artin10862,Iran,2943,FM,7.5,70.0,7,1,0
35,SchmakAttack,United States,2778,IM,7.5,69.5,7,1,0
36,alexrustemov,Click here to see our stance on the war in Ukraine,2931,GM,7.5,69.0,7,1,0
37,tptagain,Spain,3031,GM,7.5,68.0,7,1,0
38,AlexeiShirov,Spain,2831,GM,7.5,68.0,7,1,0
39,legendisback1,Türkiye,3027,IM,7.5,67.0,7,1,0
40,js20000,Slovenia,2752,GM,7.5,67.0,7,1,0
41,vi_pranav,India,3158,GM,7.5,66.5,7,1,0
42,Bryanl106,United States,2707,NM,7.5,62.0,7,1,0
43,evgchess5,Click here to see our stance on the war in Ukraine,2885,GM,7.5,61.0,6,3,0
44,rasmussvane,Germany,3000,GM,7.5,58.5,7,1,0
45,JG1me,Poland,2570,FM,7.5,57.5,7,1,0
46,Mysterio47,India,2824,FM,7.5,56.5,6,3,0
47,monomita,India,2802,IM,7.5,55.0,7,1,0
48,SRob2003,Ukraine,2636,FM,7.5,53.0,7,1,0
