rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,MagnusCarlsen,Norway,3251,GM,9.5,76.0,9,1,0
2,xxysoul6,China,2989,GM,9.5,76.0,8,3,0
3,GHANDEEVAM2003,India,3046,GM,9.5,65.5,9,1,0
4,Oleksandr_Bortnyk,United States,3109,GM,9.0,78.0,9,0,0
5,jefferyx,United States,3122,GM,9.0,73.0,9,0,0
6,Harsha_Bharathakoti,India,2925,GM,9.0,71.5,9,0,0
7,FabianoCaruana,United States,3158,GM,9.0,68.0,8,2,0
8,Jospem,Mexico,3078,GM,9.0,65.0,8,2,0
9,Sanan_Sjugirov,Hungary,3025,GM,9.0,62.5,9,0,0
10,SpeedofLight0,United States,3172,GM,9.0,59.5,9,0,0
11,Polish_fighter3000,Poland,3057,GM,8.5,81.0,8,1,0
12,mitrabhaa,India,2966,GM,8.5,72.0,8,1,0
13,GMBenjaminBok,Netherlands,3003,GM,8.5,66.0,8,1,0
14,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,8.5,64.5,8,1,0
15,Hikaru,United States,3223,GM,8.5,60.5,8,1,0
16,DanielNaroditsky,United States,3153,GM,8.0,77.5,7,2,0
17,platy3,Spain,2921,GM,8.0,77.0,8,0,0
18,Sargsyan_Shant,Armenia,2970,GM,8.0,73.0,8,0,0
19,KuzubovYuriy,Ukraine,2962,GM,8.0,69.5,8,0,0
20,Rud_Makarian,Click here to see our stance on the war in Ukraine,3072,IM,8.0,69.0,7,2,0
21,Zohid6,Türkiye,2955,IM,8.0,68.5,8,0,0
22,nihalsarin,Chile,3226,GM,8.0,67.5,7,2,0
23,Kampkatten,Denmark,2854,GM,8.0,67.0,8,0,0
24,Fandorine,Spain,2899,GM,8.0,66.0,7,2,0
25,Zhigalko_Sergei,International,2948,GM,8.0,66.0,8,0,0
26,AlexTruskavetsky,Click here to see our stance on the war in Ukraine,2724,IM,8.0,64.5,8,0,0
27,GoltsevDmitry2000,Click here to see our stance on the war in Ukraine,2900,FM,8.0,63.0,7,2,0
28,stollenmonster,Click here to see our stance on the war in Ukraine,2897,CM,8.0,62.5,8,0,0
29,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.0,62.0,5,6,0
30,MetiForce,Iran,2908,IM,8.0,61.0,8,0,0
31,BardArtem,International,2833,FM,8.0,60.5,8,0,0
32,Vladimir_Zakhartsov,Click here to see our stance on the war in Ukraine,2910,GM,8.0,59.5,7,2,0
33,TigrVShlyape,United States,2902,GM,8.0,58.5,7,2,0
34,GMKrikor,Brazil,2878,GM,8.0,58.5,8,0,0
35,NikoTheodorou,Greece,3152,GM,8.0,57.0,8,0,0
36,ckgchess,Türkiye,2849,GM,8.0,48.5,8,0,0
37,FairChess_on_YouTube,Maldives,3127,GM,7.5,75.0,6,3,0
38,mishanick,Serbia,3040,GM,7.5,74.5,7,1,0
39,ContrVersia,Lithuania,2909,GM,7.5,70.5,7,1,0
40,Durarbayli,Azerbaijan,2863,GM,7.5,67.5,7,1,0
41,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,7.5,67.0,7,1,0
42,TregubovP,France,2675,GM,7.5,65.0,7,1,0
43,VitaliyBernadskiy,Ukraine,2824,GM,7.5,64.0,7,1,0
44,Byniolus,Poland,2772,GM,7.5,63.5,7,1,0
45,M1711,Norway,2653,IM,7.5,63.0,7,1,0
46,atbenina64,Iran,2777,IM,7.5,62.5,7,1,0
47,Blitzstream,France,2822,NM,7.5,60.0,7,1,0
48,KNVB,Canada,2706,GM,7.5,59.5,7,1,0
49,DeTimmerman,Netherlands,2729,IM,7.5,56.5,7,1,0
50,Szparu,Poland,2909,IM,7.5,56.5,7,1,0
51,ameetghasi100,United Kingdom,2721,IM,7.5,55.0,7,1,0
52,Orest_Vovk,Ukraine,2553,FM,7.5,53.5,7,1,0
53,DFeco,Hungary,2452,FM,7.5,51.5,7,1,0
54,Igrok3069,Click here to see our stance on the war in Ukraine,2872,GM,7.0,70.5,7,0,0
55,Marcan2b,France,2779,GM,7.0,70.0,7,0,0
56,AlexeiShirov,Spain,2831,GM,7.0,70.0,5,4,0
57,mbojan,Bosnia-Herzegovina,2912,IM,7.0,69.0,6,2,0
58,Njal28,Armenia,2958,GM,7.0,67.0,6,2,0
59,GodzillaChessYoutube,Click here to see our stance on the war in Ukraine,2678,FM,7.0,66.5,7,0,0
60,KaydenTroffChess,United States,2908,GM,7.0,65.0,6,2,0
61,Fonsofan,Spain,2830,IM,7.0,64.0,7,0,0
62,AryanTari,Norway,2970,GM,7.0,64.0,7,0,0
63,Evandro_Barbosa,Brazil,2712,GM,7.0,64.0,7,0,0
64,Dhaydon19,England,2696,FM,7.0,63.5,7,0,0
65,ChristopherYoo,Tuvalu,3027,GM,7.0,63.0,6,2,0
66,ShadowKing71,Aruba,2886,FM,7.0,62.5,7,0,0
67,Mikhail_Bryakin,Serbia,2806,GM,7.0,62.5,6,2,0
68,kingofthenil,France,2784,IM,7.0,62.0,7,0,0
69,Stanbad1,England,2603,CM,7.0,61.5,7,0,0
70,sergiochess83,Hungary,2951,GM,7.0,61.5,7,0,0
71,manitodeplomo,Chile,2670,IM,7.0,61.5,7,0,0
72,ArmanGhevondyanchess,Armenia,2693,CM,7.0,60.5,7,0,0
73,CarlosjPineror,Venezuela,2726,IM,7.0,60.0,7,0,0
74,jcibarra,Spain,3034,GM,7.0,60.0,6,2,0
75,Romkachess,Canada,2592,NM,7.0,59.0,7,0,0
76,Goryachkina,Click here to see our stance on the war in Ukraine,2677,GM,7.0,56.5,6,2,0
77,DavidGavrilescu18,Romania,2810,GM,7.0,56.0,7,0,0
78,Jagerrmeisterr,Cyprus,2650,FM,7.0,54.5,7,0,0
79,ozates,Türkiye,2669,FM,7.0,53.0,7,0,0
80,Rawnsdale,United States,2454,NM,7.0,52.0,6,2,0
81,Yan_Dyomin2010,Ukraine,2800,CM,7.0,50.5,6,2,0
82,gympod,United States,2455,NM,7.0,50.0,7,0,0
83,MalyDominator,Nauru,2575,FM,7.0,46.5,7,0,0
84,mbachez,India,2603,IM,6.5,67.5,6,1,0
85,dawid498,Poland,2702,FM,6.5,65.0,6,1,0
86,aistrel,Israel,2703,FM,6.5,63.5,6,1,0
87,newyorkmouse,United States,2630,NM,6.5,63.0,6,1,0
88,SoltaniciR,Moldova,2636,IM,6.5,63.0,6,1,0
89,xasid81,Israel,2659,IM,6.5,62.5,6,1,0
90,HajiyevKanan,Azerbaijan,2608,FM,6.5,62.0,6,1,0
91,MightyMike_009,Uzbekistan,2714,CM,6.5,62.0,6,1,0
92,DamianoLew95,Poland,2716,IM,6.5,60.5,6,1,0
93,TheKnightOfBosnia,Bosnia-Herzegovina,2516,FM,6.5,60.0,6,1,0
94,MikaelyanArman,United States,2889,GM,6.5,59.5,5,3,0
95,Heydarli77,Azerbaijan,2455,IM,6.5,59.0,5,3,0
96,yaguigor,Click here to see our stance on the war in Ukraine,2555,GM,6.5,58.0,6,1,0
97,mind1mover,Serbia,2748,IM,6.5,58.0,5,3,0
98,Mikhail_Golubev,Ukraine,2761,GM,6.5,57.5,5,3,0
99,rychessmaster1,United States,2829,FM,6.5,57.5,6,1,0
100,I-Mesquita,Brazil,2733,NM,6.5,57.5,4,5,0
101,Slovak_fighter2000,Czech Republic,2566,FM,6.5,57.0,6,1,0
102,djano,Poland,2622,FM,6.5,56.5,6,1,0
103,GM_shahin,Iran,2749,GM,6.5,56.0,6,1,0
104,nabukatnezarr,Türkiye,2658,IM,6.5,54.5,6,1,0
105,LangesNasenhaar,Germany,2495,FM,6.5,54.0,6,1,0
106,Bastiandash,Paraguay,2662,FM,6.5,53.5,6,1,0
107,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,6.5,49.0,4,5,0
108,rodp92,Paraguay,2604,NM,6.5,48.5,6,1,0
109,Revan_2002,Azerbaijan,2664,FM,6.5,48.5,6,1,0
110,azikom,Azerbaijan,2716,GM,6.5,47.0,6,1,0
111,Meri-Arabidze,Georgia,2673,IM,6.5,47.0,6,1,0
112,RichardLeyvaP,Cuba,2661,IM,6.5,44.0,6,1,0
113,chess94cu,Cuba,2647,IM,6.0,70.5,6,0,0
114,Vaathi_Coming,India,2950,GM,6.0,70.0,6,0,0
115,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,6.0,61.0,6,0,0
116,CuteSheepCloud,Canada,2657,NM,6.0,60.5,6,0,0
117,Bilan_Danila,International,2558,FM,6.0,59.0,6,0,0
118,Baronessa08,Seychelles,2587,IM,6.0,58.0,6,0,0
119,FredddieCroderg,Basque Country,2207,FM,6.0,58.0,6,0,0
120,BerlinDrawer,Pakistan,2512,NM,6.0,57.5,6,0,0
121,Sinquefield,Canary Islands,2522,FM,6.0,57.0,5,2,0
122,Alexei_Gubajdullin,International,2650,FM,6.0,57.0,5,2,0
123,Evgeny81,Israel,2754,GM,6.0,56.5,6,0,0
124,Zq1,United States,2551,GM,6.0,56.5,5,2,0
125,Statham,South Africa,2723,CM,6.0,56.5,6,0,0
126,bescmelasti,Germany,2587,IM,6.0,56.0,5,2,0
127,FaustinoOro,Argentina,3000,FM,6.0,55.5,5,2,0
128,Mikasinski,Serbia,2735,FM,6.0,54.0,6,0,0
129,mightysmasher,United Kingdom,2487,CM,6.0,54.0,6,0,0
130,RantomOpening,Norway,2738,CM,6.0,54.0,5,2,0
131,Bryanl106,United States,2707,NM,6.0,53.5,6,0,0
132,prochn,Poland,2465,FM,6.0,53.5,5,2,0
133,AsterPhoenix,Belgium,2627,FM,6.0,52.5,6,0,0
134,Vahe_Danielyan,Armenia,2713,IM,6.0,52.5,5,2,0
135,hell3raiser,Click here to see our stance on the war in Ukraine,2409,IM,6.0,52.0,5,2,0
136,diamonds13,Greece,2330,WIM,6.0,52.0,6,0,0
137,Adar_07,Türkiye,2729,IM,6.0,52.0,6,0,0
138,NoSpaghettiForYou,Canada,2548,NM,6.0,52.0,6,0,0
139,Heliosis11,Canada,2413,CM,6.0,51.5,6,0,0
140,AccioChess,India,2544,IM,6.0,51.5,6,0,0
141,andrzej,Poland,2417,CM,6.0,50.0,5,2,0
142,alexrustemov,Click here to see our stance on the war in Ukraine,2931,GM,6.0,49.5,5,2,0
143,rhungaski,United States,2556,GM,6.0,49.0,6,0,0
144,Dr_Pepper18,Click here to see our stance on the war in Ukraine,2508,FM,6.0,47.0,6,0,0
145,bazar-wokzal,International,2582,IM,6.0,47.0,5,2,0
146,subham777,United States,2541,NM,6.0,44.0,5,2,0
147,Viktor_Poddubnyi,International,2319,FM,6.0,43.0,6,0,0
148,EsmeraldasAnderson03,Ecuador,2550,FM,5.5,65.5,5,1,0
149,Irishchessman16,Ireland,2548,IM,5.5,60.0,5,1,0
150,DryCounty,United States,2644,GM,5.5,58.0,5,1,0
151,JoakimVonAnd,Denmark,2744,IM,5.5,58.0,5,1,0
152,AlexPapasimakopoulos,Greece,2822,FM,5.5,57.0,5,1,0
153,TheRigos,Czech Republic,2623,FM,5.5,54.5,4,3,0
154,BabageldiAnnaberdiyev,Türkiye,2632,FM,5.5,54.5,4,3,0
155,Zampronha1971,Brazil,2436,NM,5.5,54.0,5,1,0
156,angelgab3,Colombia,2682,FM,5.5,54.0,5,1,0
157,sansanathalia,United States,2429,WFM,5.5,52.5,5,1,0
158,zverr1,England,2532,CM,5.5,52.0,5,1,0
159,Kumi29,Poland,2568,CM,5.5,52.0,5,1,0
160,GlavkonVVS,Click here to see our stance on the war in Ukraine,2609,FM,5.5,51.5,5,1,0
161,Alex_Banzea,Romania,2697,IM,5.5,51.0,5,1,0
162,nindjaxx8,Argentina,2685,FM,5.5,49.5,5,1,0
163,Narek_Ghimoyan,Armenia,2602,CM,5.5,49.0,5,1,0
164,ninguno46,Argentina,2524,IM,5.5,49.0,5,1,0
165,Lion-Al-Messi,Norway,2619,FM,5.5,48.5,5,1,0
166,ViktoriyaTarasova,Click here to see our stance on the war in Ukraine,2298,WIM,5.5,48.0,4,3,0
167,liwadas82,Poland,2449,NM,5.5,47.5,5,1,0
168,tolimachess,Colombia,2258,FM,5.5,47.5,5,1,0
169,Eloist,Germany,2444,FM,5.5,47.0,4,3,0
170,A4RookA3,United States,2506,FM,5.5,46.5,4,3,0
171,VD_coach,Armenia,2604,FM,5.5,46.5,4,3,0
172,Yurovskykh_Oleksandr,Ukraine,2587,FM,5.5,46.0,5,1,0
173,MusicCityMaster,United States,2473,FM,5.5,46.0,5,1,0
174,Chempiblinka,Click here to see our stance on the war in Ukraine,2314,WFM,5.5,46.0,5,1,0
175,kriscacco,Italy,2189,FM,5.5,45.5,5,1,0
176,Roedor,Chile,2397,CM,5.5,45.0,5,1,0
177,Payyappat,India,2425,FM,5.5,45.0,5,1,0
178,jaskol95,Uganda,2702,CM,5.5,43.5,5,1,0
179,ExchangeAB,Germany,2442,CM,5.5,43.0,3,5,0
180,secretsuperstar7,Ireland,2511,WIM,5.5,39.5,5,1,0
181,stepanosinovsky,Click here to see our stance on the war in Ukraine,2374,CM,5.5,38.0,5,1,0
182,teresin05,Peru,2341,WFM,5.5,34.5,5,1,0
183,Keks2017,Israel,2591,IM,5.0,62.0,4,2,0
184,joksijoksi,Serbia,2567,WIM,5.0,56.5,5,0,0
185,IMchanged,Romania,2805,FM,5.0,56.0,5,0,0
186,ChessSwole,United States,2800,FM,5.0,54.0,4,2,0
187,ATM622,Malta,2531,CM,5.0,53.0,5,0,0
188,HandKnit,Canada,2502,CM,5.0,53.0,4,2,0
189,Likvidator228,International,2602,FM,5.0,52.0,4,2,0
190,malakismayil,Azerbaijan,2637,WFM,5.0,50.5,5,0,0
191,only_strong_moves,Ukraine,2721,FM,5.0,50.0,5,0,0
192,dolynachess,Ukraine,2535,CM,5.0,50.0,4,2,0
193,Bugcrusher,Lithuania,2514,FM,5.0,49.5,4,2,0
194,kleber2007,Germany,2501,FM,5.0,49.5,5,0,0
195,ZachHKL,Canada,2454,NM,5.0,49.0,5,0,0
196,woodhy,Italy,2512,FM,5.0,48.5,5,0,0
197,Inepton_Fermion,European Union,2383,FM,5.0,47.5,5,0,0
198,Schattman,Italy,2520,FM,5.0,47.5,4,2,0
199,Vadim_Galchenko,Finland,2581,NM,5.0,46.5,5,0,0
200,Piriflillo,Spain,2522,FM,5.0,46.0,5,0,0
201,Shahdad2007,Iran,2526,CM,5.0,45.5,4,2,0
202,HaryKane,United States,2522,NM,5.0,44.5,4,2,0
203,uzkuzk,United States,2449,NM,5.0,44.0,5,0,0
204,ChempionBg,Azerbaijan,2193,FM,5.0,43.0,4,2,0
205,Supelyel,Dominican Republic,2429,NM,5.0,42.0,3,4,0
