rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Hikaru,United States,3223,GM,9.5,69.0,9,1,0
2,jefferyx,United States,3122,GM,9.5,65.5,9,1,0
3,Oleksandr_Bortnyk,United States,3109,GM,9.0,77.0,8,2,0
4,Njal28,Armenia,2958,GM,9.0,69.0,8,2,0
5,Msb2,Germany,3132,GM,9.0,68.0,7,4,0
6,German_Bazeev,Click here to see our stance on the war in Ukraine,2836,FM,9.0,61.5,9,0,0
7,vi_pranav,India,3158,GM,8.5,71.5,8,1,0
8,TRadjabov,Azerbaijan,3075,GM,8.5,69.5,7,3,0
9,joppie2,Netherlands,3055,GM,8.5,68.5,8,1,0
10,FairChess_on_YouTube,Maldives,3127,GM,8.5,68.0,7,3,0
11,AryanTari,Norway,2970,GM,8.5,68.0,8,1,0
12,dropstoneDP,Click here to see our stance on the war in Ukraine,3088,GM,8.5,62.5,8,1,0
13,JSPrepz,Norway,2799,GM,8.0,72.0,7,2,0
14,eljanov,Ukraine,2880,GM,8.0,69.5,8,0,0
15,TigrVShlyape,United States,2902,GM,8.0,64.5,7,2,0
16,BogdanDeac,Romania,3066,GM,8.0,64.0,7,2,0
17,Elsa167,Croatia,2782,GM,8.0,63.5,8,0,0
18,alexrustemov,Click here to see our stance on the war in Ukraine,2931,GM,8.0,61.5,7,2,0
19,Zhigalko_Sergei,International,2948,GM,8.0,61.0,8,0,0
20,K_A_S_T_O_R,Chile,2876,GM,8.0,58.5,8,0,0
21,jcibarra,Spain,3034,GM,8.0,57.0,7,2,0
22,mbojan,Bosnia-Herzegovina,2912,IM,8.0,53.5,7,2,0
23,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,7.5,75.5,6,3,0
24,Angry_Twin,Japan,2934,GM,7.5,71.5,7,1,0
25,Andrei_Skvortsov,Montenegro,2838,CM,7.5,68.0,7,1,0
26,ChristopherYoo,Tuvalu,3027,GM,7.5,62.5,7,1,0
27,Hrant_ChessMood,Armenia,2963,GM,7.5,61.5,7,1,0
28,Alex_Sahakyan2006,Armenia,2742,FM,7.5,61.0,6,3,0
29,kingofthenil,France,2784,IM,7.5,56.0,7,1,0
30,Tomytoteph,Catalonia,2604,IM,7.5,53.5,7,1,0
31,Rodalquilar,Argentina,2792,GM,7.0,69.5,7,0,0
32,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,7.0,67.5,7,0,0
33,Aradhya2000,India,2798,IM,7.0,67.0,6,2,0
34,gahryman,Turkmenistan,2627,GM,7.0,66.5,6,2,0
35,NateSolon,United States,2597,FM,7.0,61.5,7,0,0
36,GHANDEEVAM2003,India,3046,GM,7.0,61.0,7,0,0
37,DuleMudule,Serbia,2765,GM,7.0,60.5,7,0,0
38,Goryachkina,Click here to see our stance on the war in Ukraine,2677,GM,7.0,59.5,6,2,0
39,RodokininEV,Mexico,2678,NM,7.0,58.5,6,2,0
40,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,7.0,58.5,7,0,0
41,IMRosen,Germany,2726,IM,7.0,58.0,6,2,0
42,GothamChess,United States,2719,IM,7.0,58.0,7,0,0
43,rasmussvane,Germany,3000,GM,7.0,58.0,7,0,0
44,vladgoncharov,Click here to see our stance on the war in Ukraine,2597,NM,7.0,57.5,7,0,0
45,zajka-molotok,Ukraine,2593,IM,7.0,57.0,7,0,0
46,djano,Poland,2622,FM,7.0,55.5,7,0,0
47,temiksmozg,Ukraine,2719,GM,7.0,55.0,6,2,0
48,DamianoLew95,Poland,2716,IM,7.0,52.0,6,2,0
49,KNVB,Canada,2706,GM,7.0,51.0,7,0,0
50,Sic_Transit_GM,Moldova,2552,GM,7.0,49.0,6,2,0
51,bazar-wokzal,International,2582,IM,7.0,48.5,6,2,0
52,Likvidator228,International,2602,FM,7.0,46.5,6,2,0
53,Meri-Arabidze,Georgia,2673,IM,7.0,43.0,7,0,0
54,Byniolus,Poland,2772,GM,6.5,63.0,6,1,0
55,CSB7,Hungary,2803,IM,6.5,60.0,5,3,0
56,MKlose11,Spain,2736,FM,6.5,59.5,6,1,0
57,ChessSwole,United States,2800,FM,6.5,59.5,6,1,0
