rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Oleksandr_Bortnyk,United States,3056,GM,9.5,76.5,9,1,0
2,Hikaru,United States,3324,GM,9.5,73.5,9,1,0
3,MagnusCarlsen,Norway,3256,GM,9.0,77.5,8,2,0
4,OparinGrigoriy,United States,3035,GM,9.0,71.0,8,2,0
5,dropstoneDP,Click here to see our stance on the war in Ukraine,3076,GM,9.0,71.0,7,4,0
6,FairChess_on_YouTube,Maldives,3130,GM,9.0,65.5,9,0,0
7,GoltsevDmitry2000,Click here to see our stance on the war in Ukraine,2829,FM,9.0,62.5,9,0,0
8,Annawel,France,3026,GM,9.0,55.0,8,2,0
9,Jospem,Mexico,3080,GM,8.5,79.0,8,1,0
10,DenLaz,Click here to see our stance on the war in Ukraine,3161,GM,8.5,72.0,8,1,0
11,TigrVShlyape,United States,2868,GM,8.5,66.5,8,1,0
12,Abund,China,2750,NM,8.5,63.5,8,1,0
13,Gabrielian_Artur,Click here to see our stance on the war in Ukraine,2849,GM,8.0,75.5,8,0,0
14,DanielNaroditsky,United States,3083,GM,8.0,74.0,7,2,0
15,Shankland,United States,2934,GM,8.0,71.0,7,2,0
16,SpeedofLight0,United States,3069,GM,8.0,71.0,8,0,0
17,jcibarra,Spain,2950,GM,8.0,70.5,8,0,0
18,artin10862,Iran,2983,FM,8.0,70.5,7,2,0
19,GMKrikor,Brazil,2806,GM,8.0,69.0,8,0,0
20,Zhigalko_Sergei,International,2974,GM,8.0,69.0,7,2,0
21,nihalsarin,India,3124,GM,8.0,67.5,8,0,0
22,JakubPulpan,Czech Republic,2798,IM,8.0,66.0,8,0,0
23,evgchess5,Click here to see our stance on the war in Ukraine,2907,GM,8.0,65.5,8,0,0
24,Ajedrez_de_Locos,Cuba,2897,IM,8.0,65.5,8,0,0
25,kingofthenil,France,2951,IM,8.0,64.0,8,0,0
26,ChristopherYoo,Tuvalu,3070,GM,8.0,62.0,8,0,0
27,dretch,United States,2949,GM,8.0,61.0,7,2,0
28,wonderfultime,Vietnam,3063,GM,8.0,57.0,7,2,0
29,Kirill_Klukin,Serbia,2927,IM,7.5,72.0,6,3,0
30,Rud_Makarian,Click here to see our stance on the war in Ukraine,3076,IM,7.5,70.5,7,1,0
31,Szparu,Poland,2831,IM,7.5,68.5,7,1,0
32,Alexander_Khlebovich,Click here to see our stance on the war in Ukraine,2815,IM,7.5,67.0,6,3,0
33,Fandorine,Spain,2997,GM,7.5,67.0,7,1,0
34,alexrustemov,Click here to see our stance on the war in Ukraine,2879,GM,7.5,66.0,6,3,0
35,Bauman_Guy,International,3005,FM,7.5,64.5,6,3,0
36,Gangsterrito,Click here to see our stance on the war in Ukraine,2633,FM,7.5,64.0,7,1,0
37,AlexeiShirov,Spain,2936,GM,7.5,62.5,7,1,0
38,Peng_Li-Min,Switzerland,2737,GM,7.5,62.0,6,3,0
39,Seochesspie,Sweden,2925,IM,7.5,60.5,7,1,0
