white_rank,white_username,white_elo,result,black_rank,black_username,black_elo,filename,date,day,month,year,white_result,black_result,type
GM,MagnusCarlsen,3313,1 - 0,IM,lupta_robin,2656,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Oleksandr_Bortnyk,3111,0 - 1,IM,Macron20hTF1,2564,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
WFM,Lady_Nika,2540,0 - 1,GM,mishanick,3038,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Shield12,2952,1 - 0,NM,noblerone,2540,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
IM,chessllermo,2520,½ - ½,GM,dropstoneDP,3010,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,½,½,early
NM,Itay121,2529,0 - 1,IM,MITerryble,3011,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,Silent-Killer100,2608,1 - 0,GM,wonderfultime,3083,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
GM,Robert_Chessmood,3005,1 - 0,FM,Schattman,2524,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
CM,DanylaBagrov,2583,0 - 1,GM,Prizant_academy,3183,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
FM,Skatchkov_V,2802,0 - 1,GM,MagnusCarlsen,3313,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
GM,Polish_fighter3000,3057,1 - 0,FM,Bykov_Egor,2687,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,1,0,early
FM,GlavkonVVS,2674,0 - 1,GM,DenLaz,3104,early-titled-tuesday-blitz-april-02-2024-4663138_pairings,april-02-2024,2,april,2024,0,1,early
