username,white_wins,black_wins,white_games,black_games,total_wins,total_games,win_proportion_white,win_proportion_black,win_proportion
01Roman,20.0,14.0,42.0,41.0,34.0,83.0,0.47619047619047616,0.34146341463414637,0.40963855421686746
03revilo,1.0,0.0,3.0,2.0,1.0,5.0,0.3333333333333333,0.0,0.2
0815original,11.0,13.0,26.0,27.0,24.0,53.0,0.4230769230769231,0.48148148148148145,0.4528301886792453
0gZPanda,4.0,4.0,6.0,5.0,8.0,11.0,0.6666666666666666,0.8,0.7272727272727273
0ne_M0ve,14.0,7.0,32.0,28.0,21.0,60.0,0.4375,0.25,0.35
10n0l20,9.0,9.0,20.0,21.0,18.0,41.0,0.45,0.42857142857142855,0.43902439024390244
124chess,4.0,3.0,6.0,5.0,7.0,11.0,0.6666666666666666,0.6,0.6363636363636364
1800_strength,50.0,45.0,81.0,74.0,95.0,155.0,0.6172839506172839,0.6081081081081081,0.6129032258064516
1977Ivan,16.0,17.0,27.0,27.0,33.0,54.0,0.5925925925925926,0.6296296296296297,0.6111111111111112
1982lf,5.0,6.0,9.0,7.0,11.0,16.0,0.5555555555555556,0.8571428571428571,0.6875
1_Corinthians_15-57,9.0,5.0,25.0,16.0,14.0,41.0,0.36,0.3125,0.34146341463414637
1d4_1-0,3.0,2.0,6.0,5.0,5.0,11.0,0.5,0.4,0.45454545454545453
1g60-1,53.0,40.0,116.0,111.0,93.0,227.0,0.45689655172413796,0.36036036036036034,0.40969162995594716
1mbl4,43.0,34.0,74.0,71.0,77.0,145.0,0.581081081081081,0.4788732394366197,0.5310344827586206
1stSecond,15.0,20.0,29.0,31.0,35.0,60.0,0.5172413793103449,0.6451612903225806,0.5833333333333334
2346PL,20.0,19.0,55.0,53.0,39.0,108.0,0.36363636363636365,0.3584905660377358,0.3611111111111111
24pablo209,8.0,14.0,26.0,23.0,22.0,49.0,0.3076923076923077,0.6086956521739131,0.4489795918367347
2Coaches1Profile,37.0,32.0,71.0,75.0,69.0,146.0,0.5211267605633803,0.4266666666666667,0.4726027397260274
2KRK1,4.0,1.0,5.0,5.0,5.0,10.0,0.8,0.2,0.5
2KTNGO,16.0,16.0,27.0,25.0,32.0,52.0,0.5925925925925926,0.64,0.6153846153846154
2L8IWUN,5.0,3.0,21.0,20.0,8.0,41.0,0.23809523809523808,0.15,0.1951219512195122
2bf41-0,14.0,12.0,22.0,20.0,26.0,42.0,0.6363636363636364,0.6,0.6190476190476191
3Ke31-0,10.0,7.0,21.0,19.0,17.0,40.0,0.47619047619047616,0.3684210526315789,0.425
50Tugrik,1.0,1.0,3.0,4.0,2.0,7.0,0.3333333333333333,0.25,0.2857142857142857
A-Fier,25.0,29.0,47.0,50.0,54.0,97.0,0.5319148936170213,0.58,0.5567010309278351
A4RookA3,62.0,57.0,166.0,165.0,119.0,331.0,0.37349397590361444,0.34545454545454546,0.3595166163141994
AA95,25.0,18.0,57.0,49.0,43.0,106.0,0.43859649122807015,0.3673469387755102,0.4056603773584906
ACH19,5.0,3.0,8.0,7.0,8.0,15.0,0.625,0.42857142857142855,0.5333333333333333
AC_20,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.5
ACollins05,87.0,87.0,216.0,219.0,174.0,435.0,0.4027777777777778,0.3972602739726027,0.4
AD0406,11.0,3.0,23.0,27.0,14.0,50.0,0.4782608695652174,0.1111111111111111,0.28
AEMEffi,11.0,4.0,27.0,28.0,15.0,55.0,0.4074074074074074,0.14285714285714285,0.2727272727272727
AGUS2007,1.0,6.0,9.0,15.0,7.0,24.0,0.1111111111111111,0.4,0.2916666666666667
AGW2016,24.0,21.0,51.0,48.0,45.0,99.0,0.47058823529411764,0.4375,0.45454545454545453
ALBERT_KLOC,4.0,4.0,13.0,12.0,8.0,25.0,0.3076923076923077,0.3333333333333333,0.32
ALRS-SPS,5.0,8.0,29.0,31.0,13.0,60.0,0.1724137931034483,0.25806451612903225,0.21666666666666667
APOKALIPSA13,18.0,20.0,60.0,64.0,38.0,124.0,0.3,0.3125,0.3064516129032258
APotatoInthekitchen,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.5
ARMQUEEN,5.0,4.0,12.0,15.0,9.0,27.0,0.4166666666666667,0.26666666666666666,0.3333333333333333
ARTHURMOTIVATOR,4.0,2.0,6.0,5.0,6.0,11.0,0.6666666666666666,0.4,0.5454545454545454
ASABA8892,7.0,3.0,10.0,13.0,10.0,23.0,0.7,0.23076923076923078,0.43478260869565216
ASKA538,3.0,3.0,15.0,15.0,6.0,30.0,0.2,0.2,0.2
ASLU,2.0,2.0,5.0,8.0,4.0,13.0,0.4,0.25,0.3076923076923077
ASVZ,10.0,4.0,19.0,16.0,14.0,35.0,0.5263157894736842,0.25,0.4
ATM622,162.0,152.0,366.0,370.0,314.0,736.0,0.4426229508196721,0.41081081081081083,0.4266304347826087
Aalessia,3.0,4.0,13.0,13.0,7.0,26.0,0.23076923076923078,0.3076923076923077,0.2692307692307692
Aaradhya_Das-03,4.0,1.0,8.0,7.0,5.0,15.0,0.5,0.14285714285714285,0.3333333333333333
AaravDenglaOfficial,41.0,32.0,67.0,76.0,73.0,143.0,0.6119402985074627,0.42105263157894735,0.5104895104895105
Aariow,5.0,4.0,14.0,11.0,9.0,25.0,0.35714285714285715,0.36363636363636365,0.36
Aaron080803,4.0,3.0,5.0,6.0,7.0,11.0,0.8,0.5,0.6363636363636364
Aash20,9.0,3.0,20.0,17.0,12.0,37.0,0.45,0.17647058823529413,0.32432432432432434
AbasovN,10.0,7.0,16.0,12.0,17.0,28.0,0.625,0.5833333333333334,0.6071428571428571
AbdulovOrkhan,2.0,3.0,4.0,7.0,5.0,11.0,0.5,0.42857142857142855,0.45454545454545453
Abduzhaparov,34.0,35.0,79.0,76.0,69.0,155.0,0.43037974683544306,0.4605263157894737,0.44516129032258067
Abhishek2,2.0,4.0,5.0,10.0,6.0,15.0,0.4,0.4,0.4
Aborigen_came,5.0,2.0,6.0,5.0,7.0,11.0,0.8333333333333334,0.4,0.6363636363636364
AbsoluteCinema420,9.0,5.0,18.0,17.0,14.0,35.0,0.5,0.29411764705882354,0.4
Abu-AlHussein,1.0,0.0,3.0,2.0,1.0,5.0,0.3333333333333333,0.0,0.2
Abund,180.0,180.0,308.0,304.0,360.0,612.0,0.5844155844155844,0.5921052631578947,0.5882352941176471
Accidental-genius13,10.0,12.0,26.0,25.0,22.0,51.0,0.38461538461538464,0.48,0.43137254901960786
AccioChess,59.0,63.0,135.0,146.0,122.0,281.0,0.43703703703703706,0.4315068493150685,0.43416370106761565
AcostaPablo,13.0,20.0,28.0,33.0,33.0,61.0,0.4642857142857143,0.6060606060606061,0.5409836065573771
AcsinteMatei,2.0,2.0,5.0,6.0,4.0,11.0,0.4,0.3333333333333333,0.36363636363636365
Actuary44,58.0,57.0,138.0,146.0,115.0,284.0,0.42028985507246375,0.3904109589041096,0.40492957746478875
Acva-Alenok,31.0,24.0,73.0,83.0,55.0,156.0,0.4246575342465753,0.2891566265060241,0.3525641025641026
Adar_07,117.0,100.0,189.0,182.0,217.0,371.0,0.6190476190476191,0.5494505494505495,0.5849056603773585
Adekrisna123,1.0,1.0,3.0,3.0,2.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Adham_Fawzy,2.0,1.0,3.0,2.0,3.0,5.0,0.6666666666666666,0.5,0.6
Adham_Hossam2011,22.0,23.0,69.0,64.0,45.0,133.0,0.3188405797101449,0.359375,0.3383458646616541
Adrian-thorsen,3.0,4.0,19.0,21.0,7.0,40.0,0.15789473684210525,0.19047619047619047,0.175
AdrianConde,1.0,0.0,4.0,3.0,1.0,7.0,0.25,0.0,0.14285714285714285
AdrianaPalao,1.0,0.0,3.0,5.0,1.0,8.0,0.3333333333333333,0.0,0.125
AdvanceGuard4,3.0,1.0,5.0,5.0,4.0,10.0,0.6,0.2,0.4
Aemulus20,14.0,15.0,29.0,29.0,29.0,58.0,0.4827586206896552,0.5172413793103449,0.5
Agent-JL,9.0,10.0,35.0,32.0,19.0,67.0,0.2571428571428571,0.3125,0.2835820895522388
Agentxya,7.0,6.0,17.0,18.0,13.0,35.0,0.4117647058823529,0.3333333333333333,0.37142857142857144
Aggressus,3.0,3.0,7.0,8.0,6.0,15.0,0.42857142857142855,0.375,0.4
Agibileg,89.0,74.0,158.0,157.0,163.0,315.0,0.5632911392405063,0.4713375796178344,0.5174603174603175
Agoking701,4.0,3.0,7.0,8.0,7.0,15.0,0.5714285714285714,0.375,0.4666666666666667
Aguiar94,19.0,20.0,32.0,30.0,39.0,62.0,0.59375,0.6666666666666666,0.6290322580645161
Agustin_Meza,16.0,10.0,46.0,45.0,26.0,91.0,0.34782608695652173,0.2222222222222222,0.2857142857142857
Aiaru-01,13.0,19.0,51.0,48.0,32.0,99.0,0.2549019607843137,0.3958333333333333,0.32323232323232326
Airquake,28.0,20.0,46.0,47.0,48.0,93.0,0.6086956521739131,0.425531914893617,0.5161290322580645
Aisen1011,26.0,26.0,84.0,85.0,52.0,169.0,0.30952380952380953,0.3058823529411765,0.3076923076923077
Ajedrecista3000,8.0,7.0,13.0,15.0,15.0,28.0,0.6153846153846154,0.4666666666666667,0.5357142857142857
AjedrezInteligente,15.0,18.0,40.0,41.0,33.0,81.0,0.375,0.43902439024390244,0.4074074074074074
Ajedrez_con_German,58.0,61.0,127.0,131.0,119.0,258.0,0.4566929133858268,0.46564885496183206,0.46124031007751937
Ajedrez_de_Locos,12.0,8.0,17.0,16.0,20.0,33.0,0.7058823529411765,0.5,0.6060606060606061
AjedrezconPeter,49.0,38.0,112.0,101.0,87.0,213.0,0.4375,0.37623762376237624,0.4084507042253521
AjedrezenMadrid,10.0,12.0,24.0,28.0,22.0,52.0,0.4166666666666667,0.42857142857142855,0.4230769230769231
AkatsukiLogHorizon,11.0,8.0,29.0,27.0,19.0,56.0,0.3793103448275862,0.2962962962962963,0.3392857142857143
