leagueid,match_id,radiant_team_id,radiant.name,radiant.tag,radiant_score,dire_team_id,dire.name,dire.tag,dire_score,radiant_win,start_date_time
16059,7875129338,8629318.0,Mad Monkeys,Mm,9,8629324.0,Swift Knights,Sk,27,False,2024-08-01 03:24:34
16708,7875314713,8944230.0,Yangon Galacticos,YG,8,350190.0,Ascent Esports,Ascent,27,False,2024-08-01 08:00:37
16953,7875331515,9449748.0,DMS,DMS,28,9403748.0,Dragon Esports Club,DEC,6,True,2024-08-01 08:12:02
16059,7875337751,8629005.0,Flawless Goblins,Fg,39,8629324.0,Swift Knights,Sk,21,True,2024-08-01 08:18:20
16312,7875345268,8864178.0,Marvelous Warriors,MW,34,9332046.0,Dominatrix,DMX,10,True,2024-08-01 08:24:08
16945,7875347186,9466547.0,Chain Lighting,CL,40,9466553.0,ShadowSpecter,SS,20,True,2024-08-01 08:26:09
16901,7875349666,8261500.0,Xtreme Gaming,XG,11,36.0,Natus Vincere,NAVI,29,False,2024-08-01 08:28:57
16945,7875373813,9466553.0,ShadowSpecter,SS,37,9466547.0,Chain Lighting,CL,17,True,2024-08-01 08:54:32
15898,7875374752,9271759.0,MONTE ,MONTE ,23,9366989.0,Vrooomy.io,Vrooomy.io,12,True,2024-08-01 09:01:14
16059,7875377045,8629324.0,Swift Knights,Sk,38,8629005.0,Flawless Goblins,Fg,12,True,2024-08-01 08:59:49
16708,7875378292,350190.0,Ascent Esports,Ascent,17,8944230.0,Yangon Galacticos,YG,31,False,2024-08-01 08:59:16
16312,7875383878,9332046.0,Dominatrix,DMX,40,8864178.0,Marvelous Warriors,MW,30,True,2024-08-01 09:05:11
16953,7875394718,9449748.0,DMS,DMS,38,9403748.0,Dragon Esports Club,DEC,8,True,2024-08-01 09:17:56
16901,7875409422,8261500.0,Xtreme Gaming,XG,24,36.0,Natus Vincere,NAVI,20,True,2024-08-01 09:34:13
16059,7875416182,8629005.0,Flawless Goblins,Fg,37,8629324.0,Swift Knights,Sk,19,True,2024-08-01 09:39:11
15901,7875426649,9487084.0,EYE Gaming,EYE,28,9481730.0,Elite Eclipse,,52,False,2024-08-01 09:47:47
16312,7875434327,8893837.0,Parallel eSports,PeS,26,9332059.0,Ninja Bros,N,21,True,2024-08-01 09:54:38
15898,7875445798,9366989.0,Vrooomy.io,Vrooomy.io,24,9271759.0,MONTE ,MONTE ,25,True,2024-08-01 10:05:47
16059,7875463420,8629318.0,Mad Monkeys,Mm,33,8629014.0,Dragon Blood,DB,15,True,2024-08-01 10:23:29
16708,7875466852,9449931.0,,,34,9394949.0,MAG Garuda,MAG.GA,12,True,2024-08-01 10:30:13
16312,7875490303,9332059.0,Ninja Bros,N,33,8893837.0,Parallel eSports,PeS,40,False,2024-08-01 10:46:09
15901,7875492180,9481730.0,Elite Eclipse,,61,9487084.0,EYE Gaming,EYE,31,True,2024-08-01 10:47:44
16953,7875505240,9303665.0,NextUp,NXTU,10,9360651.0,Dandelions,DL,43,False,2024-08-01 11:00:25
16059,7875512306,8629014.0,Dragon Blood,DB,31,8629318.0,Mad Monkeys,Mm,39,False,2024-08-01 11:07:25
15898,7875525951,9366989.0,Vrooomy.io,Vrooomy.io,16,9271759.0,MONTE ,MONTE ,28,False,2024-08-01 11:24:51
16901,7875533879,8597976.0,Talon,TALON,37,8724984.0,Virtus.pro,VP,21,True,2024-08-01 11:35:06
16708,7875565230,9449931.0,,,36,9394949.0,MAG Garuda,MAG.GA,15,True,2024-08-01 11:46:27
