leagueid,match_id,radiant_team_id,radiant.name,radiant.tag,radiant_score,dire_team_id,dire.name,dire.tag,dire_score,radiant_win
14659,6946804781,,,,26,,,,13,True
14659,6946831126,,,,35,,,,29,True
14659,6946866675,,,,45,,,,23,True
14659,6946901254,,,,26,,,,15,True
14659,6946963144,,,,23,,,,16,True
14659,6946999141,,,,8,,,,31,False
14659,6947055162,,,,14,,,,34,False
14659,6947109699,,,,36,,,,13,True
14659,6947166291,,,,0,,,,0,False
14659,6947173900,,,,30,,,,47,False
14659,6947237459,,,,35,,,,15,True
14565,6947699518,,,,35,,,,50,False
14565,6947793080,,,,51,,,,22,True
14565,6947885612,,,,52,,,,34,True
14565,6947952638,,,,23,,,,47,False
14664,6947973505,,,,41,,,,23,True
14664,6948030779,,,,33,,,,34,True
14664,6948105554,,,,23,,,,47,False
14664,6948166308,,,,26,,,,16,True
14664,6948219195,,,,22,,,,36,False
14664,6948267108,,,,41,,,,42,False
14664,6948315830,,,,23,,,,41,False
14664,6948346706,,,,26,,,,41,False
14904,6948542037,,,,56,,,,47,True
14659,6948551622,,,,13,,,,29,False
14812,6948557325,,,,67,,,,39,True
14894,6948564342,,,,16,,,,35,False
14659,6948590806,,,,39,,,,19,True
14894,6948600829,,,,40,,,,30,True
14812,6948604530,,,,23,,,,66,False
14904,6948609119,,,,45,,,,46,False
14659,6948632476,,,,39,,,,21,True
14894,6948646175,,,,30,,,,47,False
14812,6948653802,,,,58,,,,66,False
14904,6948681218,,,,29,,,,22,True
14659,6948688197,,,,32,,,,34,True
14894,6948694945,,,,36,,,,50,False
14812,6948708312,,,,50,,,,65,True
14826,6948713127,,,,56,,,,45,True
14894,6948747065,,,,40,,,,17,True
14904,6948751126,,,,22,,,,40,False
14659,6948753786,,,,20,,,,36,False
14826,6948781826,,,,43,,,,20,True
14894,6948796042,,,,40,,,,45,False
14659,6948811800,,,,34,,,,39,True
14826,6948837809,,,,47,,,,46,True
14894,6948856377,,,,50,,,,59,False
14659,6948886111,,,,24,,,,42,False
14826,6948910259,,,,43,,,,62,False
14894,6948929681,,,,14,,,,45,False
14913,6948945185,,,,33,,,,9,True
14659,6948959725,,,,39,,,,33,True
14565,6948978133,,,,60,,,,43,True
14894,6948994623,,,,42,,,,41,False
14913,6949012511,,,,18,,,,40,False
14659,6949025892,,,,27,,,,14,True
14894,6949056912,,,,50,,,,58,False
14565,6949083768,,,,25,,,,62,False
14659,6949088121,,,,20,,,,27,False
14913,6949102774,,,,46,,,,44,False
14894,6949150993,,,,42,,,,26,True
14565,6949221165,,,,10,,,,37,False
14913,6949279807,,,,51,,,,56,False
14565,6949308254,,,,41,,,,35,False
14565,6949443289,,,,26,,,,47,False
14913,6949453066,,,,58,,,,44,True
14565,6949551974,,,,17,,,,46,False
14664,6949554607,,,,11,,,,28,False
14913,6949603337,,,,59,,,,56,False
14664,6949636415,,,,23,,,,32,False
14850,6949644772,,,,29,,,,60,False
14565,6949648894,,,,16,,,,42,False
14850,6949715671,,,,27,,,,35,False
14565,6949716181,,,,62,,,,35,True
14664,6949728252,,,,34,,,,20,True
14913,6949737803,,,,15,,,,51,False
14664,6949818738,,,,15,,,,22,False
14913,6949823064,,,,33,,,,6,True
14850,6949831703,,,,26,,,,13,True
14565,6949832025,,,,11,,,,41,False
14664,6949878920,,,,38,,,,24,True
14850,6949893593,,,,24,,,,40,False
14565,6949901649,,,,33,,,,45,False
14664,6949965621,,,,21,,,,31,False
14850,6949976697,,,,53,,,,29,True
14565,6949979305,,,,38,,,,52,False
14664,6950029088,,,,19,,,,34,False
14850,6950054087,,,,40,,,,50,False
14664,6950078202,,,,23,,,,18,True
14904,6950314702,,,,18,,,,53,False
14812,6950321682,,,,73,,,,91,False
14659,6950322878,,,,23,,,,17,True
14894,6950323385,,,,17,,,,31,False
14659,6950355958,,,,10,,,,24,False
14894,6950356852,,,,31,,,,47,False
14904,6950359864,,,,53,,,,19,True
14812,6950369931,,,,83,,,,61,True
14659,6950388266,,,,31,,,,12,True
14894,6950390191,,,,18,,,,40,False
14904,6950401200,,,,40,,,,13,True
14870,6950402182,,,,38,,,,23,True
14812,6950416370,,,,74,,,,76,False
14659,6950418865,,,,18,,,,31,False
14894,6950427600,,,,12,,,,38,False
14870,6950443267,,,,39,,,,53,False
14904,6950454116,,,,22,,,,36,False
14659,6950456438,,,,39,,,,51,False
14894,6950463660,,,,38,,,,51,False
14894,6950509994,,,,26,,,,33,False
14870,6950511137,,,,47,,,,16,True
14659,6950516618,,,,31,,,,32,False
14904,6950521058,,,,14,,,,39,False
14894,6950559013,,,,34,,,,13,True
