"version","match_id","leagueid","start_date_time","duration","cluster","replay_salt","radiant_win","pre_game_duration","match_seq_num","tower_status_radiant","tower_status_dire","barracks_status_radiant","barracks_status_dire","first_blood_time","lobby_type","human_players","game_mode","flags","engine","radiant_score","dire_score","radiant_team_id","radiant_logo","radiant_team_complete","dire_team_id","dire_logo","dire_team_complete","radiant_captain","dire_captain","patch","region","throw","loss","comeback","stomp","replay_url","series_id","series_type"
21.0,7875129338,16059,"2024-08-01 03:24:34",1659,272,650760948.0,False,90,6626806760,"'0000011100000111'","'0000011110110100'","'00110011'","'00111111'",265,1,10,2,5,1,9,27,8629318.0,2.50801811205341e+18,1.0,8629324.0,2.5181454307872276e+18,1.0,1190298611.0,1173255449.0,55,3.0,"","",979.0,12379.0,"http://replay272.valve.net/570/7875129338_650760948.dem.bz2",894915.0,1.0
21.0,7875314713,16708,"2024-08-01 08:00:37",1578,151,1728684367.0,False,90,6626966180,"'0000011000000000'","'0000011110110110'","'00000011'","'00111111'",0,1,10,2,5,1,8,27,8944230.0,2.473119197018013e+18,1.0,350190.0,2.540675016074434e+18,0.0,1125296112.0,324045303.0,55,5.0,"","",451.0,16214.0,"http://replay151.valve.net/570/7875314713_1728684367.dem.bz2",894941.0,1.0
21.0,7875331515,16953,"2024-08-01 08:12:02",1317,271,1996888425.0,True,90,6626975311,"'0000011111111111'","'0000011000000110'","'00111111'","'00000011'",246,1,10,2,5,1,28,6,9449748.0,2.4551046316292844e+18,0.0,9403748.0,2.4674932497171625e+18,1.0,417235485.0,349569834.0,55,3.0,0.0,19109.0,"","","http://replay271.valve.net/570/7875331515_1996888425.dem.bz2",894945.0,1.0
21.0,7875337751,16059,"2024-08-01 08:18:20",1733,273,15778112.0,True,90,6626975777,"'0000011110110111'","'0000011110000110'","'00111111'","'00111111'",201,1,10,2,5,1,39,21,8629005.0,1.9720440230379745e+18,1.0,8629324.0,2.518145430787228e+18,1.0,1227183303.0,76082922.0,55,3.0,5622.0,11936.0,"","","http://replay273.valve.net/570/7875337751_15778112.dem.bz2",894946.0,1.0
21.0,7875345268,16312,"2024-08-01 08:24:08",1599,273,732737721.0,True,90,6626980202,"'0000011110111111'","'0000011000000100'","'00111111'","'00000011'",68,1,10,2,5,1,34,10,8864178.0,2.289583009755689e+18,0.0,9332046.0,2.443836672845546e+18,1.0,1470752474.0,1669907942.0,55,3.0,1814.0,15406.0,"","","http://replay273.valve.net/570/7875345268_732737721.dem.bz2",894940.0,1.0
21.0,7875347186,16945,"2024-08-01 08:26:09",1225,381,2050927617.0,True,90,6626973048,"'0000011110110110'","'0000011100000110'","'00111111'","'00111111'",108,1,10,2,5,1,40,20,9466547.0,2.5181593794167844e+18,0.0,9466553.0,2.5249124173894364e+18,0.0,200133366.0,150869345.0,55,"",1724.0,12934.0,"","","http://replay381.valve.net/570/7875347186_2050927617.dem.bz2",894944.0,1.0
21.0,7875349666,16901,"2024-08-01 08:28:57",2303,232,1585024387.0,False,90,6626995074,"'0000011100000100'","'0000011000110100'","'00110111'","'00011111'",147,1,10,2,5,1,11,29,8261500.0,2.5023967807316337e+18,1.0,36.0,1.8357766130648988e+18,0.0,143693439.0,111030315.0,55,25.0,"","",2930.0,9361.0,"http://replay232.valve.net/570/7875349666_1585024387.dem.bz2",894936.0,1.0
21.0,7875373813,16945,"2024-08-01 08:54:32",1287,251,974881771.0,True,90,6626994338,"'0000011110110111'","'0000011110000000'","'00111111'","'00110000'",16,1,10,2,5,1,37,17,9466553.0,2.5249124173894364e+18,0.0,9466547.0,2.5181593794167844e+18,0.0,218844218.0,200133366.0,55,15.0,660.0,14311.0,"","","http://replay251.valve.net/570/7875373813_974881771.dem.bz2",894944.0,1.0
21.0,7875374752,15898,"2024-08-01 09:01:14",2160,274,981544048.0,True,90,6627019713,"'0000011100110111'","'0000000000000000'","'00111111'","'00000000'",293,1,10,2,5,1,23,12,9271759.0,2.297461440058923e+18,1.0,9366989.0,2.503520317052255e+18,1.0,276449590.0,175350492.0,55,3.0,404.0,15928.0,"","","http://replay274.valve.net/570/7875374752_981544048.dem.bz2",894948.0,1.0
21.0,7875377045,16059,"2024-08-01 08:59:49",1460,273,669834757.0,True,90,6627005399,"'0000011110111111'","'0000011110100100'","'00111111'","'00111111'",130,1,10,2,5,1,38,12,8629324.0,2.518145430787228e+18,1.0,8629005.0,1.9720440230379745e+18,1.0,1194935883.0,928499811.0,55,3.0,2157.0,20446.0,"","","http://replay273.valve.net/570/7875377045_669834757.dem.bz2",894946.0,1.0
