Team ID,Team,OpenDota Rating,Wins,Losses,Tag
2163,Team Liquid,1634.2,1456,980,Liquid
9247354,Team Falcons,1600.37,231,84,FLCN
8291895,Tundra Esports,1590.79,440,280,Tundra
8599101,Gaimin Gladiators,1528.82,413,268,GG
7412785,CyberBonch-1,1520.12,267,1,CB
8261500,Xtreme Gaming,1509.72,329,289,XG
8605863,Cloud9,1497.49,326,243,C9
8574561,Azure Ray,1490.42,291,203,AR
7119388,Team Spirit,1470.92,596,415,TSpirit
9255706,Aurora.1xBet,1455.86,86,67,Aurora
5228654,VGJ Storm,1450.04,79,36,VGJ.Storm
8255888,BetBoom Team,1441.64,338,297,BetBoom
5026801,,1429.8,176,116,
9131584,BB Team,1425.03,26,17,BB
8728920,nouns,1415.79,276,201,nouns
8169775,Geek Fam,1407.57,448,368,Geek
8121295,mudgolems,1403.61,37,9,.
8260983,TSM,1402.96,291,206,TSM
3214108,Team NP,1401.12,136,90,NP
2519319,(monkey) Business,1389.0,45,16,(monkey)
7819701,VP.Prodigy,1381.67,76,40,VP.P
9142866,Business Club,1380.6,133,25,bs
7554697,Nigma Galaxy,1378.12,389,350,NGX
8571960,Team Orca,1377.16,111,58,Orca
8597976,Talon,1374.81,340,235,TALON
5,Invictus Gaming,1371.82,1478,1116,iG
8894818,PSG.Quest,1366.22,249,168,Quest
9303484,HEROIC,1365.23,109,90,Heroic
2101260,BigGooooood,1360.39,35,17,BG
8721219,Darkside,1349.97,83,54,Darkside
2586976,OG,1348.76,1085,727,OG
6953913,FlyToMoon,1342.56,176,140,FTM
8244493,Team SMG,1341.27,267,214,SMG
8597391,Luna Galaxy,1339.16,185,151,LXG
1848158,LV-Gaming,1338.35,46,29,Lv
9303383,L1GA TEAM,1336.98,132,85,L1
999689,Titan,1336.72,182,87,Titan
9255039,1w Team,1326.85,171,122,1w
8255756,Evil Geniuses,1323.54,270,264,EG
6214538,Newbee,1323.25,115,95,Newbee
5229127,Winstrike,1317.83,55,40,Winstrike
4251435,w33ha earthspirit,1314.81,52,41,
543897,Mineski,1311.7,587,503,Mineski
9080405,Team Zero,1310.81,117,79,Tz
6382242,Thunder Predator,1310.12,275,163,ThunderP
1910985,TeamMalaysia,1306.77,90,39,MY
9187066,Team Tickles,1299.72,82,57,TT
3922738, Thunder Awaken ///,1298.86,49,18,Thunder
8204512,Neptune Gaming,1296.55,216,125,NG
9467224,Aurora Gaming,1295.41,28,32,Aurora
15,LGD Gaming,1293.71,1748,1089,LGD
8261818,Hellbear Smashers,1290.79,108,69,SMASH
9018710,Holy Grail,1290.56,59,40,HG
1820360,TEAMERINO TINKERINO,1289.92,127,108,TT
7553952,Chicken Fighters !,1284.91,75,41,ChFight!
293390,Radical Online X-tremists,1284.02,194,188,RoX.KIS
7203342,Chaos EC,1283.86,43,34,CHAOS
1047281,Speed Gaming International,1282.72,51,29,SPG.int
9498970,AVULUS,1282.43,61,26,AVULUS
9248240,TeamWaska,1281.24,32,17,WaSka
8168562,INK ICE,1280.05,29,8,
7748744,CR4ZY,1278.99,120,95,CR4ZY
7732977,BOOM Esports,1277.76,567,396,BOOM
8722443,Ooredoo Thunders,1276.33,89,64,OT
2526472,$5JuNGz$,1273.19,23,7,$5JuNGz$
5027210,VGJ Thunder,1271.22,137,109,VGJ.T
3326875,Faceless,1269.74,131,73,fL
8668460,Blacklist Rivalry ,1269.62,176,148,BLR
8962585,Star Foxes ,1269.09,90,27,SF
7555613,OG.Seed,1263.38,89,74,OG.S
1883502,Virtus.pro,1262.99,1369,1016,VP
726228,Vici Gaming,1262.89,1421,1035,VG
