castaway_uid,result
1.0Sonja,1st voted out
1.0B.B.,2nd voted out
1.0Stacey,3rd voted out
1.0Ramona,4th voted out
1.0Dirk,5th voted out
1.0Joel,6th voted out
1.0Gretchen,7th voted out
1.0Greg,8th voted out
1.0Jenna,9th voted out
1.0Gervase,10th voted out
1.0Colleen,11th voted out
1.0Sean,12th voted out
1.0Sue,13th voted out
1.0Rudy,14th voted out
1.0Kelly,Runner-up
1.0Richard,Sole Survivor
2.0Debb,1st voted out
2.0Kel,2nd voted out
2.0Maralyn,3rd voted out
2.0Mitchell,4th voted out
2.0Kimmi,5th voted out
2.0Jeff,6th voted out
2.0Alicia,7th voted out
2.0Jerri,8th voted out
2.0Nick,9th voted out
2.0Amber,10th voted out
2.0Rodger,11th voted out
2.0Elisabeth,12th voted out
2.0Keith,13th voted out
2.0Colby,Runner-up
2.0Tina,Sole Survivor
3.0Diane,1st voted out
3.0Jessie,2nd voted out
3.0Carl,3rd voted out
3.0Linda,4th voted out
3.0Silas,5th voted out
3.0Lindsey,6th voted out
3.0Clarence,7th voted out
3.0Kelly,8th voted out
3.0Brandon,9th voted out
3.0Frank,10th voted out
3.0Kim P.,11th voted out
3.0Teresa,12th voted out
3.0Tom,13th voted out
3.0Lex,14th voted out
3.0Kim J.,Runner-up
3.0Ethan,Sole Survivor
4.0Peter,1st voted out
4.0Patricia,2nd voted out
4.0Hunter,3rd voted out
4.0Sarah,4th voted out
4.0Gabriel,5th voted out
4.0Gina,6th voted out
4.0Boston Rob,7th voted out
4.0John,8th voted out
4.0Zoe,9th voted out
4.0Tammy,10th voted out
4.0Robert,11th voted out
4.0Sean,12th voted out
4.0Kathy,13th voted out
4.0Neleh,Runner-up
4.0Vecepia,Sole Survivor
5.0John,1st voted out
5.0Tanya,2nd voted out
5.0Jed,3rd voted out
5.0Ghandia,4th voted out
5.0Stephanie,5th voted out
5.0Robb,6th voted out
5.0Shii Ann,7th voted out
5.0Erin,8th voted out
5.0Ken,9th voted out
5.0Penny,10th voted out
5.0Jake,11th voted out
5.0Ted,12th voted out
5.0Helen,13th voted out
5.0Jan,14th voted out
5.0Clay,Runner-up
5.0Brian,Sole Survivor
6.0Ryan,1st voted out
6.0Janet,2nd voted out
6.0Daniel,3rd voted out
6.0JoAnna,4th voted out
6.0Jeanne,5th voted out
6.0Shawna,6th voted out
6.0Roger,7th voted out
6.0Dave,8th voted out
6.0Deena,9th voted out
6.0Alex,10th voted out
6.0Christy,11th voted out
6.0Heidi,12th voted out
